EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"83,771",Yes,fixed,,Nil,Nil,Construction of New KGBV HOstel Building at Chhatrapur,Construction of New KGBV HOstel Building at Chhatrapur,see the DTCN ,NA ,"83,77,074",Civil Works - Buildings,NA ,Tender,90.0,120.0,"Chhatrapur, Nilgiri",756041.0,NA ,NA ,NA ,NILGIRI BLOCK OFFICE,No ,No,1.0,Fee/PreQual/Technical,.pdf,tender notice,Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Balasore||NILGIRI Block,KGBV/2025-26/Nilgiri/004,2025_PRBNG_117735_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"6,000",Nil,Nil,Yes,BDO NILGIRI,"Block Office, Nilgiri",06-Sep-2025 04:25 PM,23-Sep-2025 11:00 AM,06-Sep-2025 04:25 PM,22-Sep-2025 05:00 PM,08-Sep-2025 10:00 AM ,11-Sep-2025 03:00 PM ,11-Sep-2025 04:25 PM,22-Sep-2025 05:00 PM,03-Oct-2025 01:00 PM,1.0,ICICI BANK,AOC,1,3094721,ANITA MISHRA,22-Sep-2025 02:35 PM,Rejected-AOC,REJECTED THROUGH TRANSPARENT LOTTERY SYSTEM,27-Oct-2025 09:51 PM,27-Oct-2025,"INR 7,121,350.254",120.0,Bikram Kishor Parida,27-Oct-2025 09:51 PM,AOCKGBV.pdf (278.00 KB),SUMAN KALYAN SENAPATI SELECTED THROUGH TRANSPARENT LOTTERY SYSTEM,Finance,SUMAN KALYAN SENAPATI SELECTED THROUGH TRANSPARENT LOTTERY SYSTEM,Bikram Kishor Parida,27-Oct-2025 09:42 PM,finance_551720.pdf,BOQ Comparative Chart,Bikram Kishor Parida,Internal,"BDO, AEE, BFO, SO, CP, SRA, DEV SECTION",Bikram Kishor Parida,03-Oct-2025 11:58 AM,03-Oct-2025 01:00 PM,techsummary_551720.pdf (1283.53 KB),Bikram Kishor Parida,Internal,BDO AEE SO BFO,Bikram Kishor Parida,27-Oct-2025 09:47 PM,finsummary_551720.pdf (234.99 KB),Technical,out of 10 bi 5 no admitted and rest 5 rejected,Bikram Kishor Parida,03-Oct-2025 11:51 AM,technical_551720.pdf,Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Balasore||NILGIRI Block,2025_PRBNG_117735_1,KGBV/2025-26/Nilgiri/004,Construction of New KGBV HOstel Building at Chhatrapur,1.0,3091135.0,SUMAN KALYAN SENAPATI,INR,"7,121,350.254",AOC
,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,2,3092071,ARATI TAREI,22-Sep-2025 03:35 PM,Not Admitted-Fee/PreQual/Technical,Others-No proper document submitted as per DTCN clause no 12 and others,03-Oct-2025 11:51 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,3091634,BHABISHYAT JENA,20-Sep-2025 11:29 PM,Not Admitted-Fee/PreQual/Technical,Others-No proper document submitted as per DTCN clause no 12 and others,03-Oct-2025 11:51 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,3093802,GOURISH PATRA,22-Sep-2025 11:19 AM,Not Admitted-Fee/PreQual/Technical,Others-No proper document submitted as per DTCN clause no 12 and others,03-Oct-2025 11:51 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,3095298,JASHODA NANDA MAHARANA,22-Sep-2025 04:26 PM,Rejected-AOC,REJECTED THROUGH TRANSPARENT LOTTERY SYSTEM,27-Oct-2025 09:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,3094938,MANAS RANJAN BUGUDAI,22-Sep-2025 03:16 PM,Not Admitted-Fee/PreQual/Technical,Others-No proper document submitted as per DTCN clause no 12 and others,03-Oct-2025 11:51 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,3093691,M/SMANOJ KUMAR PATRA,22-Sep-2025 11:05 AM,Not Admitted-Fee/PreQual/Technical,Others-No proper document submitted as per DTCN clause no 12 and others,03-Oct-2025 11:51 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,3086017,M/S PRITISH RANJAN BUGUDAI,21-Sep-2025 11:44 PM,Rejected-AOC,REJECTED THROUGH TRANSPARENT LOTTERY SYSTEM,27-Oct-2025 09:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,3094378,SHASHIKANTA BISWAL,22-Sep-2025 03:49 PM,Rejected-AOC,REJECTED THROUGH TRANSPARENT LOTTERY SYSTEM,27-Oct-2025 09:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,3091135,SUMAN KALYAN SENAPATI,22-Sep-2025 01:00 PM,Accepted-AOC,SUMAN KALYAN SENAPATI SELECTED THROUGH TRANSPARENT LOTTERY SYSTEM,27-Oct-2025 09:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
