Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Tender Stage
Finance,15 Nos Admitted,Suresh Chandra Munda,23-Oct-2025 11:10 AM,finance_550130.pdf,BOQ Comparative Chart,23-Oct-2025,"INR 829,928",90.0,Suresh Chandra Munda,23-Oct-2025 02:56 PM,12.pdf (695.00 KB),CE and BM Brahmani Basin Samal||SE Angul Irrigation Circle Angul||Deogarh Irrigation Division Deogarh,2025_CEBBS_117148_12,SEDID-02/2025-26,"S/R to LT drain, Parapet and dwarf wall of Gohira Dam including painting of wall of Gohira Irrigation project for 2025-26.",1.0,3057250.0,MAHESWARI PRASAD GANGDEB,INR,"829,928",1,3061089,AKASH KUMAR SAHOO,02-Sep-2025 01:40 PM,Rejected-AOC,Not Qualified in Lottery System.,23-Oct-2025 02:56 PM,SE DID,Internal,"SE, AEE, Estimator",Suresh Chandra Munda,23-Oct-2025 11:53 AM,techsummary_550130.pdf (361.86 KB),SE DID,Internal,"SE, AEE, Estimator",Suresh Chandra Munda,23-Oct-2025 02:50 PM,finsummary_550130.pdf (361.86 KB),AOC,"10,000",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Cost, EMD, GST, Pan, RC etc. as per DTCN","S/R to LT drain, Parapet and dwarf wall of Gohira Dam including painting of wall of Gohira Irrigation project for 2025-26.","S/R to LT drain, Parapet and dwarf wall of Gohira Dam including painting of wall of Gohira Irrigation project for 2025-26.",C and D class Contractor ,NA ,"9,76,271",Civil Works - Canal,NA ,Tender,90.0,90.0,Deogarh,768119.0,NA ,NA ,NA ,"O/o the SE, Deogarh Irrigation Division, Deogarh",No ,No,CE and BM Brahmani Basin Samal||SE Angul Irrigation Circle Angul||Deogarh Irrigation Division Deogarh,SEDID-02/2025-26,2025_CEBBS_117148_12,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,"4,000",Nil,Nil,No,22-Aug-2025 11:00 AM,04-Sep-2025 11:00 AM,22-Aug-2025 11:00 AM,03-Sep-2025 05:00 PM,22-Aug-2025 11:00 AM ,03-Sep-2025 05:00 PM ,22-Aug-2025 11:00 AM,03-Sep-2025 05:00 PM,SE DID,"O/o the SE, Deogarh Irrigation Division, Deogarh",AOC
,,,,,,,,,,,,,,,,,,,,,2,3047031,ANIL KUMAR SAHU,24-Aug-2025 10:12 PM,Rejected-AOC,Not Qualified in Lottery System.,23-Oct-2025 02:56 PM,,,,,,,,,,,,,AOC,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,3,3058302,DEBENDRA KISAN,01-Sep-2025 02:10 PM,Rejected-AOC,Not Qualified in Lottery System.,23-Oct-2025 02:56 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,4,3056198,Harena kumar Behera,02-Sep-2025 05:39 PM,Rejected-AOC,Not Qualified in Lottery System.,23-Oct-2025 02:56 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,5,3057250,MAHESWARI PRASAD GANGDEB,02-Sep-2025 03:16 PM,Accepted-AOC,Qualified in Lottery System.,23-Oct-2025 02:56 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,6,3061705,MITRAVANU BEHERA,03-Sep-2025 11:35 AM,Rejected-AOC,Not Qualified in Lottery System.,23-Oct-2025 02:56 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,7,3061536,NABA KRISHNA PRADHAN,02-Sep-2025 05:15 PM,Rejected-AOC,Not Qualified in Lottery System.,23-Oct-2025 02:56 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,8,3056476,Nalini Meher,30-Aug-2025 03:47 PM,Rejected-AOC,Not Qualified in Lottery System.,23-Oct-2025 02:56 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,9,3059610,RAJALAXMI SAHU,01-Sep-2025 04:35 PM,Rejected-AOC,Not Qualified in Lottery System.,23-Oct-2025 02:56 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,10,3055715,SANJAY KUMAR SAHOO,31-Aug-2025 02:21 PM,Rejected-AOC,Not Qualified in Lottery System.,23-Oct-2025 02:56 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
