Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"Repair and Maintenance of Toilets at Bauri Sahi Primary School, in ward No 02 NAC Digapahandi.","Repair and Maintenance of Toilets at Bauri Sahi Primary School, in ward No 02 NAC Digapahandi.",Please refer Tender documents. ,NA ,"3,67,086",Civil Works - Others,NA ,Tender,90.0,30.0,NAC DIGAPAHANDI,761012.0,NA ,NA ,NA ,NAC OFFICE,No ,No,"3,670",Yes,fixed,,Nil,Nil,21-May-2025 12:00 PM,31-May-2025 11:00 AM,21-May-2025 12:00 PM,30-May-2025 01:00 PM,NA ,NA ,21-May-2025 12:00 PM,30-May-2025 01:00 PM,03-Jun-2025 11:30 AM,Municipal Bodies||Digapahandi NAC,DIGNAC-03/2025-26,2025_ORULB_113630_3,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,DTCN,1.0,ICICI BANK,EXECUTIVE OFFICER NAC DIGAPAHANDI,EXECUTIVE OFFICER NAC DIGAPAHANDI,"2,360",0.0,Nil,Nil,No,AOC,1,2942726,KRUSHNA GOUDA,30-May-2025 12:29 PM,Rejected-Finance,REJECTED,25-Jun-2025 03:34 PM,22-Jul-2025,"INR 330,414",30.0,Rasmi Rani Nahak,14-Oct-2025 04:59 PM,IMG_0005.pdf (535.00 KB),awarded,Finance,four bidders are paticipted and qualified for financial evaluation,Rasmi Rani Nahak,25-Jun-2025 01:56 PM,,BOQ Comparative Chart,CHAIRPERSON,Internal,EO AE ME JE,Mamata Kumari Panda,03-Jun-2025 11:06 AM,03-Jun-2025 11:30 AM,techsummary_540553.pdf (758.16 KB),CHAIRPERSON,Internal,EO AE JE AE ME ACCOUNTANT,Rasmi Rani Nahak,25-Jun-2025 03:34 PM,finsummary_540553.pdf (745.67 KB),Municipal Bodies||Digapahandi NAC,2025_ORULB_113630_3,DIGNAC-03/2025-26,"Repair and Maintenance of Toilets at Bauri Sahi Primary School, in ward No 02 NAC Digapahandi.",Technical,four bidders are participated and qualified for financial bid,Mamata Kumari Panda,03-Jun-2025 10:57 AM,,1.0,2936519.0,SIMA DAS,INR,"330,414",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,2.0,ICICI NEFT/RTGS,,,,,,,,AOC,2,2942761,MANOJ KUMAR PANIGRAHY,30-May-2025 12:40 PM,Rejected-Finance,REJECTED,25-Jun-2025 03:34 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,2930931,Raghunath Samantray,30-May-2025 10:31 AM,Rejected-Finance,REJECTED,25-Jun-2025 03:34 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,2936519,SIMA DAS,28-May-2025 12:13 AM,Accepted-AOC,awarded,14-Oct-2025 04:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
