Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Cover No,Cover,Document Type,Description,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
22-Oct-2025,"INR 4,094,587",180.0,AMIYA KUMAR SETH,19-Oct-2025 08:33 PM,PID68293P1202526.pdf (596.00 KB),AOC,1.0,2913992.0,CHANDAN SAHOO,INR,"3,480,808","CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR||EE,Puri Irr Division,Puri",2025_CELBB_112841_68,EPROCUREMENT TENDER CALL NOTICE PID01 OF 2025-26,"PID-68, Improvement to Luna right embankment from RD 3.250Km. to 3.950Km. near village Baljitpur.",1,2905651,ABINASH PRASAD BEHERA,05-May-2025 10:11 AM,Rejected-Finance,Reject,27-Jul-2025 04:20 PM,Finance,All the bidders are valid bidders,Shatabdi Choudhury,16-Jul-2025 04:51 PM,finance_537771.pdf,BOQ Comparative Chart,Er. Amiya Kumar Seth,Internal,"Er. Amiya Kumar Seth, SE, Mrs. Shatabdi Choudhury, AEE (Estimator), Sri Manoj Kumar Chudhury, DAO-I, Sri Himansu Sekhar Mandhata, AE (Estimator) in charge",Shatabdi Choudhury,27-Jul-2025 04:20 PM,finsummary_537771.pdf (447.33 KB),Er. Amiya Kumar Seth,Internal,"Er. Amiya Kumar Seth, SE, Mrs. Shatabdi Choudhury, AEE (Estimator), Sri Manoj Kumar Chudhury, DAO-I, Sri Himansu Sekhar Mandhata, AE (Estimator) in charge",Shatabdi Choudhury,26-Jul-2025 06:52 PM,techsummary_537771.pdf (447.33 KB),AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,"TENDERPAPERCOST,EMD,RC,PAN,ACTIVEGSTIN,NRC,AFFIDAVIT FOR EACHWORK,ANY OTHER DOCUMENT ASPER DTCN",1.0,ICICI BANK,29-Apr-2025 10:30 AM,14-May-2025 11:00 AM,29-Apr-2025 10:30 AM,13-May-2025 05:30 PM,29-Apr-2025 10:30 AM ,13-May-2025 05:30 PM ,29-Apr-2025 10:30 AM,13-May-2025 05:30 PM,"PID-68, Improvement to Luna right embankment from RD 3.250Km. to 3.950Km. near village Baljitpur.",Improvement to Luna right embankment from RD 3.250Km. to 3.950Km. near village Baljitpur.,Please refer Tender documents. ,NA ,"40,94,587",Civil Works - Others,RIVER ,Tender,90.0,180.0,PURI,752003.0,NA ,NA ,NA ,"O/o SE, Puri Irrigation Division, Puri",No ,No,"41,000",Yes,fixed,,Nil,Nil,"CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR||EE,Puri Irr Division,Puri",EPROCUREMENT TENDER CALL NOTICE PID01 OF 2025-26,2025_CELBB_112841_68,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"SE, Puri Irrigation Division, Puri","O/O THE SUPERINTENDING ENGINEER, PURI IRRIGATION DIVISION, PURI AT, DELTA COLONY, SECHAN VIHAR, SHREE VIHAR, PURI 752003","6,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,2,2911703,AMAR CHHATOI,11-May-2025 08:10 AM,Rejected-Finance,Reject,27-Jul-2025 04:20 PM,,,,,,,,,,,,,,,,,,,AOC,,,.xls,BILL OF QUANTITY,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,2914650,AMIT KUMAR DAKUA,12-May-2025 11:58 PM,Rejected-Finance,Reject,27-Jul-2025 04:20 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,2913992,CHANDAN SAHOO,12-May-2025 06:27 PM,Accepted-AOC,WIN THE TRANSPARENT LOTTERY,19-Oct-2025 08:33 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,2908092,DEEPAK SAMANTARAY,08-May-2025 06:04 PM,Rejected-Finance,Reject,27-Jul-2025 04:20 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,2914260,DIPTIRANJAN BALIARSINGH,12-May-2025 07:54 PM,Rejected-Finance,Reject,27-Jul-2025 04:20 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7,2903731,DUSHMANTA KUMAR SWAIN,02-May-2025 12:24 PM,Rejected-Finance,Reject,27-Jul-2025 04:20 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,8,2910683,GANESWAR BEHERA,09-May-2025 07:32 PM,Rejected-Finance,Reject,27-Jul-2025 04:20 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,9,2910285,GITANJALI SWAIN,09-May-2025 12:27 PM,Rejected-Finance,Reject,27-Jul-2025 04:20 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,10,2915089,HITESH KUMAR SENAPATI,13-May-2025 03:15 PM,Rejected-Finance,Reject,27-Jul-2025 04:20 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
