S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Tender Stage
1.0,2897305.0,PURUSOTTAM NAIK,INR,"1,705,194",Finance,17 nos bid opened and to be evaluated,Sashikanta Jena,08-May-2025 10:29 AM,,BOQ Comparative Chart,Jagatjeet Behera SE,Internal,"S.k Jena AEE, A.k Mishra DAO",Jagatjit Behera,06-Oct-2025 07:04 PM,finsummary_536957.pdf (499.56 KB),EIC-CIVIL||SERNB-CIRCLE-NORTHERN||EE R and B Div-II Sambalpur,2025_EICCL_112597_6,SE / R and B / SBP II / 12 (online) / 2024-25,Repair and renovation of 6 nos E-type quarter at CHC Laida in the district of Sambalpur (Composite),Jagatjeet Behera SE,Internal,"S K Jena AEE, A K Mishra DAO",Jagatjit Behera,22-Jul-2025 05:29 PM,techsummary_536957.pdf (215.04 KB),1,2898228,Bikash Kumar Naik,28-Apr-2025 04:02 PM,Rejected-AOC,Disqualified in lottery,06-Oct-2025 07:12 PM,06-Oct-2025,"INR 1,705,194",90.0,Jagatjit Behera,06-Oct-2025 07:12 PM,594p1.pdf (231.00 KB),Agrtno 594p12025-26,AOC,"6,000",0.0,Nil,Nil,No,EIC-CIVIL||SERNB-CIRCLE-NORTHERN||EE R and B Div-II Sambalpur,SE / R and B / SBP II / 12 (online) / 2024-25,2025_EICCL_112597_6,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Valid license, PAN, GST, Affidavit and other documents as per DTCN","20,100",Yes,fixed,,Nil,Nil,Repair and renovation of 6 nos E-type quarter at CHC Laida in the district of Sambalpur (Composite),Repair of residential building,Please refer Tender documents. ,NA ,"20,05,875",Civil Works - Buildings,NA ,Tender,90.0,90.0,Sambalpur,768001.0,NA ,NA ,NA ,"O/O S E, Sambalpur (R and B) Division No.II",No ,No,"S E, Sambalpur (R and B) Division No.II","O/O S E, Sambalpur (R and B) Division No.II",18-Apr-2025 11:00 AM,29-Apr-2025 11:30 AM,18-Apr-2025 11:00 AM,28-Apr-2025 05:00 PM,18-Apr-2025 11:00 AM ,28-Apr-2025 01:00 PM ,18-Apr-2025 11:00 AM,28-Apr-2025 05:00 PM,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2896480,BISHAL AGRAWAL,27-Apr-2025 12:25 PM,Rejected-AOC,Disqualified in lottery,06-Oct-2025 07:12 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2897343,Debadatta Meher,28-Apr-2025 01:14 AM,Rejected-Technical,Not uploaed of required MOU,22-Jul-2025 05:29 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2898252,DEBASISH PADHAN,28-Apr-2025 03:43 PM,Rejected-AOC,Disqualified in lottery,06-Oct-2025 07:12 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2894069,FAKIR MOHAN SAHU,26-Apr-2025 11:00 AM,Rejected-AOC,Disqualified in lottery,06-Oct-2025 07:12 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2897091,GAGAN BIHARI DASH,28-Apr-2025 12:49 PM,Rejected-AOC,Disqualified in lottery,06-Oct-2025 07:12 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2898174,MAHAKUL CONSTRUCTION,28-Apr-2025 03:04 PM,Rejected-AOC,Disqualified in lottery,06-Oct-2025 07:12 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2898401,MS SAMPADA BEHURA,28-Apr-2025 04:30 PM,Rejected-Technical,Not uploaed of required MOU,22-Jul-2025 05:29 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2894094,PADMINI SINGH,27-Apr-2025 12:17 PM,Rejected-AOC,Disqualified in lottery,06-Oct-2025 07:12 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2897305,PURUSOTTAM NAIK,28-Apr-2025 04:46 PM,Accepted-AOC,Qualified in lottery,06-Oct-2025 07:12 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
