Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,"8,500",Yes,fixed,,Nil,Nil,24-Jun-2025 09:00 AM,01-Jul-2025 11:30 AM,24-Jun-2025 09:00 AM,30-Jun-2025 05:00 PM,24-Jun-2025 09:00 AM ,26-Jun-2025 03:00 PM ,24-Jun-2025 09:00 AM,30-Jun-2025 05:00 PM,CE RW I||RWCIRCLE-BERHAMPUR||RWDIVISION-PHULBANI,Online Tender/02/SERWD PHULBANI/2025-26,2025_CERWI_114723_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,"OO the SE,RWD,Phulbani","OO the SE,RWD,Phulbani",Construction of Boundary wall of Govt. Homeopathic Dispensary at Katringia for the year 2025-26,Construction of Boundary wall of Govt. Homeopathic Dispensary at Katringia for the year 2025-26,Construction of Boundary wall of Govt. Homeopathic Dispensary at Katringia for the year 2025-26 ,NA ,"8,40,000",Civil Works - Buildings,NA ,Tender,90.0,30.0,"OO the SE,RWD,Phulbani",762001.0,NA ,NA ,NA ,"OO the SE,RWD,Phulbani",No ,No,"4,000",0.0,Nil,Nil,Yes,AOC,Er.Kartikeswar Sahu,Internal,DA and Estimator,Pragyan Devi,23-Oct-2025 12:27 PM,finsummary_543915.pdf (24.94 KB),CE RW I||RWCIRCLE-BERHAMPUR||RWDIVISION-PHULBANI,2025_CERWI_114723_1,Online Tender/02/SERWD PHULBANI/2025-26,Construction of Boundary wall of Govt. Homeopathic Dispensary at Katringia for the year 2025-26,1.0,2984058.0,Mr Abhaya Pattnaik,INR,"713,748",Finance,Bid opening,Pragyan Devi,23-Oct-2025 12:17 PM,finance_543915.pdf,BOQ Comparative Chart,1,2982713,BASANTI MALLICK,29-Jun-2025 01:08 PM,Rejected-Technical,Unsuccessful,23-Oct-2025 12:23 PM,23-Oct-2025,"INR 713,748",30.0,Pragyan Devi,23-Oct-2025 12:29 PM,TE.pdf (25.00 KB),Awarding of Contract,Er.Kartikeswar Sahu,Internal,DA wiith Estimator,Pragyan Devi,23-Oct-2025 12:23 PM,techsummary_543915.pdf (24.94 KB),AOC
,,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,2983377,JATIN KUMAR SAHU,30-Jun-2025 10:47 AM,Rejected-Technical,Unsuccessful,23-Oct-2025 12:23 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,2982742,LOKANATH MALLICK,29-Jun-2025 01:52 PM,Rejected-Technical,Unsuccessful,23-Oct-2025 12:23 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,2984002,MANOJ KUMAR DHAL,30-Jun-2025 03:04 PM,Rejected-Technical,Unsuccessful,23-Oct-2025 12:23 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,2984058,Mr Abhaya Pattnaik,30-Jun-2025 03:39 PM,Accepted-AOC,Awarding of Contract,23-Oct-2025 12:29 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,2980177,PANKAJ GHATAL,25-Jun-2025 06:05 PM,Rejected-Technical,Unsuccessful,23-Oct-2025 12:23 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,2984017,PRABIR KUMAR MOHANTY,30-Jun-2025 03:14 PM,Rejected-Technical,Unsuccessful,23-Oct-2025 12:23 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,2984238,SIDHANTA KUMAR DIGAL,30-Jun-2025 04:36 PM,Rejected-Technical,Unsuccessful,23-Oct-2025 12:23 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,2984140,SIMANCHALA NAYAK,30-Jun-2025 04:06 PM,Rejected-Technical,Unsuccessful,23-Oct-2025 12:23 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,2984258,SMITARANI MISHRA,30-Jun-2025 04:40 PM,Rejected-Technical,Unsuccessful,23-Oct-2025 12:23 PM,,,,,,,,,,,,,,AOC
