EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"15,110",Yes,fixed,,Nil,Nil,07-May-2025 11:00 AM,17-May-2025 11:00 AM,07-May-2025 11:00 AM,16-May-2025 05:00 PM,07-May-2025 11:00 AM ,14-May-2025 05:00 PM ,07-May-2025 11:00 AM,16-May-2025 05:00 PM,"Executive Engineer, L.I.Division, Bhawanipatna",At - Infront of GOVT. ITI Po - Bhawanipatna,"7,080",0.0,Nil,Nil,No,"REINFORCEMENT OF BHELAGAON-III, BHELAGAON-II AND KOTAGAON LIFT IRRIGATION PROJECT UNDER KALAMPUR BLOCK IN KALAHANDI DISTRICT","REINFORCEMENT OF BHELAGAON-III, BHELAGAON-II AND KOTAGAON LIFT IRRIGATION PROJECT UNDER KALAMPUR BLOCK IN KALAHANDI DISTRICT",Please refer to Tender Documents ,NA ,"15,11,000",Civil Works - Lift Irrigation Schemes,NA ,Tender,90.0,60.0,KALAMPUR,766013.0,NA ,NA ,NA ,"O/O The Executive Engineer L.I.Division,Bhawanipat",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"TenderPaperCost,EMD,GSTChallan,GSTIN,PAN,Affidavit,CivilandHTLicenseJointVenture, Others as per DTCN",Orissa Lift Irrigation Corporation||LI Western Circle Bhawanipatna||LI Division Bhawanipatna,OLIC-BPT-02/2025-26 Dt.01.05.2025,2025_OLIC_113047_6,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,AOC,1,2916326,AGRAWALLA POWER INFRASTRUCTURE,16-May-2025 09:52 AM,Accepted-AOC,L1 and Accepted,17-Oct-2025 05:18 PM,25-Aug-2025,"INR 1,284,501",60.0,BIPRA SOREN,17-Oct-2025 05:18 PM,6BhelagaonIIandIIIKatagaon.pdf (4730.00 KB),AWARD OF CONTRACT,Bipra Soren,Internal,Bipra Soren Santosh Kumar Kisan Dyllod Nag Jagannath Das,BIPRA SOREN,20-Aug-2025 11:52 AM,finsummary_538294.pdf (2850.44 KB),Finance,Bid Opening summary uploaded as per bidding. The L1 bidder will be accepted after Technical evaluation.,BIPRA SOREN,30-Jun-2025 12:35 PM,finance_538294.pdf,BOQ Comparative Chart,Bipra Soren,Internal,Bipra Soren Santosh Kumar Kisan Krushna Ch. Sahu Dyllod Nag Jagannath Das,BIPRA SOREN,22-Jul-2025 06:08 PM,techsummary_538294.pdf (3055.00 KB),Orissa Lift Irrigation Corporation||LI Western Circle Bhawanipatna||LI Division Bhawanipatna,2025_OLIC_113047_6,OLIC-BPT-02/2025-26 Dt.01.05.2025,"REINFORCEMENT OF BHELAGAON-III, BHELAGAON-II AND KOTAGAON LIFT IRRIGATION PROJECT UNDER KALAMPUR BLOCK IN KALAHANDI DISTRICT",1.0,2916326.0,AGRAWALLA POWER INFRASTRUCTURE,INR,"1,284,501",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantities,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,2,2918211,JUGAL KISHOR SAHU,15-May-2025 11:19 PM,Rejected-Finance,L3 not Selected,20-Aug-2025 11:52 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,2918260,KAPIL KUMAR JAIN,16-May-2025 10:44 AM,Rejected-Finance,L3 not Selected,20-Aug-2025 11:52 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,2918645,Minakshi Bishi,16-May-2025 12:24 AM,Rejected-Finance,L3 not Selected,20-Aug-2025 11:52 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,2918365,M/S DEV CONSTRUCTIONS,16-May-2025 03:00 PM,Rejected-Finance,L3 not Selected,20-Aug-2025 11:52 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,2911250,MS Shree Shyam and Co,12-May-2025 11:26 AM,Rejected-Finance,L3 not Selected,20-Aug-2025 11:52 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,2918650,PAYAL AGRAWAL,16-May-2025 10:01 AM,Rejected-Finance,L3 not Selected,20-Aug-2025 11:52 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,2919298,RATHA MEHER,16-May-2025 12:41 AM,Rejected-Finance,L3 not Selected,20-Aug-2025 11:52 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,2909795,RUP KUMAR AGRAWAL PROP KP ELECTRICALS,13-May-2025 08:55 PM,Rejected-Finance,L3 not Selected,20-Aug-2025 11:52 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,2919825,SIBANI PUROHIT,16-May-2025 02:29 PM,Rejected-Finance,L3 not Selected,20-Aug-2025 11:52 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
