S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,Cover No,Cover,Document Type,Description,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,3060338.0,RAJANIKANTA TRIPATHY,INR,"4,464,912",superintending engineer,Internal,,DEBADATTA DAS,28-Oct-2025 06:05 PM,finsummary_550091.pdf (882.21 KB),Technical,all documents are furnished,DEBADATTA DAS,11-Sep-2025 12:46 PM,,"CE,Minor Irrigation,BBSR||SENMIC-SAMBALPUR||EE M.I. Division Jharsuguda",2025_CEMIB_117146_2,TCN-05/2025-26,Construction of Mayurmunda Check Dam over Local Nalla near village Katarbaga in Lakhanpur block of Jharsuguda district,Finance,all documents are furmished,DEBADATTA DAS,28-Oct-2025 05:56 PM,,BOQ Comparative Chart,superintending engineer,Internal,,DEBADATTA DAS,11-Sep-2025 12:50 PM,11-Sep-2025 12:55 PM,techsummary_550091.pdf (841.09 KB),28-Oct-2025,"INR 4,464,912",180.0,DEBADATTA DAS,28-Oct-2025 06:17 PM,mayurmunda.pdf (882.00 KB),1,3049142,BIJAN KUMAR PRUSETH,26-Aug-2025 05:29 AM,Rejected-AOC,rejected,28-Oct-2025 06:17 PM,AOC,Superintending Engineer,"O/o the Superintending Engineer,M.I. Division, Jharsuguda",1.0,Fee/PreQual/Technical,.pdf,TCN,1.0,ICICI BANK,21-Aug-2025 03:00 PM,06-Sep-2025 10:00 AM,21-Aug-2025 03:00 PM,04-Sep-2025 05:30 PM,21-Aug-2025 03:00 PM ,03-Sep-2025 05:30 PM ,21-Aug-2025 03:00 PM,04-Sep-2025 05:30 PM,11-Sep-2025 12:55 PM,"CE,Minor Irrigation,BBSR||SENMIC-SAMBALPUR||EE M.I. Division Jharsuguda",TCN-05/2025-26,2025_CEMIB_117146_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Construction of Mayurmunda Check Dam over Local Nalla near village Katarbaga in Lakhanpur block of Jharsuguda district,Construction of Mayurmunda Check Dam over Local Nalla near village Katarbaga in Lakhanpur block of Jharsuguda district,Please refer Tender documents. ,NA ,"52,53,000",Civil Works - Others,NA ,Tender,90.0,180.0,Jharsuguda,768202.0,NA ,NA ,NA ,Jharsuguda,No ,No,"10,000",0.0,Nil,Nil,No,"52,530",Yes,percentage,1.0%,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3063453,BISWANATH BARIK,04-Sep-2025 01:58 PM,Rejected-AOC,rejected,28-Oct-2025 06:17 PM,AOC,,,2.0,Finance,.xls,BOQ,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3055576,DHALESWAR GANDHA,29-Aug-2025 09:57 PM,Rejected-AOC,rejected,28-Oct-2025 06:17 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3060484,GANESH RAM AGARWALA,02-Sep-2025 10:48 PM,Rejected-AOC,rejected,28-Oct-2025 06:17 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3057943,GIRIDHARI DASH,31-Aug-2025 06:44 PM,Rejected-AOC,rejected,28-Oct-2025 06:17 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3061492,GURUDEB ROUTIA,02-Sep-2025 04:39 PM,Rejected-AOC,rejected,28-Oct-2025 06:17 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3062883,HEMANTA SAHU,03-Sep-2025 07:37 PM,Rejected-AOC,rejected,28-Oct-2025 06:17 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3049050,JHUNI BEHERA,26-Aug-2025 07:47 AM,Rejected-AOC,rejected,28-Oct-2025 06:17 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3059481,KAUSHAL BEHERA,01-Sep-2025 03:51 PM,Rejected-AOC,rejected,28-Oct-2025 06:17 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3062520,KSHIROD KUMAR CHANDEL,04-Sep-2025 03:52 PM,Rejected-AOC,rejected,28-Oct-2025 06:17 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
