EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"52,000",Yes,percentage,1.0%,Nil,Nil,"CE,Minor Irrigation,BBSR||SENMIC-SAMBALPUR||EE M.I. Division Jharsuguda",TCN-03/2025-26,2025_CEMIB_116217_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,"10,000",0.0,Nil,Nil,No,29-Jul-2025 12:00 PM,12-Aug-2025 10:00 AM,29-Jul-2025 12:00 PM,11-Aug-2025 05:30 PM,29-Jul-2025 12:00 PM ,11-Aug-2025 05:30 PM ,29-Jul-2025 12:00 PM,11-Aug-2025 05:30 PM,13-Aug-2025 01:25 PM,Superintending Engineer,"O/o the Superintending Engineer,M.I. Division, Jharsuguda",Construction of Mundadhipa Check Dam over Local Nalla near village Mundadhipa in Jharsuguda block of Jharsuguda district.,Construction of Mundadhipa Check Dam over Local Nalla near village Mundadhipa in Jharsuguda block of Jharsuguda district.,Please refer Tender documents. ,NA ,"52,00,000",Civil Works - Others,NA ,Tender,90.0,180.0,Jharsuguda,768202.0,NA ,NA ,NA ,Jharsuguda,No ,No,1.0,Fee/PreQual/Technical,.pdf,TCN,AOC,30-Oct-2025,"INR 4,420,253",180.0,DEBADATTA DAS,30-Oct-2025 10:53 AM,mundadhipa.pdf (663.00 KB),1,3031122,GANESH RAM AGARWALA,11-Aug-2025 04:02 PM,Rejected-AOC,rejected,30-Oct-2025 10:53 AM,superintending engineer,Internal,,DEBADATTA DAS,13-Aug-2025 01:23 PM,13-Aug-2025 01:25 PM,techsummary_547750.pdf (830.27 KB),Finance,All documents are furnished,DEBADATTA DAS,30-Oct-2025 10:35 AM,,BOQ Comparative Chart,"CE,Minor Irrigation,BBSR||SENMIC-SAMBALPUR||EE M.I. Division Jharsuguda",2025_CEMIB_116217_1,TCN-03/2025-26,Construction of Mundadhipa Check Dam over Local Nalla near village Mundadhipa in Jharsuguda block of Jharsuguda district.,Technical,all documents are furnished,DEBADATTA DAS,13-Aug-2025 01:17 PM,technical_547750.pdf,superintending engineer,Internal,,DEBADATTA DAS,30-Oct-2025 10:47 AM,finsummary_547750.pdf (663.28 KB),1.0,3030705.0,RAJESH PRASAD SHAH,INR,"4,420,253",AOC
,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,2,3022033,GYANCHAND BEHERA,04-Aug-2025 08:49 PM,Rejected-AOC,rejected,30-Oct-2025 10:53 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,3,3030973,HEMANTA SAHU,11-Aug-2025 12:11 PM,Rejected-AOC,rejected,30-Oct-2025 10:53 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,4,3030462,MAHESH AGRAWAL,10-Aug-2025 10:27 PM,Rejected-AOC,rejected,30-Oct-2025 10:53 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,5,3030506,M/S ABHIJIT PRADHAN,10-Aug-2025 11:50 PM,Rejected-AOC,rejected,30-Oct-2025 10:53 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,6,3031974,NADIM ASGHAR,11-Aug-2025 05:12 PM,Rejected-AOC,rejected,30-Oct-2025 10:53 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,7,3031457,PRIYADARSHI RANA,11-Aug-2025 03:00 PM,Not Admitted-Finance,Others-Wrong BOQ uploaded,30-Oct-2025 10:35 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,8,3029080,PURUSOTTAM SHARMA,09-Aug-2025 12:32 PM,Rejected-AOC,rejected,30-Oct-2025 10:53 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,9,3030705,RAJESH PRASAD SHAH,11-Aug-2025 10:55 AM,Accepted-AOC,accepted,30-Oct-2025 10:53 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,10,3020941,Rohit Kisan,01-Aug-2025 10:49 PM,Rejected-AOC,rejected,30-Oct-2025 10:53 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
