Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Balangir||BALANGIR Block,. 01/2025-26/BALANGIR BLOCK,2025_PRBBL_113769_4,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,"Block Development Officer, Bolangir","Panchayat Samiti,Bolangir",18-Jun-2025 05:55 PM,09-Jul-2025 11:00 AM,18-Jun-2025 05:55 PM,08-Jul-2025 05:30 PM,NA ,NA ,18-Jun-2025 05:55 PM,08-Jul-2025 05:30 PM,1.0,ICICI BANK,Construction of 1 Additional class room at Luchkibandh Govt UPS,Building work,Please refer Tender documents. ,NA ,"14,00,414",Civil Works - Buildings,NA ,Tender,180.0,NA ,Bolangir,767001.0,NA ,NA ,NA ,"Panchayat Samiti,Bolangir",No ,No,"6,000",Nil,Nil,Yes,1.0,Fee/PreQual/Technical/Finance,.pdf,"online proof copy tendercost and EMD, registration certificate,PAN,GSTIN,etc","14,050",Yes,fixed,,Nil,Nil,AOC,09-Oct-2025,"INR 1,309,388.69",180.0,HRUSHIKESH GOND,10-Oct-2025 05:09 PM,AOCC.pdf (128.00 KB),1.0,2992960.0,MADHABA KUMAR SETHI,08-Jul-2025 01:24 PM,Rejected-AOC,Third lowest bidder,10-Oct-2025 05:09 PM,Block dev. officer,Internal,,HRUSHIKESH GOND,24-Sep-2025 06:55 PM,techsummary_543356.pdf (193.66 KB),Block dev. officer,Internal,,HRUSHIKESH GOND,25-Sep-2025 12:40 PM,finsummary_543356.pdf (193.66 KB),Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Balangir||BALANGIR Block,2025_PRBBL_113769_4,. 01/2025-26/BALANGIR BLOCK,Construction of 1 Additional class room at Luchkibandh Govt UPS,1.0,2993240.0,NIKESH KUMBHAR,INR,"1,309,388.69",Finance,The tender was opened and three number of applicants has participated.,HRUSHIKESH GOND,18-Sep-2025 07:24 PM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"no relationship certificate,affidavit,MOU, etc",,,,,,,AOC,,,,,,,2.0,2993240.0,NIKESH KUMBHAR,08-Jul-2025 02:06 PM,Accepted-AOC,First lowest bidder,10-Oct-2025 05:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,other documents as per DTCN,,,,,,,AOC,,,,,,,3.0,2992979.0,SHIBA PRASAD BEHERA,08-Jul-2025 01:18 PM,Rejected-AOC,Second lowest bidder,10-Oct-2025 05:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BILL OF Quantity,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
