Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Finance,Work order copy,AMIT KUMAR TUDU,16-Oct-2025 05:41 PM,finance_543263.pdf,BOQ Comparative Chart,SEDAOAEEAE,Internal,SEDAOAEEAE,Swagatika Naik,26-Jul-2025 08:54 PM,29-Jul-2025 11:00 AM,techsummary_543263.pdf (323.09 KB),16-Oct-2025,"INR 6,796,625.38",180.0,AMIT KUMAR TUDU,16-Oct-2025 05:55 PM,indoorbuilding.pdf (366.00 KB),6796625.38,1,2981739,JITENDRA NAIK,27-Jun-2025 08:35 PM,Rejected-AOC,lowest,16-Oct-2025 05:55 PM,1.0,2982897.0,SANDEEP NAYAK,INR,"6,796,625.38",SEDAOAEEAE,Internal,SEDAOAEEAE,AMIT KUMAR TUDU,16-Oct-2025 05:51 PM,finsummary_543263.pdf (365.73 KB),Technical,Evaluation Sheet,Swagatika Naik,26-Jul-2025 08:46 PM,technical_543263.pdf,EIC-CIVIL||SERNB-CIRCLE-KEONJHAR||EERNB-DIVN-SUNDERGARH,2025_EICCL_114501_1,Bid Identification No-SE-RandB-SNG-04 OF 2025-26,Repair and Renovation of Indoor Building at CHC Hemgir of Sundargarh District under OMBADC for the year 2024.25,AOC,17-Jun-2025 10:00 AM,01-Jul-2025 11:00 AM,17-Jun-2025 10:00 AM,30-Jun-2025 05:00 PM,17-Jun-2025 10:00 AM ,30-Jun-2025 05:00 PM ,17-Jun-2025 10:00 AM,30-Jun-2025 05:00 PM,29-Jul-2025 11:00 AM,"SE R AND B DIVISION, SUNDARGARH","O/O the SE R AND B DIVISION, SUNDARGARH","10,000",0.0,Nil,Nil,No,Repair and Renovation of Indoor Building at CHC Hemgir of Sundargarh District under OMBADC for the year 2024.25,Repair and Renovation of Indoor Building at CHC Hemgir of Sundargarh District under OMBADC for the year 2024.25,Please refer Tender documents. ,NA ,"79,95,089",Civil Works - Buildings,NA ,Tender,90.0,180.0,Sundargarh,770001.0,NA ,NA ,NA ,"O/O the SE R AND B DIVISION, SUNDARGARH",No ,No,1.0,ICICI BANK,"79,951",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"Tender Cost, EMD ,Licence ,PAN,GSTIN, Affidavit, Schedule-A,Machinery MoU with Electrical Contract",EIC-CIVIL||SERNB-CIRCLE-KEONJHAR||EERNB-DIVN-SUNDERGARH,Bid Identification No-SE-RandB-SNG-04 OF 2025-26,2025_EICCL_114501_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,2,2983704,JNANENDRA KUMAR SWAIN,30-Jun-2025 01:11 PM,Rejected-AOC,lowest,16-Oct-2025 05:55 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,.pdf,Schedule- A and other documents as per DTCN,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,3,2984037,KIRTIMEGHA PARIJA,30-Jun-2025 03:28 PM,Rejected-AOC,lowest,16-Oct-2025 05:55 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,4,2979817,MAZIV INFRA PRIVATE LIMITED,25-Jun-2025 12:16 PM,Rejected-AOC,lowest,16-Oct-2025 05:55 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,5,2983806,PRIYADARSHI RANA,30-Jun-2025 02:02 PM,Rejected-AOC,lowest,16-Oct-2025 05:55 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,6,2980750,RAJESH KUMAR AGRAWAL,26-Jun-2025 03:08 PM,Rejected-Technical,Lease Deed for Machinery not submitted,26-Jul-2025 08:54 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,7,2982342,RASMITA NAIK,28-Jun-2025 07:23 PM,Rejected-AOC,lowest,16-Oct-2025 05:55 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,8,2982897,SANDEEP NAYAK,29-Jun-2025 05:53 PM,Accepted-AOC,1st lowest - Winner in the Lottery,16-Oct-2025 05:55 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,9,2984044,SMRUTI SOURABHA NAYAK,30-Jun-2025 03:46 PM,Rejected-Technical,EMD exemption Affidavit not submitted.,26-Jul-2025 08:54 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,10,2982976,TRUPTIMAYEE NAIK,29-Jun-2025 07:24 PM,Rejected-AOC,lowest,16-Oct-2025 05:55 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
