Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
08-Aug-2025 11:00 AM,06-Sep-2025 11:00 AM,08-Aug-2025 11:00 AM,04-Sep-2025 05:30 PM,08-Aug-2025 11:00 AM ,03-Sep-2025 05:30 PM ,08-Aug-2025 11:00 AM,04-Sep-2025 05:30 PM,1.0,ICICI BANK,Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Balangir||MURIBAHAL Block,ONLINE-01-2025-26-MURIBAHAL BLOCK,2025_PRBMU_116333_3,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"PAN,GSTIN,REGISTRATION CERTIFICATE,AFFIDAVIT REGARDING CORRECTNESS AND OTHER DOCUMENTS AS PER DTCN","6,000",Nil,Nil,Yes,"BDO,Muribahal",Panchayat Samiti Muribahal,"15,146",Yes,fixed,,Nil,Nil,Construction of 1 no of Additional Class Room at Kharali Primary School,Construction of 1 no of Additional Class Room at Kharali Primary School,Please refer tender documents ,NA ,"15,14,520",Civil Works - Buildings,NA ,Tender,180.0,180.0,Muribahal Block,767037.0,NA ,NA ,NA ,"Conference Hall,Muribahal",No ,No,AOC,Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Balangir||MURIBAHAL Block,2025_PRBMU_116333_3,ONLINE-01-2025-26-MURIBAHAL BLOCK,Construction of 1 no of Additional Class Room at Kharali Primary School,BDO Muribahal,Internal,,ABINASH MUDI,14-Sep-2025 03:08 PM,finsummary_548023.pdf (404.83 KB),Finance,All 10 nos of vendors except Promod Kuanr are admitted,ABINASH MUDI,13-Sep-2025 04:58 PM,finance_548023.pdf,BOQ Comparative Chart,1.0,3061779.0,Bishnu Sahu,INR,"1,287,493.894",1,3051052,BANA BIHARI JOSHI,30-Aug-2025 09:22 PM,Rejected-AOC,Not Selected in the transparent lottery,22-Oct-2025 02:11 PM,08-Oct-2025,"INR 1,514,610",180.0,GHENURAM TANDI,22-Oct-2025 02:11 PM,additionalclassroomatkharali.pdf (2341.00 KB),BDO Muribahal,Internal,,ABINASH MUDI,14-Sep-2025 02:34 PM,techsummary_548023.pdf (860.65 KB),AOC
,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,3061779,Bishnu Sahu,03-Sep-2025 08:15 PM,Accepted-AOC,Selected in the transparent lottery,22-Oct-2025 02:11 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,3061650,DOLAMANI CHHURA,03-Sep-2025 07:43 PM,Rejected-AOC,Not Selected in the transparent lottery,22-Oct-2025 02:11 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,3055751,GHASIRAM BAG,01-Sep-2025 05:04 PM,Rejected-AOC,Not Selected in the transparent lottery,22-Oct-2025 02:11 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,3042502,GOLEK NAIK,03-Sep-2025 09:43 PM,Rejected-AOC,Not Selected in the transparent lottery,22-Oct-2025 02:11 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,3059888,HARE KRUSHNASABAR,01-Sep-2025 06:28 PM,Rejected-AOC,Not Selected in the transparent lottery,22-Oct-2025 02:11 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,3063431,MAA MANGALA TRADERS,04-Sep-2025 03:16 PM,Rejected-AOC,Not Selected in the transparent lottery,22-Oct-2025 02:11 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,3060650,MALATI BAG,03-Sep-2025 01:27 PM,Rejected-AOC,Not Selected in the transparent lottery,22-Oct-2025 02:11 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,3043213,MAMATA KUMBHAR,03-Sep-2025 11:17 AM,Rejected-AOC,Not Selected in the transparent lottery,22-Oct-2025 02:11 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,3061827,PITAMBAR TANDI,03-Sep-2025 02:10 PM,Rejected-AOC,Not Selected in the transparent lottery,22-Oct-2025 02:11 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,11,3048690,PRAMOD KUANR,25-Aug-2025 05:45 PM,Not Admitted-Fee/PreQual/Technical/Finance,Others-Not admitted as docs have not submitted as mentioned,13-Sep-2025 04:58 PM,,,,,,,,,,,,,AOC
