S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage
1.0,3044167.0,SISIR KUMAR NAYAK,INR,"24,720,442",AS PER AS ACCEPTANCE,Internal,AS PER AS ACCEPTANCE,Bikram Keshari Malla,24-Oct-2025 05:26 PM,finsummary_548728.pdf (563.51 KB),Technical,5 Nos. of bidders have been participated,LAXMIPRIYA NAYAK,25-Aug-2025 06:39 PM,,Orissa State Police Housing and Welfare Corporation Ltd,2025_OSPHW_116602_9,09/OPHWC/2025-26,Constn. of 8 nos. F type Staff Qtrs. at Mahakalapada Fire Station in Kendrapara District,Finance,financial bid opened,MONALISHA PADHY,22-Sep-2025 11:19 AM,,BOQ Comparative Chart,AS PER AS TC MINUTES,Internal,AS PER AS TC MINUTES,ANANDA CHANDRA PANDA,20-Sep-2025 07:00 PM,22-Sep-2025 10:30 AM,techsummary_548728.pdf (334.04 KB),24-Oct-2025,"INR 24,720,442",300.0,Bikram Keshari Malla,24-Oct-2025 05:29 PM,MAHAKALAPADA_WO.pdf (78.00 KB),AWARDED AS L1 TENDERER AND AWARDED ON DATE 22.10.2025,1,3044559,BANKA BIHARI MALLICK,22-Aug-2025 02:18 PM,Rejected-Finance,DUE TO L3 BIDDER,24-Oct-2025 05:26 PM,AOC,07-Aug-2025 06:55 PM,25-Aug-2025 10:30 AM,07-Aug-2025 06:55 PM,22-Aug-2025 05:00 PM,NA ,NA ,07-Aug-2025 06:55 PM,22-Aug-2025 05:00 PM,22-Sep-2025 10:30 AM,Orissa State Police Housing and Welfare Corporation Ltd,09/OPHWC/2025-26,2025_OSPHW_116602_9,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"GST, GSTR-1, PAN, Contractor Registration Certificate and Affidavit",1.0,ICICI BANK,"2,90,800",Yes,fixed,,Nil,Nil,Constn. of 8 nos. F type Staff Qtrs. at Mahakalapada Fire Station in Kendrapara District,Building Work,Please refer Tender documents. ,NA ,"2,90,79,452",Civil Works - Buildings,NA ,Tender,90.0,300.0,Kendrapara,751022.0,NA ,NA ,NA ,OPHWC BHUBANESWAR,No ,No,"11,800",0.0,Nil,Nil,No,CHIEF ENGINEER OPHWC,OPHWC BHUBANESWAR,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3044431,BISWAJIT ROUT,22-Aug-2025 01:41 PM,Rejected-Finance,DUE TO L2 BIDDER,24-Oct-2025 05:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Document as per DTCN,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3043926,madhab charan sethy,21-Aug-2025 08:00 PM,Rejected-Technical,Non submission of adequate similar nature of work as per DTCN Cl. No. 11 and 110 (k).,20-Sep-2025 07:00 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3042440,MESSERS DAKSHYA CONSTRUCTION,20-Aug-2025 01:27 PM,Rejected-Finance,DUE TO L3 BIDDER,24-Oct-2025 05:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3044167,SISIR KUMAR NAYAK,22-Aug-2025 02:33 PM,Accepted-AOC,QUALIFIED BIDDER,24-Oct-2025 05:30 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
