Name,Address,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"Executive Engineer, L.I.Division, Bhawanipatna",At - Infront of GOVT. ITI Po - Bhawanipatna,1.0,ICICI BANK,REINFORCEMENT OF BORGUDA-I AND BORGUDA-III LIFT IRRIGATION PROJECT UNDER JUNAGARH BLOCK IN KALAHANDI DISTRICT,REINFORCEMENT OF BORGUDA-I AND BORGUDA-III LIFT IRRIGATION PROJECT UNDER JUNAGARH BLOCK IN KALAHANDI DISTRICT,Please refer to Tender Documents ,NA ,"12,61,000",Civil Works - Lift Irrigation Schemes,NA ,Tender,90.0,60.0,JUNAGARH,766014.0,NA ,NA ,NA ,"O/O The Executive Engineer L.I.Division,Bhawanipat",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"TenderPaperCost,EMD,GSTChallan,GSTIN,PAN,Affidavit,CivilandHTLicenseJointVenture, Others as per DTCN","12,610",Yes,fixed,,Nil,Nil,Orissa Lift Irrigation Corporation||LI Western Circle Bhawanipatna||LI Division Bhawanipatna,OLIC-BPT-02/2025-26 Dt.01.05.2025,2025_OLIC_113047_5,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,"7,080",0.0,Nil,Nil,No,07-May-2025 11:00 AM,17-May-2025 11:00 AM,07-May-2025 11:00 AM,16-May-2025 05:00 PM,07-May-2025 11:00 AM ,14-May-2025 05:00 PM ,07-May-2025 11:00 AM,16-May-2025 05:00 PM,AOC,1,2916319,AGRAWALLA POWER INFRASTRUCTURE,16-May-2025 09:46 AM,Rejected-AOC,L2 not Selected,17-Oct-2025 05:23 PM,25-Aug-2025,"INR 1,071,976",60.0,BIPRA SOREN,17-Oct-2025 05:22 PM,5BorgudaIandIandII.pdf (4583.00 KB),AWARD OF CONTRACT,Bipra Soren,Internal,Bipra Soren Santosh Kumar Kisan Dyllod Nag Jagannath Das,BIPRA SOREN,20-Aug-2025 11:45 AM,finsummary_538292.pdf (2850.44 KB),Finance,Bid Opening summary uploaded as per bidding. The L1 bidder will be accepted after Technical evaluation.,BIPRA SOREN,30-Jun-2025 12:31 PM,finance_538292.pdf,BOQ Comparative Chart,Bipra Soren,Internal,Bipra Soren Santosh Kumar Kisan Krushna Ch. Sahu Dyllod Nag Jagannath Das,BIPRA SOREN,22-Jul-2025 06:13 PM,techsummary_538292.pdf (3055.00 KB),Orissa Lift Irrigation Corporation||LI Western Circle Bhawanipatna||LI Division Bhawanipatna,2025_OLIC_113047_5,OLIC-BPT-02/2025-26 Dt.01.05.2025,REINFORCEMENT OF BORGUDA-I AND BORGUDA-III LIFT IRRIGATION PROJECT UNDER JUNAGARH BLOCK IN KALAHANDI DISTRICT,1.0,2918465.0,RATHA MEHER,INR,"1,071,976",AOC
,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,2918271,JUGAL KISHOR SAHU,15-May-2025 11:16 PM,Rejected-Finance,L3 not Selected,20-Aug-2025 11:45 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,2919602,MAHENDRA NAIK,15-May-2025 08:40 PM,Rejected-Finance,L3 not Selected,20-Aug-2025 11:45 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,2918635,Minakshi Bishi,16-May-2025 12:20 AM,Rejected-Finance,L3 not Selected,20-Aug-2025 11:45 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,2918031,M/S ADARSH AGENCY (PROP. ADARSH PRATAP SINGH),15-May-2025 06:05 PM,Rejected-Finance,L3 not Selected,20-Aug-2025 11:45 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,2918367,M/S DEV CONSTRUCTIONS,16-May-2025 03:19 PM,Rejected-Finance,L3 not Selected,20-Aug-2025 11:45 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,2918193,PAYAL AGRAWAL,16-May-2025 10:06 AM,Rejected-Finance,L3 not Selected,20-Aug-2025 11:45 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,2918465,RATHA MEHER,16-May-2025 12:07 AM,Accepted-AOC,L1 and Accepted,17-Oct-2025 05:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,2909791,RUP KUMAR AGRAWAL PROP KP ELECTRICALS,13-May-2025 08:54 PM,Rejected-Finance,L3 not Selected,20-Aug-2025 11:45 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,2913047,SHASHI BHUSAN PRAHARAJ,14-May-2025 01:46 PM,Rejected-Finance,L3 not Selected,20-Aug-2025 11:45 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
