Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Finance,Out of total 18 nos of bidders 18 nos of bidders Technically qualified for opening of financial bid,ARATI PRADHAN,18-Sep-2025 12:45 PM,,BOQ Comparative Chart,03-Oct-2025,"INR 868,482.28",180.0,Baikuntha Dalai,08-Oct-2025 11:02 AM,18.pdf (1073.00 KB),AOC,1.0,2948270.0,TRUPTIMAYEE NAYAK,INR,"868,482.28","CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR||EE Nayagarh Irri.Divn. Nayagarh",2025_CELBB_113496_18,BID IDENTIFICATION NO.SE_02_NGR_OF 2025-26,Improvement of Kendupalli minor of BBIP with lining work between RD 2650m to 2810m for the year 2025-26,1,2945037,BASANTI SWAIN,31-May-2025 02:48 PM,Rejected-AOC,Unsuccessful during Transparent Lottery,08-Oct-2025 11:03 AM,SE Nayagarh,Internal,"Er.Baikunthanath Dalei,Superintending Engineer,Pradip Kumar Sahoo(DAO), Er.Sanjeet Kumar Sahoo Estimator,Er.Arati Pradhan,JE Estimator",ARATI PRADHAN,18-Sep-2025 12:48 PM,techsummary_539821.pdf (227.92 KB),SE Nayagarh,Internal,"Er.Baikunthanath Dalei,Superintending Engineer,Pradip Kumar Sahoo(DAO), Er.Sanjeet Kumar Sahoo Estimator,Er.Arati Pradhan,JE Estimator",ARATI PRADHAN,03-Oct-2025 12:41 PM,finsummary_539821.pdf (227.92 KB),AOC,19-May-2025 09:00 AM,03-Jun-2025 11:00 AM,19-May-2025 09:00 AM,02-Jun-2025 05:00 PM,NA ,NA ,19-May-2025 09:00 AM,02-Jun-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"VALID CDMS,GST,PAN,REG CERTIFICATE, NO RELATION,AFFIDEFIT, OTHER DOCUMENT AS DTCN",S.E Nayagarh,"O/O The S.E Nayagarh Irrigation Division, Nayagarh","6,000",0.0,Nil,Nil,No,"CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR||EE Nayagarh Irri.Divn. Nayagarh",BID IDENTIFICATION NO.SE_02_NGR_OF 2025-26,2025_CELBB_113496_18,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,"10,300",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,Improvement of Kendupalli minor of BBIP with lining work between RD 2650m to 2810m for the year 2025-26,Improvement of Kendupalli minor of BBIP with lining work between RD 2650m to 2810m for the year 2025-26,Please refer Tender documents. ,NA ,,Civil Works - Others,NA ,Tender,90.0,NA ,NAYAGARH,752069.0,NA ,NA ,NA ,"S.E Nayagarh Irrigation Division, Nayagarh",No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,2,2942610,BIRANCHI NARAYAN PRADHAN,31-May-2025 03:01 PM,Rejected-AOC,Unsuccessful during Transparent Lottery,08-Oct-2025 11:03 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,3,2947743,DUKHISHYAMA MOHANTY,02-Jun-2025 09:07 AM,Rejected-AOC,Unsuccessful during Transparent Lottery,08-Oct-2025 11:03 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,4,2948017,FIROZ KHAN,02-Jun-2025 12:55 PM,Rejected-AOC,Unsuccessful during Transparent Lottery,08-Oct-2025 11:03 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,5,2938133,JANAKI NAYAK,30-May-2025 12:03 PM,Rejected-AOC,Unsuccessful during Transparent Lottery,08-Oct-2025 11:03 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,6,2939707,JHUNUBALA SAHOO,30-May-2025 07:44 PM,Rejected-AOC,Unsuccessful during Transparent Lottery,08-Oct-2025 11:03 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,7,2945647,MAHAVEER CONSTRUCTION,31-May-2025 07:38 PM,Rejected-AOC,Unsuccessful during Transparent Lottery,08-Oct-2025 11:03 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,8,2934489,NARENDRA KUMAR CHOUDHURY,27-May-2025 12:54 PM,Rejected-AOC,Unsuccessful during Transparent Lottery,08-Oct-2025 11:03 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,9,2947778,NIRANJAN PARIDA,02-Jun-2025 02:46 PM,Rejected-AOC,Unsuccessful during Transparent Lottery,08-Oct-2025 11:03 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,10,2932106,PRADEEPTA KUMAR CHOUDHURY,31-May-2025 06:00 PM,Rejected-AOC,Unsuccessful during Transparent Lottery,08-Oct-2025 11:03 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,11,2942991,Samarendra Swain,31-May-2025 06:12 PM,Rejected-AOC,Unsuccessful during Transparent Lottery,08-Oct-2025 11:03 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,12,2935498,SBL CONSTRUCTION,27-May-2025 04:34 PM,Rejected-AOC,Unsuccessful during Transparent Lottery,08-Oct-2025 11:03 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,13,2940081,SISIR KUMAR PRADHAN,02-Jun-2025 04:12 PM,Rejected-AOC,Unsuccessful during Transparent Lottery,08-Oct-2025 11:03 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,14,2944594,SUDARSHAN MAHARANA,02-Jun-2025 08:15 AM,Rejected-AOC,Unsuccessful during Transparent Lottery,08-Oct-2025 11:03 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,15,2947317,SURESH KUMAR BHUJABAL,02-Jun-2025 07:22 AM,Rejected-AOC,Unsuccessful during Transparent Lottery,08-Oct-2025 11:03 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,16,2938712,SURESH SAHOO,30-May-2025 08:55 PM,Rejected-AOC,Unsuccessful during Transparent Lottery,08-Oct-2025 11:03 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
