Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,S.No,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Finance,19nos bids received,Mohammed Shahbaz,12-Aug-2025 11:28 AM,,BOQ Comparative Chart,30-Oct-2025,"INR 1,951,906",30.0,Mohammed Shahbaz,30-Oct-2025 06:48 PM,116114_13_A.pdf (407.00 KB),The agency has been finalised on transparent lottery system and the date of commencement may be treated as 12.09.2025 to complete the work by 11.10.2025 in all respect,1.0,3020410.0,AMIYA SAMANTRAY,INR,"1,951,906",EIC-CIVIL||SERNB-CIRCLE-CUTTACK||EERNB-DIVN-CUTTACK,2025_EICCL_116114_13,SE CTC (RandB)-22 of 2025-26,"S/R to Cuttack City ring Road from BOSE gada to Gadagadia Gada, Cuttack (from 2/300km to 3/500km) for the year 2025-26 (such as Providing 25mm thick SDBC) Right Side",1,3028819,AKS MINING INFRACON,08-Aug-2025 04:34 PM,Rejected-Technical,Disqualified due to non submission of Schedule-A in proper format,22-Aug-2025 02:10 PM,Er Md Shahbaz SE,Internal,Er Nirupama Sahoo AE Estr Er Amiya Ranjan Sinha EE(OSD) Mr N Srinibas Sr DAO,Mohammed Shahbaz,22-Aug-2025 02:10 PM,techsummary_547484.pdf (913.07 KB),Er. Md Shahbaz SE,Internal,Er Nirupama Sahoo AE Estr Er Amiya Ranjan Sinha EE(OSD) Mr N Srinibash Sr DAO,Mohammed Shahbaz,30-Oct-2025 06:44 PM,finsummary_547484.pdf (1111.72 KB),AOC,1.0,ICICI BANK,SE Cuttack RandB Division No.I,O/O SE Cuttack RandB Division No.I Cuttack,1.0,Fee/PreQual/Technical/Finance,.pdf,"Regd Certificate, GSTIN, PAN, Affidavit and other mandatory documents as per DTCN",25-Jul-2025 05:00 PM,11-Aug-2025 11:00 AM,25-Jul-2025 05:00 PM,08-Aug-2025 05:00 PM,NA ,NA ,25-Jul-2025 05:00 PM,08-Aug-2025 05:00 PM,"6,000",0.0,Nil,Nil,No,"23,000",Yes,fixed,,Nil,Nil,"S/R to Cuttack City ring Road from BOSE gada to Gadagadia Gada, Cuttack (from 2/300km to 3/500km) for the year 2025-26 (such as Providing 25mm thick SDBC) Right Side",Road work,As per DTCN ,NA ,"22,96,090",Civil Works - Roads,NA ,Tender,90.0,30.0,Cuttack,753001.0,NA ,NA ,NA ,O/O SE Cuttack RandB Division No.I Cuttack,No ,No,EIC-CIVIL||SERNB-CIRCLE-CUTTACK||EERNB-DIVN-CUTTACK,SE CTC (RandB)-22 of 2025-26,2025_EICCL_116114_13,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,2,3022220,AMITABH SWAIN,03-Aug-2025 01:16 PM,Rejected-AOC,Rejected,30-Oct-2025 06:48 PM,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,.xls,Bill of Quantities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,3,3020410,AMIYA SAMANTRAY,07-Aug-2025 12:48 PM,Accepted-AOC,Accepted,30-Oct-2025 06:48 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,4,3024777,ARACHIS ZEPPELIN SERVICES PRIVATE LIMITED,05-Aug-2025 04:19 PM,Rejected-AOC,Rejected,30-Oct-2025 06:48 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,5,3028760,BIJAY KUMAR PARIDA,08-Aug-2025 04:45 PM,Rejected-AOC,Rejected,30-Oct-2025 06:48 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,6,3024966,BISWANATH BEHERA,05-Aug-2025 07:21 PM,Rejected-AOC,Rejected,30-Oct-2025 06:48 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,7,3027725,DEBASHIS SWAIN,07-Aug-2025 08:41 PM,Rejected-AOC,Rejected,30-Oct-2025 06:48 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,8,3027982,DEBASISH BHUYAN,08-Aug-2025 10:21 AM,Rejected-AOC,Rejected,30-Oct-2025 06:48 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,9,3027783,"GANGADHAR PRADHAN,PROP.-PRADHAN GENERAL SUPPLIER",07-Aug-2025 09:31 PM,Rejected-AOC,Rejected,30-Oct-2025 06:48 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,10,3028535,GYANAJYOTI RANJAN ROUT,08-Aug-2025 02:39 PM,Rejected-AOC,Rejected,30-Oct-2025 06:48 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
