S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,2887571.0,NARAYAN PRASAD JIT,INR,"781,697",Finance,The 31 nos of tender documents have been downloaded successfully,Suresh Behera,16-Oct-2025 05:09 PM,finance_535918.pdf,BOQ Comparative Chart,Er. Suresh Behera,Internal,Er. Jagannath Singh,Suresh Behera,16-Oct-2025 05:21 PM,finsummary_535918.pdf (470.07 KB),"CE-BM,BSB Basin,Laxmiposi||SE,Subarnarekha Irr.Circle,Laxmiposi||EE,Subarnarekha Irr.Divn-I,Jharapokharia",2025_CEBML_112386_1,"Bid Identification No. 01/2025-26 of S.E., S.I.D. No.I, Jharpokharia",Construction of compound wall of Baba Subarneswar Mahadev Temple at Rangibeda under R and R assistance of haladia Reservoir of Subarnarekha Irrigation Project,Er. Suresh Behera,Internal,Er. Jagannath Singh,Suresh Behera,16-Oct-2025 05:13 PM,techsummary_535918.pdf (1123.01 KB),16-Oct-2025,"INR 781,697",90.0,Suresh Behera,16-Oct-2025 05:25 PM,workorder.pdf (533.00 KB),1,2884411,AMRIT KUMAR SINGH,15-Apr-2025 11:33 AM,Rejected-Finance,Not A Lottery Winner,16-Oct-2025 05:21 PM,AOC,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,Technical Bid,"CE-BM,BSB Basin,Laxmiposi||SE,Subarnarekha Irr.Circle,Laxmiposi||EE,Subarnarekha Irr.Divn-I,Jharapokharia","Bid Identification No. 01/2025-26 of S.E., S.I.D. No.I, Jharpokharia",2025_CEBML_112386_1,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,1st corrigendum,Other,,Construction of compound wall of Baba Subarneswar Mahadev Temple at Rangibeda under R and R assistance of haladia Reservoir of Subarnarekha Irrigation Project,compound wall,"Tender paper cost, EMD, CRC, Valid GSTIN, PAN, Affidavit, No relation Certificate and others documents as per DTCN ",NA ,"9,19,535",Civil Works - Buildings,NA ,Tender,90.0,90.0,"Ragibeda, Kuchai, Mayurbhanj",757105.0,NA ,NA ,NA ,"O/O the S.E. S.I. Division No.I, Jharpokharia",No ,No,"S.E., S.I. Division No.I, Jharpokharia","O/O the S.E. S.I. Division No.I, Jharpokharia, At/Po-Sankucha, Via. KM Kota, Mayurbhanj","9,195",Yes,fixed,,Nil,Nil,10-Apr-2025 12:30 PM,21-Apr-2025 11:30 AM,10-Apr-2025 12:30 PM,19-Apr-2025 05:00 PM,10-Apr-2025 12:30 PM ,19-Apr-2025 05:00 PM ,10-Apr-2025 12:30 PM,19-Apr-2025 05:00 PM,"4,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2888817,ANTARYAMI SAHU,19-Apr-2025 03:00 PM,Rejected-Finance,Not A Lottery Winner,16-Oct-2025 05:21 PM,AOC,2.0,ICICI NEFT/RTGS,,,.xls,Financial Bid (BOQ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2886591,BHAGABAN PALBABU,17-Apr-2025 09:08 PM,Rejected-Finance,Not A Lottery Winner,16-Oct-2025 05:21 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2885224,BIKASH BEHERA,15-Apr-2025 07:12 PM,Rejected-Finance,Not A Lottery Winner,16-Oct-2025 05:21 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2888300,BIRENDRA KUMAR BEHERA,18-Apr-2025 07:50 PM,Rejected-Finance,Not A Lottery Winner,16-Oct-2025 05:21 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2887639,BRAHMANANDA SAHU,18-Apr-2025 06:49 AM,Rejected-Technical,As per evaluation,16-Oct-2025 05:13 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2888876,CHANDAN BEHERA,19-Apr-2025 03:23 PM,Rejected-Finance,Not A Lottery Winner,16-Oct-2025 05:21 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2887527,CHINMAYA PAIKARAY,17-Apr-2025 05:32 PM,Rejected-Finance,Not A Lottery Winner,16-Oct-2025 05:21 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2886765,Debanarayan Pusti,16-Apr-2025 11:30 PM,Rejected-Finance,Not A Lottery Winner,16-Oct-2025 05:21 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2887965,GAGAN NAIK,18-Apr-2025 01:49 PM,Rejected-Finance,Not A Lottery Winner,16-Oct-2025 05:21 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
