S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage
1.0,2834358.0,JYOTI RANJAN RAUT,INR,"23,589,269",EIC-CIVIL||SERNB-CIRCLE-JEYPORE,2025_EICCL_110357_2,CCEJC R AND B 12/2024-25,"CONSTRUCTION OF 8 NOS FLAT S PLUS 2 FLOORS OF E TYPE STAFF QTRS AT CHC CHANDAHANDI, NABARANGPUR",Technical,ABOVE BIDDERS ARE PROVISIONALLY QUALIFIED FOR TECHNICAL EVALUATION.,Ashok Kumar Behera,07-Mar-2025 04:34 PM,technical_529208.pdf,BISWANATH MARNDI,Internal,,Biswanath Marndi,08-Oct-2025 04:33 PM,finsummary_529208.pdf (2246.69 KB),Finance,Price bid of the above bidders Downloaded.,Ashok Kumar Behera,19-May-2025 01:34 PM,finance_529208.pdf,BOQ Comparative Chart,1,2834725,AJAYA KUMAR SINGHAL,24-Feb-2025 01:59 PM,Rejected-AOC,FIRST LOWEST BIDDER PARTICIPATED IN TRANSPARENT LOTTERY BUT DID NOT SELECTED.,08-Oct-2025 04:39 PM,08-Oct-2025,"INR 23,589,269",300.0,Biswanath Marndi,08-Oct-2025 04:39 PM,ChandahandiAOC.pdf (548.00 KB),FIRST LOWEST BID OF SRI JYOTI RANJAN ROUT SELECTED THROUGH TRANSPARENT LOTTERY SYSTEM.,AOC,EIC-CIVIL||SERNB-CIRCLE-JEYPORE,CCEJC R AND B 12/2024-25,2025_EICCL_110357_2,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,10-Feb-2025 11:45 AM,25-Feb-2025 10:00 AM,10-Feb-2025 11:45 AM,24-Feb-2025 05:00 PM,NA ,NA ,10-Feb-2025 11:45 AM,24-Feb-2025 05:00 PM,07-May-2025 01:10 PM,"10,000",0.0,Nil,Nil,No,CHIEF CONSTRUCTION ENGINEER,Chief Construction Engineer Jeypore R and B circle Jeypore,"2,77,000",Yes,fixed,,Nil,Nil,"CONSTRUCTION OF 8 NOS FLAT S PLUS 2 FLOORS OF E TYPE STAFF QTRS AT CHC CHANDAHANDI, NABARANGPUR",CIVIL WORKS,Please refer Tender documents. ,NA ,"2,77,48,817",Civil Works - Buildings,BUILDING ,Tender,90.0,300.0,NABARANGPUR,764059.0,NA ,NA ,NA ,O/O C.C.E R and B Circle Jeypore,No ,No,1.0,Fee/PreQual/Technical,.pdf,"Tender Cost, EMD, GST Registration Certificate and GSTIN, PAN, Contractor RC",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,2,2835713,BALABIRA PATRO,24-Feb-2025 04:13 PM,Rejected-Finance,THIRD LOWEST BIDDER,08-Oct-2025 04:33 PM,,,,,,,,AOC,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit Undertakings and Other Documents as per SBD/DTCN,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,3,2835486,BISHNU CHARAN NAYAK,24-Feb-2025 03:27 PM,Rejected-Finance,SECOND LOWEST BIDDER,08-Oct-2025 04:33 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,4,2835557,Dhiraj Kumar Agrawal,24-Feb-2025 04:28 PM,Rejected-AOC,FIRST LOWEST BIDDER PARTICIPATED IN TRANSPARENT LOTTERY BUT DID NOT SELECTED.,08-Oct-2025 04:39 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,5,2834358,JYOTI RANJAN RAUT,24-Feb-2025 10:59 AM,Accepted-AOC,FIRST LOWEST BIDDER PARTICIPATED IN TRANSPARENT LOTTERY AND SELECTED.,08-Oct-2025 04:39 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,6,2833763,kamal kishor agrawal,24-Feb-2025 01:51 PM,Rejected-AOC,FIRST LOWEST BIDDER PARTICIPATED IN TRANSPARENT LOTTERY BUT DID NOT SELECTED.,08-Oct-2025 04:39 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,7,2835510,Manisha Padhi,24-Feb-2025 03:29 PM,Rejected-Finance,THIRD LOWEST BIDDER,08-Oct-2025 04:33 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,8,2835671,PRABHAT KUMAR BISOYI,24-Feb-2025 04:44 PM,Rejected-Finance,THIRD LOWEST BIDDER,08-Oct-2025 04:33 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,9,2833493,Sanjaya Kumar Agrawal,23-Feb-2025 10:18 PM,Rejected-AOC,FIRST LOWEST BIDDER PARTICIPATED IN TRANSPARENT LOTTERY BUT DID NOT SELECTED.,08-Oct-2025 04:39 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,10,2835210,SHASHIRAM MANGARAJ,24-Feb-2025 02:18 PM,Rejected-Finance,FORTH LOWEST BIDDER,08-Oct-2025 04:33 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
