S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,2970457.0,PRATAP KISHOR NAIK,INR,"614,672.48",Finance,BID AND BOQ OPENED SUCCESSFULLY,Santha Kumar Naik,09-Jul-2025 06:09 PM,,BOQ Comparative Chart,Raj Kumar Behera SUPERINTENDING ENGINEER,Internal,DIVISIONAL ESTIMATOR DIVISIONAL ACCOUNTANT,Raj Kumar Behera,11-Oct-2025 03:11 PM,finsummary_542804.pdf (1071.08 KB),CCE Upper Indravati Irrigation Project Mukhiguda||CCE Upper Indravati Irrigation Project Mukhiguda,2025_CEUIP_114366_6,"SE, RCD-I-01(01-14)/ 25-26 Dt.04.06.2025","Renovation of Fall and Construction of C.C wall lining from RD 320 M to RD 370 M and Bed, Hunching from RD 50 M to 220 M of Atigaon S/M and Bed, Hunching from RD 15 M to 20 M of Atigaon S/M-I.",Raj Kumar Behera SUPERINTENDING ENGINEER,Internal,DIVISIONAL ESTIMATOR DIVISIONAL ACCOUNTANT,Raj Kumar Behera,11-Oct-2025 02:23 PM,techsummary_542804.pdf (1071.08 KB),1,2972566,DINESH BAGARTI,18-Jun-2025 09:23 PM,Rejected-AOC,NOT SELECTED THROUGH TRANSPERENT LOTTERY,11-Oct-2025 08:03 PM,11-Oct-2025,"INR 614,672.48",150.0,Raj Kumar Behera,11-Oct-2025 08:03 PM,sewo.pdf (23340.00 KB),Awarded to Sri Pratap Kishor Naik C Class SC Contractor,AOC,CCE Upper Indravati Irrigation Project Mukhiguda||CCE Upper Indravati Irrigation Project Mukhiguda,"SE, RCD-I-01(01-14)/ 25-26 Dt.04.06.2025",2025_CEUIP_114366_6,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,"7,300",Yes,fixed,,Nil,Nil,11-Jun-2025 10:00 AM,20-Jun-2025 10:00 AM,11-Jun-2025 10:00 AM,19-Jun-2025 05:00 PM,11-Jun-2025 10:00 AM ,13-Jun-2025 05:00 PM ,11-Jun-2025 10:00 AM,19-Jun-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Cost, EMD, GSTIN, PAN, RC, Affidavit, NRC and any other document as per DTCN","SE, UIRCD-I, Mukhiguda","Office of the SE, UIRCD-I, Mukhiguda, Dist- Kalahandi, Odisha, PIN-766026","Renovation of Fall and Construction of C.C wall lining from RD 320 M to RD 370 M and Bed, Hunching from RD 50 M to 220 M of Atigaon S/M and Bed, Hunching from RD 15 M to 20 M of Atigaon S/M-I.",CANAL WORKS,REFER TENDER DOCUMENTS ,NA ,"7,23,059",Civil Works - Canal,NA ,Tender,90.0,150.0,Mukhiguda,766026.0,NA ,NA ,NA ,"Office of the SE, UIRCD-I, Mukhiguda",No ,No,1.0,ICICI BANK,"4,000",Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2973105,HARI SANKAR SAHU,19-Jun-2025 10:07 AM,Rejected-AOC,NOT SELECTED THROUGH TRANSPERENT LOTTERY,11-Oct-2025 08:03 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2972040,M/s BHARAT BHUSHAN GAHIR,18-Jun-2025 05:28 PM,Rejected-AOC,NOT SELECTED THROUGH TRANSPERENT LOTTERY,11-Oct-2025 08:03 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2969801,N.SURESH,19-Jun-2025 05:57 AM,Rejected-AOC,NOT SELECTED THROUGH TRANSPERENT LOTTERY,11-Oct-2025 08:03 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2968761,PARESHARANJAN AGASTI,16-Jun-2025 01:06 PM,Rejected-AOC,NOT SELECTED THROUGH TRANSPERENT LOTTERY,11-Oct-2025 08:03 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2970457,PRATAP KISHOR NAIK,18-Jun-2025 12:23 PM,Accepted-AOC,SELECTED THROUGH TRANSPERENT LOTTERY,11-Oct-2025 08:03 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2972996,RATHA MEHER,19-Jun-2025 03:28 PM,Rejected-AOC,NOT SELECTED THROUGH TRANSPERENT LOTTERY,11-Oct-2025 08:03 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2971646,Sachidananda Majhi,19-Jun-2025 11:22 AM,Rejected-AOC,NOT SELECTED THROUGH TRANSPERENT LOTTERY,11-Oct-2025 08:03 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2967298,SHASHI BHUSAN PRAHARAJ,17-Jun-2025 09:08 PM,Rejected-AOC,NOT SELECTED THROUGH TRANSPERENT LOTTERY,11-Oct-2025 08:03 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2973203,SHIVRAM MEHER,19-Jun-2025 02:46 PM,Rejected-AOC,NOT SELECTED THROUGH TRANSPERENT LOTTERY,11-Oct-2025 08:03 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2971273,Sobhabati Meher,17-Jun-2025 08:27 PM,Rejected-AOC,NOT SELECTED THROUGH TRANSPERENT LOTTERY,11-Oct-2025 08:03 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2972862,SUSANTA KUMAR BODKIA,19-Jun-2025 04:24 PM,Rejected-AOC,NOT SELECTED THROUGH TRANSPERENT LOTTERY,11-Oct-2025 08:03 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,13,2972917,TRUPTIMAYEE PANDA,19-Jun-2025 06:04 AM,Rejected-AOC,NOT SELECTED THROUGH TRANSPERENT LOTTERY,11-Oct-2025 08:03 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,14,2972675,UPENDRA KUMAR BHOI,18-Jun-2025 08:59 PM,Rejected-AOC,NOT SELECTED THROUGH TRANSPERENT LOTTERY,11-Oct-2025 08:03 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
