S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Stage
1.0,2835548.0,Dhiraj Kumar Agrawal,INR,"30,358,600",EIC-CIVIL||SERNB-CIRCLE-JEYPORE,2025_EICCL_110357_1,CCEJC R AND B 12/2024-25,"CONSTRUCTION OF 8 NOS FLAT S PLUS 2 FLOORS OF D TYPE STAFF QTRS AT CHC CHANDAHANDI, NABARANGPUR",Technical,ABOVE BIDDERS ARE PROVISIONALLY QUALIFIED FOR TECHNICAL EVALUATION.,Ashok Kumar Behera,07-Mar-2025 04:33 PM,technical_529206.pdf,BISWANATH MARNDI,Internal,,Biswanath Marndi,24-Oct-2025 11:52 AM,finsummary_529206.pdf (2741.56 KB),BISWANATH MARNDI,Internal,"Sri Kshiradhara Kandhapani S.E Nabarangpur, DAO Nabarangpur R and B Division Er. Ashok Kumar Behera A.E.E. (I/C) Jeypore R and B Circle.",Subhendu Subhadarsan Dash,08-May-2025 10:06 AM,08-May-2025 12:25 PM,techsummary_529206.pdf (319.84 KB),Finance,PRICE BID OF THE ABOVE BIDDERS DOWNLOADED,Ashok Kumar Behera,19-May-2025 11:14 AM,finance_529206.pdf,BOQ Comparative Chart,24-Oct-2025,"INR 30,358,600",330.0,Biswanath Marndi,24-Oct-2025 11:56 AM,ChandahandiAOC.pdf (766.00 KB),first lowest bid of sri dhiraj kumar agrawal selected through transparent lottery system,1,2826852,BHIKARI CHARAN PRADHAN,21-Feb-2025 07:15 PM,Rejected-Technical,DTCN CLAUSE NO 11,08-May-2025 10:06 AM,AOC,EIC-CIVIL||SERNB-CIRCLE-JEYPORE,CCEJC R AND B 12/2024-25,2025_EICCL_110357_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"10,000",0.0,Nil,Nil,No,"3,57,000",Yes,fixed,,Nil,Nil,10-Feb-2025 11:45 AM,25-Feb-2025 10:00 AM,10-Feb-2025 11:45 AM,24-Feb-2025 05:00 PM,NA ,NA ,10-Feb-2025 11:45 AM,24-Feb-2025 05:00 PM,08-May-2025 12:25 PM,CHIEF CONSTRUCTION ENGINEER,Chief Construction Engineer Jeypore R and B circle Jeypore,"CONSTRUCTION OF 8 NOS FLAT S PLUS 2 FLOORS OF D TYPE STAFF QTRS AT CHC CHANDAHANDI, NABARANGPUR",CIVIL WORKS,Please refer Tender documents. ,NA ,"3,57,11,798",Civil Works - Buildings,BUILDING ,Tender,90.0,330.0,NABARANGPUR,764059.0,NA ,NA ,NA ,O/O C.C.E R and B Circle Jeypore,No ,No,1.0,Fee/PreQual/Technical,.pdf,"Tender Cost, EMD, GST Registration Certificate and GSTIN, PAN, Contractor RC",1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2835548,Dhiraj Kumar Agrawal,24-Feb-2025 04:23 PM,Accepted-AOC,FIRST LOWEST BIDDER PARTICIPATED IN LOTTERY SYSTEM AND SELECTED,24-Oct-2025 11:56 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit Undertakings and Other Documents as per SBD/DTCN,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2829618,MITTAL INFRAPROJECTS,21-Feb-2025 06:53 PM,Rejected-AOC,FIRST LOWEST BIDDER PARTICIPATED IN LOTTERY SYSTEM BUT DID NOT SELECTED,24-Oct-2025 11:56 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2835897,RAJAT MOHAPATRA,24-Feb-2025 04:35 PM,Rejected-AOC,FIRST LOWEST BIDDER PARTICIPATED IN LOTTERY SYSTEM DID NOT SELECTED,24-Oct-2025 11:56 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2833496,Sanjaya Kumar Agrawal,23-Feb-2025 10:14 PM,Rejected-AOC,FIRST LOWEST BIDDER PARTICIPATED IN LOTTERY SYSTEM DID NOT SELECTED,24-Oct-2025 11:56 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2835520,SRI SANJAY SARKAR,24-Feb-2025 03:35 PM,Rejected-Finance,SECOND LOWEST BIDDER,24-Oct-2025 11:52 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
