S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
1.0,ICICI BANK,"69,500",Yes,fixed,,Nil,Nil,CHIEF ENGINEER OPHWC,OPHWC BHUBANESWAR,Orissa State Police Housing and Welfare Corporation Ltd,11/OPHWC/2025-26,2025_OSPHW_117544_29,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"Constn. of Outpost Building at Karlapada, Kalahandi",Building Work,Please refer Tender documents. ,NA ,"69,47,040",Civil Works - Buildings,NA ,Tender,90.0,180.0,Kalahandi,751022.0,NA ,NA ,NA ,OPHWC BHUBANESWAR,No ,No,"11,800",0.0,Nil,Nil,No,03-Sep-2025 05:00 PM,18-Sep-2025 10:30 AM,03-Sep-2025 05:00 PM,17-Sep-2025 05:00 PM,NA ,NA ,03-Sep-2025 05:00 PM,17-Sep-2025 05:00 PM,13-Oct-2025 10:30 AM,1.0,Fee/PreQual/Technical,.pdf,"GST, GSTR-1, PAN, Contractor Registration Certificate and Affidavit",AOC,Technical,1 bidder is participated,MONALISHA PADHY,18-Sep-2025 11:07 AM,,AS PER AS ACCEPTANCE LETTER,Internal,AS PER AS ACCEPTANCE LETTER,Bikram Keshari Malla,28-Oct-2025 01:04 PM,finsummary_551246.pdf (365.71 KB),Finance,Financial bid opened,MONALISHA PADHY,13-Oct-2025 11:21 AM,,BOQ Comparative Chart,AS PER TC MINUTES,Internal,AS PER TC MINUTES,ANANDA CHANDRA PANDA,10-Oct-2025 05:42 PM,13-Oct-2025 10:30 AM,techsummary_551246.pdf (309.64 KB),28-Oct-2025,"INR 6,877,570",180.0,Bikram Keshari Malla,28-Oct-2025 01:08 PM,WORKORDERT.pdf (522.00 KB),AWARDED AS L1 TENDERER AND AWARDED ON DATE 27.10.2025,1.0,3083319.0,ABHIMANYU NAIK,INR,"6,877,570",Orissa State Police Housing and Welfare Corporation Ltd,2025_OSPHW_117544_29,11/OPHWC/2025-26,"Constn. of Outpost Building at Karlapada, Kalahandi",1.0,3083319.0,ABHIMANYU NAIK,16-Sep-2025 01:35 PM,Accepted-AOC,QUALIFIED BIDDER,28-Oct-2025 01:08 PM,AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Document as per DTCN,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
