Name,Address,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
"CGM(C), OMC Ltd.","Office of the CGM(C), OMC Ltd., Bhubaneswar",1.0,ICICI BANK,Street lighting to OMC Ferro Chrome Plant at J.K.Road in the district of Jajpur.,Street lighting to OMC Ferro Chrome Plant at J.K.Road in the district of Jajpur.,"RC, EPF Regd., GSTN, PAN, License issued by ELBO, Affidavits, experience, etc. as per DTCN requirements ",NA ,"95,85,000",Electrical Works,NA ,Tender,180.0,120.0,JAJPUR ROAD,758018.0,NA ,NA ,NA ,"OMC Ltd., Bhubaneswar",No ,No,27-Dec-2023 05:30 PM,12-Jan-2024 11:00 AM,27-Dec-2023 05:30 PM,11-Jan-2024 05:00 PM,NA ,NA ,27-Dec-2023 05:30 PM,11-Jan-2024 05:00 PM,17-Feb-2024 09:00 AM,"95,900",Yes,fixed,,Nil,Nil,Orissa Mining Corporation,NIT No.61/OMC/CIVIL/2023,2023_OMC_98878_3,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"11,800",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,"RC, EPF Regd., GSTN, PAN, Registration in CDMS portal, Affidavits, experience, etc. as per DTCN requ",AOC,Orissa Mining Corporation,2023_OMC_98878_3,NIT No.61/OMC/CIVIL/2023,Street lighting to OMC Ferro Chrome Plant at J.K.Road in the district of Jajpur.,28-Oct-2025,"INR 8,318,500.53",120.0,Satyajit Jena,28-Oct-2025 01:00 PM,2023_OMC_98878_3.pdf (737.00 KB),Street lighting to OMC Ferro Chrome Plant at J.K.Road in the district of Jajpur.,1,2387773,BHARAT KUMAR SAHOO,11-Jan-2024 03:01 PM,Rejected-Finance,NOT BEING L1,28-Oct-2025 12:49 PM,Finance,Financial bid of 30 (Thirty) qualified bidders had been open,MINAKETAN DAS,17-Feb-2024 10:35 AM,,BOQ Comparative Chart,1.0,2387443.0,M/s BASANTI ELECTRICALS AND CONSTRUCTION,INR,"8,318,500.53",Technical,30 (Thirty) bids has been received subjected to evaluation by committee,MINAKETAN DAS,18-Jan-2024 11:32 AM,,R K PANDA,Internal,S JENA S PADHI BANITA PATRA,Satyajit Jena,28-Oct-2025 12:49 PM,finsummary_481279.pdf (220.72 KB),A K PAL,Internal,L D BEHERA S R PATTANAIK P K BISWAL N C BEHERA,Satyajit Jena,16-Feb-2024 05:36 PM,17-Feb-2024 09:00 AM,techsummary_481279.pdf (1817.33 KB),AOC
,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,FINANCIAL,AOC,,,,,,,,,,,,2,2375040,DIVINE ENTERPRISES,02-Jan-2024 06:34 PM,Rejected-Finance,NOT BEING L1,28-Oct-2025 12:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3,2372687,GREEN INNOVATIVE POWER PRIVATE LIMITED,30-Dec-2023 07:04 PM,Rejected-Finance,NOT BEING L1,28-Oct-2025 12:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,4,2384374,ICON BUILDERS,10-Jan-2024 12:28 PM,Rejected-Finance,NOT BEING L1,28-Oct-2025 12:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,5,2382542,JBS ENTERPRISES,08-Jan-2024 06:36 PM,Rejected-Finance,NOT BEING L1,28-Oct-2025 12:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,6,2387470,JUPITER ENGINEERS,11-Jan-2024 01:31 PM,Rejected-Finance,NOT BEING L1,28-Oct-2025 12:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,7,2387992,MARUTI CONSTRUCTIONS,11-Jan-2024 04:37 PM,Rejected-Finance,NOT BEING L1,28-Oct-2025 12:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,8,2387761,MESSERS BIRAJA ELECTRICAL AND CONSTRUCTION,11-Jan-2024 02:53 PM,Rejected-Finance,NOT BEING L1,28-Oct-2025 12:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,9,2386679,MESSERS OMM SAI ELECTRICALS,11-Jan-2024 04:17 AM,Rejected-Finance,NOT BEING L1,28-Oct-2025 12:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,10,2382007,MODERN WINDING AND ELECTRICALS,08-Jan-2024 01:45 PM,Rejected-Finance,NOT BEING L1,28-Oct-2025 12:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,11,2385215,M/S ASHRIBAD ENGINEERING,10-Jan-2024 12:01 PM,Rejected-Finance,NOT BEING L1,28-Oct-2025 12:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,12,2387443,M/s BASANTI ELECTRICALS AND CONSTRUCTION,11-Jan-2024 01:04 PM,Accepted-AOC,L1,28-Oct-2025 01:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,13,2383447,M/s. EASTERN ENGINEERING,09-Jan-2024 12:28 PM,Rejected-Finance,NOT BEING L1,28-Oct-2025 12:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,14,2377175,M/S GANGA ELECTRIC,08-Jan-2024 06:20 PM,Rejected-Finance,NOT BEING L1,28-Oct-2025 12:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,15,2387050,Ms. JAYANTI ELECTRICALS,11-Jan-2024 03:41 PM,Rejected-Finance,NOT BEING L1,28-Oct-2025 12:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,16,2384379,M/s. Mahaveer Enterprises,09-Jan-2024 07:19 PM,Rejected-Finance,NOT BEING L1,28-Oct-2025 12:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,17,2387426,M/S OJAS TRADERS AND CONTRACTORS,11-Jan-2024 01:22 PM,Rejected-Finance,NOT BEING L1,28-Oct-2025 12:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,18,2387697,M/S PATI POWER CONSTRUCTION,11-Jan-2024 02:34 PM,Rejected-Finance,NOT BEING L1,28-Oct-2025 12:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,19,2386174,M/S SARALA ENGINEERING WORKS,10-Jan-2024 06:37 PM,Rejected-Finance,NOT BEING L1,28-Oct-2025 12:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,20,2377171,M/s.TULSHI ENTERPRISES,08-Jan-2024 06:14 PM,Rejected-Finance,NOT BEING L1,28-Oct-2025 12:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,21,2387963,NIGAM MULTI PROJECT,11-Jan-2024 04:14 PM,Rejected-Finance,NOT BEING L1,28-Oct-2025 12:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
