S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage
1.0,3041149.0,BISWAJIT JENA,INR,"1,700,243.117",Finance,Bid Opening summary,Prafulla Kumar Behera,08-Sep-2025 01:12 PM,,BOQ Comparative Chart,"Managing Director, MARKFED, Odisha",Internal,MDMarkfedSecretaryMARKFEDGMFinanceMARKFEDExecutiveEngineerOSAMBoardAssistantEngineerOSAMBoardJuniorEngineerOSAMBoard,Prafulla Kumar Behera,08-Sep-2025 01:49 PM,finsummary_548095.pdf (782.77 KB),Odisha State Co-operative Marketing Federation Ltd,2025_OSCMF_116357_1,MARKFED/02/2025-26,Construction of CC approach road for 500 MT godown at Bhubaneswar,"Managing Director, MARKFED, Odisha",Internal,MDMarkfedSecretaryMARKFEDGMFinanceMARKFEDExecutiveEngineerOSAMBoardAssistantEngineerOSAMBoardJuniorEngineerOSAMBoard,Prafulla Kumar Behera,08-Sep-2025 01:36 PM,techsummary_548095.pdf (782.77 KB),09-Oct-2025,"INR 2,006,287",90.0,Prafulla Kumar Behera,16-Oct-2025 06:28 PM,Agreement.pdf (248.00 KB),AOC,1,3041722,ABINASH BISWAL,22-Aug-2025 12:04 PM,Rejected-AOC,Rejected through transparrent lottery system,16-Oct-2025 06:29 PM,AOC,Odisha State Co-operative Marketing Federation Ltd,MARKFED/02/2025-26,2025_OSCMF_116357_1,Yes,Open Tender,Item Rate,Works,1.0,No,No,Online,No,No,No,"6,000",Nil,Nil,No,04-Aug-2025 11:00 AM,25-Aug-2025 12:00 PM,04-Aug-2025 11:00 AM,22-Aug-2025 05:30 PM,04-Aug-2025 11:00 AM ,22-Aug-2025 05:30 PM ,04-Aug-2025 11:00 AM,22-Aug-2025 05:30 PM,1.0,ICICI BANK,Construction of CC approach road for 500 MT godown at Bhubaneswar,Construction of CC approach road for 500 MT godown at Bhubaneswar,Please refer tender documents ,NA ,"20,00,051",Civil Works - Buildings,NA ,Tender,90.0,90.0,Bhubaneswar,751006.0,NA ,NA ,NA ,"o/o MARKFED, Odisha, Bhubaneswar",No ,No,"20,000",Yes,fixed,,Nil,Nil,"Managing Director, MARKFED, Odisha, Bhubaneswar","o/o MARKFED, Odisha, Bhubaneswar",1.0,Fee/PreQual/Technical/Finance,.pdf,"LICENSE, PAN, GSTIN, AFFIDAVIT",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3043540,AMARESWAR DAS,21-Aug-2025 02:09 PM,Rejected-AOC,Rejected through transparrent lottery system,16-Oct-2025 06:29 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other documents as per DTCN,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3044271,AMRUTA PRIYADARSHINI DHAL,22-Aug-2025 12:17 PM,Rejected-AOC,Rejected through transparrent lottery system,16-Oct-2025 06:29 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3044657,ARABINDA KAR,22-Aug-2025 03:52 PM,Rejected-AOC,Rejected through transparrent lottery system,16-Oct-2025 06:29 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3044439,ASHES KUMAR PATTANAYAK,22-Aug-2025 01:23 PM,Rejected-AOC,Rejected through transparrent lottery system,16-Oct-2025 06:29 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3044108,ASHUTOSH BARIK,22-Aug-2025 10:29 AM,Rejected-AOC,Rejected through transparrent lottery system,16-Oct-2025 06:29 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3044616,BASANTA KUMAR MOHANTY,22-Aug-2025 02:54 PM,Rejected-AOC,Rejected through transparrent lottery system,16-Oct-2025 06:29 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3025873,BIBHU PRASAD ROUTRAY,06-Aug-2025 03:29 PM,Rejected-AOC,Rejected through transparrent lottery system,16-Oct-2025 06:29 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3044695,Bijaya Ketan Pal,22-Aug-2025 04:03 PM,Rejected-AOC,Rejected through transparrent lottery system,16-Oct-2025 06:29 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3043579,BIJAYALAXMI JENA,21-Aug-2025 07:08 PM,Rejected-AOC,Rejected through transparrent lottery system,16-Oct-2025 06:29 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3041149,BISWAJIT JENA,19-Aug-2025 12:57 PM,Accepted-AOC,Selected through transparrent lottery system,16-Oct-2025 06:29 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3044771,DD Enterprisers,22-Aug-2025 04:56 PM,Rejected-AOC,Rejected through transparrent lottery system,16-Oct-2025 06:29 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3026898,DEBUPRASAD ROUTRAY,07-Aug-2025 12:57 PM,Rejected-AOC,Rejected through transparrent lottery system,16-Oct-2025 06:29 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,3043501,DIBYA RANJAN SWAIN,21-Aug-2025 05:44 PM,Rejected-AOC,Rejected through transparrent lottery system,16-Oct-2025 06:29 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3044675,DIPAK KUMAR SAHOO,22-Aug-2025 03:49 PM,Rejected-AOC,Rejected through transparrent lottery system,16-Oct-2025 06:29 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,3044093,GEETANJALI BEHERA,22-Aug-2025 10:04 AM,Rejected-AOC,Rejected through transparrent lottery system,16-Oct-2025 06:29 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,3044564,GOPABANDHU NAYAK,22-Aug-2025 02:22 PM,Rejected-AOC,Rejected through transparrent lottery system,16-Oct-2025 06:29 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,3044459,Guruji Infrastructure Pvt. Ltd.,22-Aug-2025 03:36 PM,Rejected-Technical,Technically not qualified,08-Sep-2025 01:36 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,3042942,HIMANSHU SEKHAR GIRI,20-Aug-2025 06:57 PM,Rejected-AOC,Rejected through transparrent lottery system,16-Oct-2025 06:29 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,3043758,JINIA BEHERA,22-Aug-2025 02:33 PM,Rejected-AOC,Rejected through transparrent lottery system,16-Oct-2025 06:29 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,3044396,JYOTIRMAY PATRA,22-Aug-2025 01:16 PM,Rejected-AOC,Rejected through transparrent lottery system,16-Oct-2025 06:29 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,3044506,KAILASH CHANDRA NAYAK,22-Aug-2025 01:49 PM,Rejected-AOC,Rejected through transparrent lottery system,16-Oct-2025 06:29 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,3025850,KALPANA SAMANTARAY,06-Aug-2025 03:04 PM,Rejected-AOC,Rejected through transparrent lottery system,16-Oct-2025 06:29 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,3044467,Laxmidhar Rout,22-Aug-2025 01:35 PM,Rejected-AOC,Rejected through transparrent lottery system,16-Oct-2025 06:29 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,3042087,MAHABIR CONSTRUCTIONS,20-Aug-2025 08:57 AM,Rejected-AOC,Rejected through transparrent lottery system,16-Oct-2025 06:29 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,3044709,MALAYA RANJAN DAS,22-Aug-2025 04:14 PM,Rejected-AOC,Rejected through transparrent lottery system,16-Oct-2025 06:29 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,3043104,MANJULATA MALLICK,20-Aug-2025 09:54 PM,Rejected-AOC,Rejected through transparrent lottery system,16-Oct-2025 06:29 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,3041049,MEERA ELECTRICALS,19-Aug-2025 11:57 AM,Rejected-Technical,Technically not qualified,08-Sep-2025 01:36 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,3041635,MM CONSTRUCTION,19-Aug-2025 05:21 PM,Rejected-Technical,Technically not qualified,08-Sep-2025 01:36 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,3044617,MONALISA DAS,22-Aug-2025 02:59 PM,Rejected-AOC,Rejected through transparrent lottery system,16-Oct-2025 06:29 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,3036849,NIBEDITA MANGARAJ,19-Aug-2025 12:38 PM,Rejected-Technical,Technically not qualified,08-Sep-2025 01:36 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,3044652,NIRANJAN MUDULI,22-Aug-2025 03:53 PM,Rejected-AOC,Rejected through transparrent lottery system,16-Oct-2025 06:29 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,3040609,Noor_Amin_Al_azmi,19-Aug-2025 08:19 AM,Rejected-AOC,Rejected through transparrent lottery system,16-Oct-2025 06:29 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,3044704,PANDU SETHY,22-Aug-2025 04:11 PM,Rejected-AOC,Rejected through transparrent lottery system,16-Oct-2025 06:29 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
