Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage
Orissa Mining Corporation,2025_OMC_114814_3,NIT No.01/OMC/ELECTRICAL/2025,Power supply to Dy.Director Of Mines Office at Joda in the district of Keonjhar.,R K PANDA,Internal,S JENA S PADHI BANITA PATRA,Satyajit Jena,28-Oct-2025 12:17 PM,finsummary_544257.pdf (372.39 KB),Technical,15 (Fifteen) bids has been received subjected to evaluation by committee,Shreejit Das,15-Jul-2025 12:42 PM,,1.0,2993825.0,SARITA DAS,INR,"5,042,851.69",Finance,Financial bid of 12 (Twelve) qualified bidders had been open,Shreejit Das,30-Jul-2025 05:28 PM,,28-Oct-2025,"INR 5,042,851.69",120.0,Satyajit Jena,28-Oct-2025 01:05 PM,2025_OMC_114814_3.pdf (748.00 KB),Power supply to Dy.Director Of Mines Office at Joda in the district of Keonjhar.,R K PANDA,Internal,S JENA S PADHI BANITA PATRA,Satyajit Jena,29-Jul-2025 05:31 PM,30-Jul-2025 04:30 PM,techsummary_544257.pdf (1404.71 KB),1,2993447,AADYA URJA SOLUTIONS PRIVATE LIMITED,12-Jul-2025 05:54 PM,Rejected-Finance,NOT BEING L1,28-Oct-2025 12:17 PM,AOC,"GM(ELECTRICAL), OMC Ltd.","Office of the GM(ELECTRICAL), OMC Ltd., Bhubaneswar",24-Jun-2025 06:00 PM,15-Jul-2025 11:00 AM,24-Jun-2025 06:00 PM,14-Jul-2025 05:00 PM,NA ,NA ,24-Jun-2025 06:00 PM,14-Jul-2025 05:00 PM,30-Jul-2025 04:30 PM,Orissa Mining Corporation,NIT No.01/OMC/ELECTRICAL/2025,2025_OMC_114814_3,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,CORRIGENDUM-2,Date,,1.0,ICICI BANK,"59,330",Yes,fixed,,Nil,Nil,"11,800",0.0,Nil,Nil,No,Power supply to Dy.Director Of Mines Office at Joda in the district of Keonjhar.,Power supply to Dy.Director Of Mines Office at Joda in the district of Keonjhar.,"RC, EPF Regd., GSTN, PAN, License issued by ELBO, Affidavits, experience, etc. as per DTCN requirements. ",NA ,"59,33,000",Electrical Works,NA ,Tender,180.0,120.0,JODA,758034.0,NA ,NA ,NA ,"OMC Ltd., Bhubaneswar",No ,No,1.0,Fee/PreQual/Technical,.pdf,"RC, EPF Regd., GSTN, PAN, License issued by ELBO, Affidavits, experience, etc. as per DTCN requireme",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2993881,BABA LALITESWARA AGENCY,09-Jul-2025 12:22 PM,Rejected-Technical,Disqalified due to non submission of EMD,29-Jul-2025 05:31 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,CORRIGENDUM-1,Technical Bid,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,FINANCIAL,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2994185,BAIBHAVI ELECTRICALS AND CONSTRUCTION PRIVATE LIMITED,09-Jul-2025 04:39 PM,Rejected-Technical,Disqalified due to non submission of EMD,29-Jul-2025 05:31 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2993996,DEBASISH KUMAR KAR,09-Jul-2025 01:22 PM,Rejected-Finance,NOT BEING L1,28-Oct-2025 12:17 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2990510,JUPITER ENGINEERS,08-Jul-2025 08:57 PM,Rejected-Finance,NOT BEING L1,28-Oct-2025 12:17 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2992994,M/S ASHRIBAD ENGINEERING,08-Jul-2025 11:59 AM,Rejected-Finance,NOT BEING L1,28-Oct-2025 12:17 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2988012,M/s BASANTI ELECTRICALS AND CONSTRUCTION,03-Jul-2025 05:50 PM,Rejected-Technical,Disqalified due to non submission of EMD,29-Jul-2025 05:31 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2993734,RAMESH CHANDRA BISWAL,08-Jul-2025 10:15 PM,Rejected-Finance,NOT BEING L1,28-Oct-2025 12:17 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2992182,RNS POWER AND INFRA,07-Jul-2025 02:38 PM,Rejected-Finance,NOT BEING L1,28-Oct-2025 12:17 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2993888,SARADA TECHNO SERVICES,09-Jul-2025 12:25 PM,Rejected-Finance,NOT BEING L1,28-Oct-2025 12:17 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
