S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,2972511.0,M/S SHREE INDUSTRIES,INR,"1,238,923",Finance,ALL BID DOCUMENTS ARE DOWNLOADED,KISHORE KUMAR BEHERA,21-Jun-2025 01:17 PM,,BOQ Comparative Chart,"ADDL.CHIEF ENGINEER, MECHANICAL CIRCLE,BHUBANESWAR",Internal,,KISHORE KUMAR BEHERA,10-Jul-2025 04:28 PM,finsummary_542776.pdf (441.06 KB),Chief Engineer Mech - WR Bhubaneswar||SE Mechanical Circle Bhubaneswar||EE Mechanical Division Berhampur,2025_CEMWR_114355_1,ACEM/MDL-14/2025-26,"Repair, Maintenance and Painting of 8 Nos Gate and Hoist at RD 30276 M of SMC under Subarnarekha Irrigation Division No-I Jharpokharia for the year 2025-26.","ADDL.CHIEF ENGINEER, MECHANICAL CIRCLE,BHUBANESWAR",Internal,,KISHORE KUMAR BEHERA,10-Jul-2025 01:02 PM,techsummary_542776.pdf (478.58 KB),1,2969112,"ACHYUTA NANDA SWAIN ,PROPRIETOR M/S. ADITYA ENTERPRISER.",16-Jun-2025 03:14 PM,Rejected-Finance,LOOSER OF THE LOTTERY,10-Jul-2025 04:28 PM,15-Jul-2025,"INR 1,238,923",30.0,KISHORE KUMAR BEHERA,27-Oct-2025 04:54 PM,aocmdl14.pdf (598.00 KB),AOC,Chief Engineer Mech - WR Bhubaneswar||SE Mechanical Circle Bhubaneswar||EE Mechanical Division Berhampur,ACEM/MDL-14/2025-26,2025_CEMWR_114355_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,"ADDL.CHIEF ENGINEER, MECHANICAL CIRCLE, BBSR","O/O THE ADDL.CHIEF ENGINEER, MECHANICAL CIRCLE, BHUBANESWAR",1.0,Fee/PreQual/Technical/Finance,.pdf,"RC, GST, PAN, AFFIDAVIT AND ALL OTHER DOCUMENTS AS PER DTCN.","14,600",No,fixed,,Nil,Nil,12-Jun-2025 10:00 AM,21-Jun-2025 12:00 PM,12-Jun-2025 10:00 AM,20-Jun-2025 05:30 PM,12-Jun-2025 10:00 AM ,20-Jun-2025 05:30 PM ,12-Jun-2025 10:00 AM,20-Jun-2025 05:30 PM,"Repair, Maintenance and Painting of 8 Nos Gate and Hoist at RD 30276 M of SMC under Subarnarekha Irrigation Division No-I Jharpokharia for the year 2025-26.","Repair, Maintenance and Painting of 8 Nos Gate and Hoist at RD 30276 M of SMC under Subarnarekha Irrigation Division No-I Jharpokharia for the year 2025-26.",Please refer Tender documents. ,NA ,"14,57,385",Mechanical Works,NA ,Tender,90.0,30.0,"RD 30276M OF SMC, JHARPOKHARIA",757086.0,NA ,NA ,NA ,BHUBANESWAR,No ,No,"6,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2973580,DASH ENTERPRISERS PROP.RAJEEB LOCHAN DASH,19-Jun-2025 03:13 PM,Rejected-Finance,LOOSER OF THE LOTTERY,10-Jul-2025 04:28 PM,,,,,,,AOC,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2965764,LAXMIDHRA BHUYAN,20-Jun-2025 08:26 AM,Rejected-Finance,LOOSER OF THE LOTTERY,10-Jul-2025 04:28 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2970272,M/S Abirvab Steel Product,19-Jun-2025 06:05 PM,Rejected-Finance,LOOSER OF THE LOTTERY,10-Jul-2025 04:28 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2966494,M/s. ASHIRBAD INDUSTRIES Prp. PRAKASH CHANDRA LENKA,19-Jun-2025 08:41 PM,Rejected-Finance,LOOSER OF THE LOTTERY,10-Jul-2025 04:28 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2970331,M/S Ashreebad Fabricators,20-Jun-2025 12:53 PM,Rejected-Finance,LOOSER OF THE LOTTERY,10-Jul-2025 04:28 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2967691,M/s. BHAGABATI INDUSTRIES Prop. NIRANJAN PANDA,19-Jun-2025 08:30 PM,Rejected-Finance,LOOSER OF THE LOTTERY,10-Jul-2025 04:28 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2974997,M/S JAGANNATH AGRICULTURAL IMPLEMENTS WORKSHOP,20-Jun-2025 12:55 PM,Rejected-Finance,LOOSER OF THE LOTTERY,10-Jul-2025 04:28 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2974263,M/S KALINGA METAL PRODUCT (PROP. SMT BASANTILATA MOHANTY,19-Jun-2025 09:17 PM,Rejected-Finance,LOOSER OF THE LOTTERY,10-Jul-2025 04:28 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2974225,"M/S MOHANTY INDUSTRIAL ENTERPRISERS -PROPRIETOR ,MALAYA KUMAR MOHANTY",19-Jun-2025 09:06 PM,Rejected-Finance,LOOSER OF THE LOTTERY,10-Jul-2025 04:28 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2972511,M/S SHREE INDUSTRIES,19-Jun-2025 05:40 PM,Accepted-AOC,WINNER OF THE LOTTERY,27-Oct-2025 04:54 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2965710,NATIONAL ENGINEERING WORKS,16-Jun-2025 10:40 AM,Rejected-Finance,LOOSER OF THE LOTTERY,10-Jul-2025 04:28 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,13,2974627,RENUBALA DASH,20-Jun-2025 03:35 PM,Rejected-Finance,LOOSER OF THE LOTTERY,10-Jul-2025 04:28 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,14,2971648,Sarkar Engineering Works,19-Jun-2025 03:58 PM,Rejected-Finance,LOOSER OF THE LOTTERY,10-Jul-2025 04:28 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,15,2967655,SPS INDUSTRY,19-Jun-2025 08:53 PM,Rejected-Finance,LOOSER OF THE LOTTERY,10-Jul-2025 04:28 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,16,2967669,SUSHIL KUMAR DAS,19-Jun-2025 09:01 PM,Rejected-Finance,LOOSER OF THE LOTTERY,10-Jul-2025 04:28 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
