Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1.0,Fee/PreQual/Technical/Finance,.pdf,"RC,GST,PAN,AFFIDAVIT AND ALL OTHER DOCUMENTS AS PER DTCN.","4,000",0.0,Nil,Nil,No,"Repair of gates of Janalabadia MIP gate of Baramba Block under M.I. Division, Cuttack for the year 2024-25","Repair of gates of Janalabadia MIP gate of Baramba Block under M.I. Division, Cuttack for the year 2024-25",Please refer Tender documents. ,NA ,"5,94,524",Mechanical Works,NA ,Tender,90.0,30.0,BARAMBA,754031.0,NA ,NA ,NA ,CUTTACK,No ,No,"6,000",No,fixed,,Nil,Nil,"Superintending EngineerMechanicalDivision,Cuttack","O/o The Superintending Engineer Mechanical Division,Cuttack",1.0,ICICI BANK,Chief Engineer Mech - WR Bhubaneswar||SE Mechanical Circle Bhubaneswar||EE Mechanical Division Cuttack,SE/MDC-01(02)/2025-26,2025_CEMWR_112230_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,07-Apr-2025 11:00 AM,22-Apr-2025 11:00 AM,07-Apr-2025 11:00 AM,21-Apr-2025 05:00 PM,07-Apr-2025 11:00 AM ,21-Apr-2025 05:00 PM ,07-Apr-2025 11:00 AM,21-Apr-2025 05:00 PM,AOC,Chief Engineer Mech - WR Bhubaneswar||SE Mechanical Circle Bhubaneswar||EE Mechanical Division Cuttack,2025_CEMWR_112230_1,SE/MDC-01(02)/2025-26,"Repair of gates of Janalabadia MIP gate of Baramba Block under M.I. Division, Cuttack for the year 2024-25","SUPERINTENDING ENGINEER, MECHANICAL DIVISION, JAGATPUR, CUTTACK",Internal,,BISHNU NARAYAN MOHAPATRA,29-Oct-2025 05:13 PM,finsummary_535452.pdf (722.26 KB),Finance,ALL BID DOCUMENTS ARE DOWNLOADED SUCCESSFULLY.,BISHNU NARAYAN MOHAPATRA,22-Apr-2025 02:08 PM,,BOQ Comparative Chart,1.0,2890201.0,ORIFEB INDUSTRIES,INR,"505,405",1,2889762,ABHISEKH ENTERPRISERS,21-Apr-2025 09:21 AM,Rejected-Technical,LOSER OF LOTTERY,29-Oct-2025 12:45 PM,30-Oct-2025,"INR 505,405",30.0,BISHNU NARAYAN MOHAPATRA,30-Oct-2025 01:49 PM,12A.pdf (728.00 KB),"SUPERINTENDING ENGINEER, MECHANICAL DIVISION, JAGATPUR, CUTTACK",Internal,,BISHNU NARAYAN MOHAPATRA,29-Oct-2025 12:45 PM,techsummary_535452.pdf (1615.95 KB),AOC
,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,2887142,"ACHYUTA NANDA SWAIN ,PROPRIETOR M/S. ADITYA ENTERPRISER.",19-Apr-2025 11:14 AM,Rejected-Technical,LOSER OF LOTTERY,29-Oct-2025 12:45 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,2887900,ANJAN KUMAR JENA,19-Apr-2025 05:01 PM,Rejected-Technical,LOSER OF LOTTERY,29-Oct-2025 12:45 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,2879550,BANASHREE BHUYAN,19-Apr-2025 01:31 PM,Rejected-Technical,LOSER OF LOTTERY,29-Oct-2025 12:45 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,2883486,DASH ENGINEERING AND WORKS,21-Apr-2025 07:59 AM,Rejected-Technical,LOSER OF LOTTERY,29-Oct-2025 12:45 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,2889974,DASH ENTERPRISERS PROP.RAJEEB LOCHAN DASH,21-Apr-2025 01:55 PM,Rejected-Technical,LOSER OF LOTTERY,29-Oct-2025 12:45 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,2879573,LAXMIDHRA BHUYAN,19-Apr-2025 01:14 PM,Rejected-Technical,LOSER OF LOTTERY,29-Oct-2025 12:45 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,2888467,Manashi Dash (Prop - M/s. Babby Engg. & Works),21-Apr-2025 08:04 AM,Rejected-Technical,LOSER OF LOTTERY,29-Oct-2025 12:45 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,2888112,M/S ADITYA INDUSTRIAL ENTERPRISERS(PROP.SUKANTA SAHOO),19-Apr-2025 05:00 PM,Rejected-Technical,LOSER OF LOTTERY,29-Oct-2025 12:45 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,2880122,M/s. ASHIRBAD INDUSTRIES Prp. PRAKASH CHANDRA LENKA,20-Apr-2025 11:50 AM,Rejected-Technical,LOSER OF LOTTERY,29-Oct-2025 12:45 PM,,,,,,,,,,,,,AOC
