S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,2995817.0,MITRABINDA DASH,INR,"6,199,630","Er.Jyoti Prakash Samal,SE",Internal,"Sri Nitesh kumar Kandhway, Smt. Kshyanaprava Mohanty, Smt. Rina Kumari Sasmal, Sri Raj Kishore Pal",Rina Kumari Sasmal,30-Oct-2025 04:41 PM,finsummary_545578.pdf (603.02 KB),Technical,All are admitted for finalisation.,Jyoti Prakash Samal,31-Jul-2025 05:01 PM,,CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-PURI,2025_CERWI_115352_1,Online-03 of 2025-26,Construction of BPHU building at CHC Rebana Nuagaon of Brahmagiri Block in the District of Puri under PM-ABHIM for the year 2024-25.,Finance,All bidders are admitted for finalisation.,Jyoti Prakash Samal,14-Aug-2025 01:53 PM,,BOQ Comparative Chart,"Er.Jyoti Prakash Samal,SE",Internal,"Sri Nitesh kumar Kandhway, Smt. Kshyanaprava Mohanty, Smt. Rina Kumari Sasmal, Sri Raj Kishore Pal",Jyoti Prakash Samal,31-Jul-2025 05:17 PM,02-Aug-2025 11:00 AM,techsummary_545578.pdf (248.59 KB),30-Oct-2025,"INR 7,292,825",180.0,Rina Kumari Sasmal,30-Oct-2025 04:43 PM,Rebananuagaon.pdf (690.00 KB),1,2999454,AKHILA KUMAR MOHAPATRA,14-Jul-2025 06:57 PM,Rejected-Finance,"As 1st successful lottery winner is accepted, hence others are considered as rejected.",30-Oct-2025 04:41 PM,AOC,1.0,ICICI BANK,Executive Engineer,"RURAL WORKS DIVISION, PURI",CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-PURI,Online-03 of 2025-26,2025_CERWI_115352_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"Cost of tender paper, EMD, APS, PAN, GSTIN, Registration Certificate and other documents as per DTCN",Construction of BPHU building at CHC Rebana Nuagaon of Brahmagiri Block in the District of Puri under PM-ABHIM for the year 2024-25.,Construction of BPHU building at CHC Rebana Nuagaon of Brahmagiri Block in the District of Puri under PM-ABHIM for the year 2024-25.,NA ,NA ,"72,92,825",Civil Works - Buildings,NA ,Tender,90.0,180.0,Puri,752001.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, PURI",No ,No,10-Jul-2025 11:00 AM,17-Jul-2025 12:00 PM,10-Jul-2025 11:00 AM,16-Jul-2025 05:00 PM,10-Jul-2025 11:00 AM ,14-Jul-2025 01:30 PM ,10-Jul-2025 11:00 AM,16-Jul-2025 05:00 PM,02-Aug-2025 11:00 AM,"10,000",0.0,Nil,Nil,No,"72,928",Yes,percentage,1.0%,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3000588,BASANTA KUMAR KANDI,16-Jul-2025 11:43 AM,Rejected-Finance,"As 1st successful lottery winner is accepted, hence others are considered as rejected.",30-Oct-2025 04:41 PM,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,.pdf,"Electrical License,Memorandum of Understanding",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3000133,CHANDAN KUMAR PAIKARAY,16-Jul-2025 10:57 AM,Rejected-Finance,"As 1st successful lottery winner is accepted, hence others are considered as rejected.",30-Oct-2025 04:41 PM,AOC,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2995817,MITRABINDA DASH,14-Jul-2025 10:04 AM,Accepted-AOC,"She is the 1st successful lottery winner, so her rate is accepted and awarded.",30-Oct-2025 04:43 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3000101,PRATIMA BADAJENA,16-Jul-2025 03:39 PM,Rejected-Finance,"As 1st successful lottery winner is accepted, hence others are considered as rejected.",30-Oct-2025 04:41 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3001078,PRIYARANJAN PALAI,16-Jul-2025 03:21 PM,Rejected-Finance,"As 1st successful lottery winner is accepted, hence others are considered as rejected.",30-Oct-2025 04:41 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2995789,SATYANARAYAN MEKAP,14-Jul-2025 11:36 AM,Rejected-Finance,"As 1st successful lottery winner is accepted, hence others are considered as rejected.",30-Oct-2025 04:41 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2999722,Shankar Pujari,15-Jul-2025 08:51 PM,Rejected-Finance,"As 1st successful lottery winner is accepted, hence others are considered as rejected.",30-Oct-2025 04:41 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3000359,SUDAM CHANDRA SWAIN,16-Jul-2025 12:48 PM,Rejected-Finance,"As 1st successful lottery winner is accepted, hence others are considered as rejected.",30-Oct-2025 04:41 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3000340,UMESH CHANDRA MISHRA,16-Jul-2025 01:45 PM,Rejected-Technical,"Non submission of license,PAN and GSTIN of Electrical Contractor",31-Jul-2025 05:17 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
