S.No,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,S.No.2,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Stage
1.0,Tender Revocation,Tender Revocation,15-May-2025 01:29 PM,2197.pdf ,956.19,Technical Opening,"CCERWCIRCLE, BARIPADA",Internal,,Ashwani Pradhan,15-May-2025 01:42 PM,19-May-2025 11:00 AM,techsummary_523723.pdf (972.19 KB),Finance,03 Nos of bidders admitted,Akshaya Kumar Naik,12-Aug-2025 06:09 PM,,BOQ Comparative Chart,1,2738275,ABHILASH BISWAL,08-Jan-2025 10:35 PM,Rejected-Technical,Insufficient similar nature of work experinece.,15-May-2025 01:42 PM,15-Sep-2025,"INR 61,954,623",270.0,Akshaya Kumar Naik,09-Oct-2025 04:52 PM,Kothabila.pdf (1455.00 KB),1.0,2759077.0,SRI MANOJ KUMAR ROUT,INR,"61,954,623",Technical,09 Nos of bidders participated,Ashwani Pradhan,15-May-2025 01:37 PM,,CE RW I||RWCIRCLE-BARIPADA,2025_CERWI_109045_5,Road Online N.C.B. No-363,Improvement to Kothabila - Dudhiasole Road under MMSY- Improvement to Existing RD Road in the District of Mayurbhanj for the year 2024-25.,"CCERWCIRCLE, BARIPADA",Internal,,Akshaya Kumar Naik,13-Aug-2025 12:02 PM,finsummary_523723.pdf (202.81 KB),AOC,CCE RWC Baripada,CCE RWC Baripada,04-Jan-2025 05:00 PM,18-Jan-2025 11:00 AM,04-Jan-2025 05:00 PM,17-Jan-2025 05:00 PM,04-Jan-2025 05:00 PM ,16-Jan-2025 05:00 PM ,04-Jan-2025 05:00 PM,17-Jan-2025 05:00 PM,19-May-2025 11:00 AM,Improvement to Kothabila - Dudhiasole Road under MMSY- Improvement to Existing RD Road in the District of Mayurbhanj for the year 2024-25.,Improvement to Kothabila - Dudhiasole Road under MMSY- Improvement to Existing RD Road in the District of Mayurbhanj for the year 2024-25.,Please refer Tender documents. ,NA ,"5,90,33,000",Civil Works - Roads,NA ,Tender,90.0,270.0,"SERW Division, Baripada",757105.0,NA ,NA ,NA ,CCE RWC Baripada,No ,No,"5,90,330",Yes,percentage,1.0%,Nil,Nil,CE RW I||RWCIRCLE-BARIPADA,Road Online N.C.B. No-363,2025_CERWI_109045_5,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"10,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,"Paper cost, RC, PAN, GSTIN and EMD etc as per DTCN",1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,2,2746711,AJAY KUMAR ROUT,15-Jan-2025 06:38 PM,Rejected-Technical,Denied to extend bid validity.,15-May-2025 01:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"ATO, similar nature of work experience etc as per DTCN",2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,3,2757719,JEETESH RANJAN BEHERA,17-Jan-2025 12:11 AM,Rejected-AOC,L2,09-Oct-2025 04:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Machineries, Affidavit etc as per DTCN",,,AOC
,,,,,,,,,,,,,,,,,,,,4,2746800,KRUSHNA KUMAR KHANDELWAL,16-Jan-2025 10:30 AM,Rejected-Technical,Insufficient similar nature of work experinece.,15-May-2025 01:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,AOC
,,,,,,,,,,,,,,,,,,,,5,2742182,M/S BENGAL CONSTRUCTION AND CO,13-Jan-2025 04:22 PM,Rejected-Technical,1.Insufficient ATO. 2.Insufficient Bid Capacity.,15-May-2025 01:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,6,2757718,SANAT KUMAR GHOSE,16-Jan-2025 11:57 PM,Rejected-AOC,L3,09-Oct-2025 04:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,7,2748229,SANTOSH KUMAR SAHOO,16-Jan-2025 12:42 AM,Rejected-Technical,1. Denied to extend bid validity. 2.Suppressing the truth of actual work in hand.,15-May-2025 01:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,8,2759077,SRI MANOJ KUMAR ROUT,17-Jan-2025 12:51 PM,Accepted-AOC,L1,09-Oct-2025 04:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,9,2759238,TUHIN KUMAR MANDAL,17-Jan-2025 01:14 PM,Rejected-Technical,1.Insufficient similar nature of work experinece. 2.Insufficient Bid Capacity.,15-May-2025 01:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
