Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage
Finance,All documents downloaded successfully,SASANKA SEKHAR MOHANTY,24-Jun-2025 12:58 PM,,BOQ Comparative Chart,1.0,2970251.0,M/S Abirvab Steel Product,INR,"2,000,235.93",Chief Engineer Mech - WR Bhubaneswar,2025_CEMWR_114332_1,CEM/MDB-01/2025-26,Replacement of 4 nos of Gates and Hoist and R M of 18 nos of gates and hoists of Jogiani Cross Regulator across Puri Main Canal at RD 19 180km under Prachi Division Bhubaneswar for the year of 2025 26,CHIEF ENGINEER MECHANICAL,Internal,CE MECHANICAL ACE MECHANICAL CIRCLE BHUBANESWAR ASST TO CE MECHANICAL ASST EXECUTIVE ENGINEER MECHANICAL,JITENDRA KUMAR ORAM,01-Aug-2025 06:37 PM,finsummary_542737.pdf (1805.06 KB),CHIEF ENGINEER MECHANICAL,Internal,CHIEF ENGINEER MECHANICAL ADDL CHIEF ENGINEER MECHANICAL CIRCLE BHUBANESWAR ASST TO CHIEF ENGINEER MECHANICAL ASST EXECUTIVE ENGINEER MECHANICAL,JITENDRA KUMAR ORAM,01-Aug-2025 06:31 PM,techsummary_542737.pdf (1805.06 KB),1,2969034,"ACHYUTA NANDA SWAIN ,PROPRIETOR M/S. ADITYA ENTERPRISER.",16-Jun-2025 03:15 PM,Rejected-AOC,Not Winner in lottery process,03-Oct-2025 05:37 PM,22-Sep-2025,"INR 2,000,235.93",60.0,JITENDRA KUMAR ORAM,03-Oct-2025 05:37 PM,JogianiRDworkorder.pdf (1171.00 KB),AOC,Replacement of 4 nos of Gates and Hoist and R M of 18 nos of gates and hoists of Jogiani Cross Regulator across Puri Main Canal at RD 19 180km under Prachi Division Bhubaneswar for the year of 2025 26,Replacement of 4 nos of Gates and Hoist and R M of 18 nos of gates and hoists of Jogiani Cross Regulator across Puri Main Canal at RD 19 180km under Prachi Division Bhubaneswar for the year of 2025 26,As per the DTCN ,NA ,"23,52,942",Mechanical Works,NA ,Tender,90.0,60.0,Puri Main Canal,752101.0,NA ,NA ,NA ,BHUBANESWAR,No ,No,"23,529",Yes,percentage,1.0%,Nil,Nil,11-Jun-2025 10:00 AM,24-Jun-2025 12:00 PM,11-Jun-2025 10:00 AM,23-Jun-2025 05:30 PM,11-Jun-2025 10:00 AM ,19-Jun-2025 05:30 PM ,11-Jun-2025 10:00 AM,23-Jun-2025 05:30 PM,1.0,ICICI BANK,"6,000",0.0,Nil,Nil,No,Chief Engineer Mech - WR Bhubaneswar,CEM/MDB-01/2025-26,2025_CEMWR_114332_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,CHIEF ENGINEER MECHANICAL,"Office of the EIC, WR,ODISHA, BHUBANESWAR",1.0,Fee/PreQual/Technical/Finance,.pdf,Bid Documents,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2965737,BANASHREE BHUYAN,23-Jun-2025 10:28 AM,Rejected-AOC,Not Winner in lottery process,03-Oct-2025 05:37 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2973646,DASH ENTERPRISERS PROP.RAJEEB LOCHAN DASH,19-Jun-2025 03:16 PM,Rejected-AOC,Not Winner in lottery process,03-Oct-2025 05:37 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2965761,LAXMIDHRA BHUYAN,23-Jun-2025 10:52 AM,Rejected-AOC,Not Winner in lottery process,03-Oct-2025 05:37 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2970251,M/S Abirvab Steel Product,21-Jun-2025 01:34 PM,Accepted-AOC,Winner in lottery process,03-Oct-2025 05:37 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2978048,M/S ADITYA INDUSTRIAL ENTERPRISERS(PROP.SUKANTA SAHOO),23-Jun-2025 11:46 AM,Rejected-AOC,Not Winner in lottery process,03-Oct-2025 05:37 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2966491,M/s. ASHIRBAD INDUSTRIES Prp. PRAKASH CHANDRA LENKA,19-Jun-2025 08:39 PM,Rejected-AOC,Not Winner in lottery process,03-Oct-2025 05:37 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2970334,M/S Ashreebad Fabricators,21-Jun-2025 01:20 PM,Rejected-AOC,Not Winner in lottery process,03-Oct-2025 05:37 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2967687,M/s. BHAGABATI INDUSTRIES Prop. NIRANJAN PANDA,19-Jun-2025 08:28 PM,Rejected-AOC,Not Winner in lottery process,03-Oct-2025 05:37 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2974272,M/S KALINGA METAL PRODUCT (PROP. SMT BASANTILATA MOHANTY,19-Jun-2025 09:13 PM,Rejected-AOC,Not Winner in lottery process,03-Oct-2025 05:37 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
