EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"2,49,100",Yes,fixed,,Nil,Nil,24-Jul-2025 09:00 AM,11-Aug-2025 10:30 AM,24-Jul-2025 09:00 AM,08-Aug-2025 05:00 PM,NA ,NA ,24-Jul-2025 09:00 AM,08-Aug-2025 05:00 PM,15-Sep-2025 10:30 AM,1.0,Fee/PreQual/Technical,.pdf,"GST, GSTR-1, PAN, Contractor Registration Certificate and Affidavit",CHIEF ENGINEER OPHWC,OPHWC BHUBANESWAR,Constn. of 8 F type Staff Qtrs. at Karanjia Fire Station in Mayurbhanj District,Building Work,Please refer Tender documents  ,NA ,"2,49,10,236",Civil Works - Buildings,NA ,Tender,90.0,300.0,Mayurbhanj,751022.0,NA ,NA ,NA ,OPHWC BHUBANESWAR,No ,No,Orissa State Police Housing and Welfare Corporation Ltd,08/OPHWC/2025-26,2025_OSPHW_115875_29,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"11,800",0.0,Nil,Nil,No,1.0,ICICI BANK,AOC,AS PER AS ACCEPTANCE LETTER,Internal,AS PER AS ACCEPTANCE LETTER,Bikram Keshari Malla,28-Oct-2025 12:15 PM,finsummary_547080.pdf (529.04 KB),Technical,3 Nos. of bidders have been participated,Bikram Keshari Malla,12-Aug-2025 07:01 PM,,AS PER AS TC MINUTES,Internal,AS PER AS TC MINUTES,Srikanta Samal,13-Sep-2025 07:49 PM,15-Sep-2025 10:30 AM,techsummary_547080.pdf (318.29 KB),Finance,financial bid opened,Bikram Keshari Malla,15-Sep-2025 11:26 AM,,BOQ Comparative Chart,1.0,3028503.0,SMRUTI RANJAN CHAMPATIRAY,INR,"22,070,469",Orissa State Police Housing and Welfare Corporation Ltd,2025_OSPHW_115875_29,08/OPHWC/2025-26,Constn. of 8 F type Staff Qtrs. at Karanjia Fire Station in Mayurbhanj District,1,3028615,BISWAJIT ROUT,08-Aug-2025 04:22 PM,Rejected-Technical,Absent in the Point of Presentation as per DTCN Cl.110(m).,13-Sep-2025 07:49 PM,28-Oct-2025,"INR 22,070,469",300.0,Bikram Keshari Malla,28-Oct-2025 12:19 PM,WORIIKYYTT.pdf (529.00 KB),AWARDED AS L1 TENDERER AND AWARDED ON DATE 27.10.2025,AOC
,,,,,,,,,,,,,,,,,.pdf,Other Document as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3028503,SMRUTI RANJAN CHAMPATIRAY,08-Aug-2025 02:04 PM,Accepted-AOC,QUALIFIED BIDDER,28-Oct-2025 12:19 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3027673,SRI PRADIP KUMAR BHUJABAL,08-Aug-2025 12:07 PM,Rejected-Finance,DUE TO L2 BIDDER,28-Oct-2025 12:15 PM,,,,,,,,AOC
