Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage
Finance,13 (Thirteen) out of 13 (Thirteen) Bidders are Qualified for Technical Evaluation.,Harekrishna Panda,30-Aug-2025 12:19 PM,finance_549668.pdf,BOQ Comparative Chart,1.0,3049758.0,POWERPOINT SOLUTIONS,INR,"1,450,801",EIC-CIVIL||SERNB-CIRCLE-KEONJHAR||EERNB-Division-Ghatagoan,2025_EICCL_116991_1,SE GTN R AND B 06-2025-26,Infrastructure Development of Bhimkund in Keonjhar District (Such as lighting arrangement work,Er. Harekrishna Panda,Internal,"Er. Harekrishna Panda, Superintending Engineer, Sri. Sadhan Garai, D.A.O-1, Er. Somanath Pradhan, A.E.E, Estimator",Harekrishna Panda,27-Oct-2025 12:29 PM,finsummary_549668.pdf (385.51 KB),Er. Harekrishna Panda,Internal,"Er. Harekrishna Panda, Superintending Engineer, Sri. Sadhan Garai, D.A.O-1, Er. Somanath Pradhan, A.E.E, Estimator",Harekrishna Panda,27-Oct-2025 12:19 PM,techsummary_549668.pdf (385.70 KB),27-Oct-2025,"INR 1,450,801",30.0,Harekrishna Panda,27-Oct-2025 04:13 PM,7532.pdf (628.00 KB),"Among the 13 (Thirteen) Nos. of Participant in transparent lottery, Power Point Solutions, Won the Lottery",1,3049132,ECO ELECTRIC POWER SOLUTIONS,25-Aug-2025 10:46 PM,Rejected-AOC,NOT WON IN THE TRANSPARENT LOTTERY SYSTEM,27-Oct-2025 04:14 PM,AOC,Superintending Engineer Ghatagaon R and B Division,"O/o the S.E. Ghatagaon R and B Division,Ghatagaon","6,000",0.0,Nil,Nil,No,1.0,ICICI BANK,EIC-CIVIL||SERNB-CIRCLE-KEONJHAR||EERNB-Division-Ghatagoan,SE GTN R AND B 06-2025-26,2025_EICCL_116991_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,20-Aug-2025 11:30 AM,29-Aug-2025 11:00 AM,20-Aug-2025 11:30 AM,26-Aug-2025 05:00 PM,NA ,NA ,20-Aug-2025 11:30 AM,26-Aug-2025 05:00 PM,Infrastructure Development of Bhimkund in Keonjhar District (Such as lighting arrangement work,EI work,Please refer Tender documents. ,NA ,"17,06,624",Electrical Works,NA ,Tender,90.0,30.0,Ghatagaon,758027.0,NA ,NA ,NA ,O/o the S.E. Ghatagaon R and B Division,No ,No,"17,066",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"ONLINE PROOF OF TENDER PAPER COST, EMD, GSTIN, PAN, CONTRACTOR REGISTRATION CERTIFICATE, AFFIDAVIT",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3046200,JBS ENTERPRISES,24-Aug-2025 10:47 AM,Rejected-AOC,NOT WON IN THE TRANSPARENT LOTTERY SYSTEM,27-Oct-2025 04:14 PM,AOC,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,OTHER DOCUMENT AS PER DTCN,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3049640,MARUTI CONSTRUCTIONS,26-Aug-2025 12:28 PM,Rejected-AOC,NOT WON IN THE TRANSPARENT LOTTERY SYSTEM,27-Oct-2025 04:14 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3045500,M/S GANGA ELECTRIC,23-Aug-2025 01:58 PM,Rejected-AOC,NOT WON IN THE TRANSPARENT LOTTERY SYSTEM,27-Oct-2025 04:14 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3049550,M/S GIRISH CHANDRA PATRA,26-Aug-2025 11:59 AM,Rejected-AOC,NOT WON IN THE TRANSPARENT LOTTERY SYSTEM,27-Oct-2025 04:14 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3046048,M/s S.R. Electricals,23-Aug-2025 09:23 PM,Rejected-AOC,NOT WON IN THE TRANSPARENT LOTTERY SYSTEM,27-Oct-2025 04:14 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3044683,M/s.TULSHI ENTERPRISES,23-Aug-2025 04:37 PM,Rejected-AOC,NOT WON IN THE TRANSPARENT LOTTERY SYSTEM,27-Oct-2025 04:14 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3048426,NARAYAN MAHANTA,25-Aug-2025 04:20 PM,Rejected-AOC,NOT WON IN THE TRANSPARENT LOTTERY SYSTEM,27-Oct-2025 04:14 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3049758,POWERPOINT SOLUTIONS,26-Aug-2025 01:23 PM,Accepted-AOC,WON IN THE TRANSPARENT LOTTERY SYSTEM,27-Oct-2025 04:14 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3049302,POWERTECH ENGINEERING.TAPAS RANJAN PATI,26-Aug-2025 10:45 AM,Rejected-AOC,NOT WON IN THE TRANSPARENT LOTTERY SYSTEM,27-Oct-2025 04:14 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
