S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Tender Stage
1.0,3073756.0,SANJAY JAISWAL,INR,"378,223",Finance,16 bidders applied,Dasharathi Sethy,30-Oct-2025 02:33 PM,,BOQ Comparative Chart,"AE Estt, DAO, SE",Internal,"AE Estt, DAO, SE",Dasharathi Sethy,30-Oct-2025 02:40 PM,finsummary_550879.pdf (730.82 KB),CE RW I||RW-CIRCLE-SUNDARGARH||RW-Division-Sundargarh II,2025_CERWI_117533_1,OnlineEERKL 06/2025-26,Maintenance and repair of store room building at R.W Sub-Division of Kuarmunda for the year 2025-26.,"AE Estt, DAO, SE",Internal,"AE Estt, DAO, SE",Dasharathi Sethy,30-Oct-2025 02:36 PM,techsummary_550879.pdf (730.82 KB),1,3071261,AJAY KUMAR SAMAL,09-Sep-2025 12:09 PM,Rejected-AOC,Rejected by the Committee,30-Oct-2025 02:45 PM,30-Oct-2025,"INR 378,223",90.0,Dasharathi Sethy,30-Oct-2025 02:45 PM,11.pdf (731.00 KB),Awarded Cost,AOC,"2,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Affidavit Towards Authenticity of Documents,CE RW I||RW-CIRCLE-SUNDARGARH||RW-Division-Sundargarh II,OnlineEERKL 06/2025-26,2025_CERWI_117533_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Maintenance and repair of store room building at R.W Sub-Division of Kuarmunda for the year 2025-26.,Maintenance and repair of store room building at R.W Sub-Division of Kuarmunda for the year 2025-26.,NA ,NA ,"4,44,916",Civil Works - Buildings,NA ,Tender,90.0,90.0,ROURKELA,769004.0,NA ,NA ,NA ,"RURAL WORKS DIVISION NO.II, SUNDARGARH",No ,No,"4,450",Yes,fixed,,Nil,Nil,Divisional Officer,"RURAL WORKS DIVISION NO.II, SUNDARGARH",03-Sep-2025 11:00 AM,11-Sep-2025 11:00 AM,03-Sep-2025 11:00 AM,10-Sep-2025 05:00 PM,03-Sep-2025 11:00 AM ,09-Sep-2025 05:00 PM ,03-Sep-2025 11:00 AM,10-Sep-2025 05:00 PM,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3074482,ARJUN SINGHI,10-Sep-2025 04:18 PM,Rejected-AOC,Rejected by the Committee,30-Oct-2025 02:45 PM,,,,,,,,AOC,,,,,,,,.pdf,"PAN Card, GSTN, Regestration Certificate another as per DTCN, Contact No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3064750,BINOD SAHOO,05-Sep-2025 06:47 PM,Rejected-AOC,Rejected by the Committee,30-Oct-2025 02:45 PM,,,,,,,,AOC,,,,,,,,.pdf,Affidavit Regarding norelation certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3074093,BRAHMANAND SAMASI,10-Sep-2025 02:21 PM,Rejected-AOC,Rejected by the Committee,30-Oct-2025 02:45 PM,,,,,,,,AOC,,,,,,,,.pdf,Affidavit Regarding correctness of information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3073410,DEEPAK KUMAR THAKUR,10-Sep-2025 11:46 AM,Rejected-AOC,Rejected by the Committee,30-Oct-2025 02:45 PM,,,,,,,,AOC,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3072229,KAMALAKANTA KISHAN,09-Sep-2025 04:18 PM,Rejected-AOC,Rejected by the Committee,30-Oct-2025 02:45 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3074474,Manoj Gadhei,10-Sep-2025 04:16 PM,Rejected-AOC,Rejected by the Committee,30-Oct-2025 02:45 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3074398,PUSPALATA BARIK,10-Sep-2025 03:51 PM,Rejected-AOC,Rejected by the Committee,30-Oct-2025 02:45 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3065128,RABI THAKUR,05-Sep-2025 10:25 PM,Rejected-AOC,Rejected by the Committee,30-Oct-2025 02:45 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3072897,RAJAN BUDA(S.C),10-Sep-2025 01:19 PM,Rejected-AOC,Rejected by the Committee,30-Oct-2025 02:45 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
