Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
06-Jul-2023 09:00 AM,20-Jul-2023 11:30 AM,06-Jul-2023 09:00 AM,19-Jul-2023 05:00 PM,NA ,NA ,06-Jul-2023 09:00 AM,19-Jul-2023 05:00 PM,03-Aug-2023 03:30 PM,"3,05,000",Yes,percentage,1.0%,Nil,Nil,Infrastructure Development of Saptasajya in Dhenkanal District.,Infrastructure Development of Saptasajya in Dhenkanal District.,Please refer Tender documents. ,NA ,"3,05,00,000",Civil Works - Others,NA ,Tender,90.0,330.0,Saptasajya in Dhenkanal District.,759013.0,NA ,NA ,NA ,Superintending Engineer(I/C) O.T.D.C Ltd Lewis,No ,No,Superintending Engineer(I/C) O.T.D.C Ltd Lewis,Superintending Engineer(I/C) O.T.D.C Ltd Lewis road Bhubaneswar.,Odisha Tourism Devl. Corp.,BP -I/02/2023-24Dt.21.06.2023,2023_OTDC_90411_2,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,"10,000","1,800",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,"Cost of Tender, EMD, Contractor Registration License, Pan card, Affidative, GST work experience cert",AOC,S.K. Behera,Internal,R.K.PaleIA.S. SWAINA.RATH.SPRADHAN,Sunil Kumar Behera,03-Aug-2023 11:35 AM,03-Aug-2023 03:30 PM,techsummary_442931.pdf (3161.67 KB),1,2179994,ARYA PRAKASH CHAMPATIRAY,18-Jul-2023 04:11 PM,Accepted-AOC,Fulfilled eligibility criteria,03-Nov-2023 04:38 PM,1.0,2179994.0,ARYA PRAKASH CHAMPATIRAY,INR,"30,595,184",Finance,Price Bid Proceeding,Rakesh Dhar,03-Nov-2023 04:29 PM,finance_442931.pdf,BOQ Comparative Chart,03-Nov-2023,"INR 30,595,184",330.0,Rakesh Dhar,03-Nov-2023 04:36 PM,SaptasaJYAWO.PDF (1194.00 KB),Infrastructure Development of Saptasajya in Dhenkanal District.,Odisha Tourism Devl. Corp.,2023_OTDC_90411_2,BP -I/02/2023-24Dt.21.06.2023,Infrastructure Development of Saptasajya in Dhenkanal District.,S.K. Behera,Internal,R.K.PaleIL.SAHOOA.S. SWAINA.RATH.SKJENA,Rakesh Dhar,03-Nov-2023 04:34 PM,finsummary_442931.pdf (741.72 KB),Technical,Technical Bid Proceeding,Sunil Kumar Behera,03-Aug-2023 11:32 AM,technical_442931.pdf,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,.pdf,Other documents as per DTCN,AOC,,,,,,,,2,2180355,Debabrata Bhatta,18-Jul-2023 09:43 PM,Rejected-AOC,Fulfilled eligibility criteria,03-Nov-2023 04:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,AOC,,,,,,,,3,2180443,Pradeep Kishor Swain,18-Jul-2023 10:19 PM,Rejected-AOC,Fulfilled eligibility criteria,03-Nov-2023 04:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,2180678,SANDEEP NAYAK,19-Jul-2023 11:04 AM,Rejected-AOC,Fulfilled eligibility criteria,03-Nov-2023 04:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,2180478,SUBHASHKUMAR S JENA,18-Jul-2023 11:04 PM,Rejected-AOC,Fulfilled eligibility criteria,03-Nov-2023 04:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
