Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Cover No,Cover,Document Type,Description,S.No.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
"Widening and strengthening of Khariar-Bhuliasikuan Road from ch.0/000 km Block chowck to 3/200km such as shifting of HT Line, Substation and LT lines in the district of Nuapada for the year 2023-24.","Widening and strengthening of Khariar-Bhuliasikuan Road from ch.0/000 km Block chowck to 3/200km such as shifting of HT Line, Substation and LT lines in the district of Nuapada for the year 2023-24.",Please refer Tender documents. ,NA ,"38,06,101",Electrical Works,Shifting HT Lines ,Tender,90.0,60.0,Khariar,766107.0,NA ,NA ,NA ,"O/oSEKhariarRandBDivision,Khariar",No ,No,"6,000",0.0,Nil,Nil,No,"38,500",Yes,fixed,,Nil,Nil,"EE,KhariarRandBDivision,Khariar","O/oSEKhariarRandBDivision,Khariar",EIC-CIVIL||SERNB-CIRCLE-BOLANGIR||EERNB-DIVISION-KHARIAR,SERNBKHR - 16 /2023-24,2023_EICCL_95243_2,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Papercost,PAN,VAT,GSTIN,RC,Affidavit and other documents as per DTCN.",1.0,1stcorrigendum,Date,,06-Oct-2023 10:00 AM,19-Oct-2023 11:30 AM,06-Oct-2023 10:00 AM,18-Oct-2023 05:00 PM,06-Oct-2023 10:00 AM ,18-Oct-2023 05:00 PM ,06-Oct-2023 10:00 AM,18-Oct-2023 05:00 PM,AOC,20-Nov-2023,"INR 3,235,566.46",60.0,Sukanta Gardia,22-Nov-2023 06:43 PM,oac16.2.pdf (132.00 KB),Award of Contract.,"Er.Sasankasekharsukla,E.E.",Internal,"DilipkumarShaw,DAO_I.Er.SukantaGardia,AEE,Estimator",Sukanta Gardia,01-Nov-2023 11:13 AM,finsummary_465863.pdf (107.91 KB),Finance,Bid opening summary.,Sukanta Gardia,31-Oct-2023 12:46 PM,finance_465863.pdf,BOQ Comparative Chart,1,2288429,Abinash Tripathy,15-Oct-2023 06:24 PM,Rejected-AOC,Not successful through transparent lottery process.,22-Nov-2023 06:44 PM,1.0,2291118.0,Pawan Kuamr Agrawal,INR,"3,235,566.46",EIC-CIVIL||SERNB-CIRCLE-BOLANGIR||EERNB-DIVISION-KHARIAR,2023_EICCL_95243_2,SERNBKHR - 16 /2023-24,"Widening and strengthening of Khariar-Bhuliasikuan Road from ch.0/000 km Block chowck to 3/200km such as shifting of HT Line, Substation and LT lines in the district of Nuapada for the year 2023-24.","Er.Sasankasekharsukla,E.E.",Internal,"DilipkumarShaw,DAO_I.Er.SukantaGardia,AEE,Estimator",Sukanta Gardia,31-Oct-2023 12:50 PM,techsummary_465863.pdf (90.29 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,Bill of Quantity.,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,2,2291118,Pawan Kuamr Agrawal,18-Oct-2023 12:29 PM,Accepted-AOC,Successful through transparent lottery process and awarded the work,22-Nov-2023 06:44 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,3,2288450,RAHUL BOSE,17-Oct-2023 08:05 PM,Rejected-AOC,Not successful through transparent lottery process.,22-Nov-2023 06:44 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,4,2286183,SEELA RAJEYA REDDY,12-Oct-2023 12:41 PM,Rejected-AOC,Not successful through transparent lottery process.,22-Nov-2023 06:44 PM,,,,,,,,,,,,,,,,AOC
