Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Orissa Lift Irrigation Corporation||LI Northern Circle Sambalpur||LI Division Sambalpur,EEOLICSBP-07/2023-24,2023_OLIC_93500_32,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Revival of Rengali RL Project under Naktideul Block in Sambalpur District,Revival of Rengali RL Project under Naktideul Block in Sambalpur District,Please refer Tender documents. ,NA ,"21,51,911",Civil Works - Lift Irrigation Schemes,NA ,Tender,90.0,90.0,Naktideul,768118.0,NA ,NA ,NA ,"O/o E.E. L.I. Division, Sambalpur",No ,No,"21,519",Yes,percentage,1.0%,Nil,Nil,01-Sep-2023 10:00 AM,12-Sep-2023 10:00 AM,01-Sep-2023 10:00 AM,11-Sep-2023 05:00 PM,01-Sep-2023 10:00 AM ,08-Sep-2023 05:00 PM ,01-Sep-2023 10:00 AM,11-Sep-2023 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender cost, GST Registration Certificate, PAN, Contractor RC Affidavits, undertakings and any other","6,000",0.0,Nil,Nil,No,"E.E. L.I. Division, Sambalpur","E.E. L.I. Division, Sambalpur, Binakhandi",1.0,ICICI BANK,AOC,1,2245318,AMIT PIPES PROP.SUMIT BHOI,09-Sep-2023 11:00 PM,Rejected-Finance,Disqualified in Lottery,03-Nov-2023 12:46 PM,Pradeep Kumar Swain,Internal,"Niranjan Naik, Rabindranath Nayak, Manoj Kumar Mishra",Pradeep Kumar Swain,03-Nov-2023 12:46 PM,finsummary_456455.pdf (349.54 KB),Finance,Tender Open,Pradeep Kumar Swain,12-Sep-2023 01:34 PM,finance_456455.pdf,BOQ Comparative Chart,03-Nov-2023,"INR 1,829,339.84",90.0,Pradeep Kumar Swain,03-Nov-2023 12:49 PM,Tcn0732.pdf (592.00 KB),Agreement Done,Pradeep Kumar Swain,Internal,"Niranjan Naik, Rabindranath Nayak, Manoj Kumar Mishra",Pradeep Kumar Swain,23-Sep-2023 12:35 PM,techsummary_456455.pdf (585.26 KB),Orissa Lift Irrigation Corporation||LI Northern Circle Sambalpur||LI Division Sambalpur,2023_OLIC_93500_32,EEOLICSBP-07/2023-24,Revival of Rengali RL Project under Naktideul Block in Sambalpur District,1.0,2246496.0,KSHIROD CHANDRA NAIK,INR,"1,829,339.84",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,2,2239555,KESHAB CHANDRA SAHU,09-Sep-2023 01:53 PM,Rejected-AOC,Not Award of Contract,03-Nov-2023 12:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,2246496,KSHIROD CHANDRA NAIK,11-Sep-2023 02:38 PM,Accepted-AOC,Award of Contract,03-Nov-2023 12:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
