Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
Municipal Bodies||Nimapara NAC,NP-NAC-01/2023-24,2023_ORULB_92666_58,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,29-Aug-2023 12:00 PM,13-Sep-2023 11:00 AM,29-Aug-2023 12:00 PM,11-Sep-2023 05:00 PM,NA ,NA ,29-Aug-2023 12:00 PM,11-Sep-2023 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Paper cost, EMD, Registration Certificate, Labour Licences, PAN, GST and Other Documents","EXECUTIVE OFFICER, NIMAPARA NAC","OFFICE OF THE EXECUTIVE OFFICER, NIMAPARA NAC","2,616",Yes,fixed,,Nil,Nil,Improvement of road convert to Paver Block from Amiya Mohanty house to Nanda Sir and Mohapatra Babu House Mahaveer Colony at Ward No 8,Improvement of road convert to Paver Block from Amiya Mohanty house to Nanda Sir and Mohapatra Babu House Mahaveer Colony at Ward No 8,Please refer Tender documents. ,NA ,"2,61,614",Civil Works - Others,NA ,Tender,120.0,60.0,"Nimapara NAC, Ward No-8",752106.0,NA ,NA ,NA ,OFFICE OF THE NIMAPARA NAC,No ,No,"2,000",0.0,Nil,Nil,No,AOC,Sasmita Sahoo,Internal,"E.O, Nimapara NAC, M.E, Nimapara NAC, Asst.Engineer, Nimapara NAC, Asst.Engineer, Nimapara Block, Asst.Engineer, PHD WATCO, Nimapara",Saroj Kumar Acharya,18-Nov-2023 05:14 PM,finsummary_455413.pdf (239.09 KB),Municipal Bodies||Nimapara NAC,2023_ORULB_92666_58,NP-NAC-01/2023-24,Improvement of road convert to Paver Block from Amiya Mohanty house to Nanda Sir and Mohapatra Babu House Mahaveer Colony at Ward No 8,1.0,2243930.0,SARASWATI ENGINEERING PROP.KAMALA KRISHNA RAO ACHARYA,INR,"222,398",Finance,All two bidders are accepted.,Saroj Kumar Acharya,18-Nov-2023 05:06 PM,,BOQ Comparative Chart,1.0,2246678.0,GANGA DHARA SETHI,09-Sep-2023 09:15 PM,Rejected-AOC,rejected,18-Nov-2023 05:16 PM,18-Nov-2023,"INR 222,398",60.0,Saroj Kumar Acharya,18-Nov-2023 05:15 PM,WO58.pdf (239.00 KB),SARASWATI ENGINEERING is awarded as L1 bidder through lucky draw.,Sasmita Sahoo,Internal,"E.O, Nimapara NAC, M.E, Nimapara NAC, Asst.Engineer, Nimapara NAC, Asst.Engineer, Nimapara Block, Asst.Engineer, PHD WATCO, Nimapara",Saroj Kumar Acharya,18-Nov-2023 05:11 PM,techsummary_455413.pdf (239.09 KB),AOC
,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,.pdf,"Affidavit, Undertaking and other documents as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2.0,2243930.0,SARASWATI ENGINEERING PROP.KAMALA KRISHNA RAO ACHARYA,09-Sep-2023 10:33 PM,Accepted-AOC,accepted.,18-Nov-2023 05:16 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
