EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
"29,300",Yes,fixed,,Nil,Nil,25-Apr-2023 06:55 PM,10-May-2023 11:00 AM,25-Apr-2023 06:55 PM,09-May-2023 05:00 PM,NA ,NA ,25-Apr-2023 06:55 PM,09-May-2023 05:00 PM,26-May-2023 05:00 PM,"7,080",0.0,Nil,Nil,No,"CGM(C), OMC Ltd.","Office of the CGM(C), OMC Ltd., Bhubaneswar",1.0,ICICI BANK,"Repair and Renovation work of Saheed Nagar Police station, Bhubaneswar under CSR scheme.","Repair and Renovation work of Saheed Nagar Police station, Bhubaneswar under CSR scheme.","RC, EPF Regd., GSTN, PAN, Registration in CDMS portal, Affidavits, experience, etc. as per DTCN requirements.  ",NA ,"29,30,000",Civil Works - Others,NA ,Tender,180.0,120.0,"SAHEED NAGAR, BHUBANESWAR",751022.0,NA ,NA ,NA ,"Office of the CGM(C), OMC Ltd., Bhubaneswar",No ,No,1.0,Fee/PreQual/Technical,.pdf,TECHNICAL,Orissa Mining Corporation,NIT No.20/OMC/CIVIL/2023,2023_OMC_88399_3,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC,Orissa Mining Corporation,2023_OMC_88399_3,NIT No.20/OMC/CIVIL/2023,"Repair and Renovation work of Saheed Nagar Police station, Bhubaneswar under CSR scheme.",17-Nov-2023,"INR 2,490,667.24",120.0,Satyajit Jena,17-Nov-2023 01:40 PM,2023OMC883993AOC.pdf (450.00 KB),Technical,12 (TWELVE) bids has been received subjected to evaluation by committee,Durgamadhab Mallik,10-May-2023 06:22 PM,,R K PANDA,Internal,J K MEKAP S K BISWAL S P MEHER,Satyajit Jena,17-Nov-2023 01:35 PM,finsummary_435819.pdf (1570.03 KB),1.0,2134864.0,M/S SILICON INTERIORS,INR,"2,490,667.24",R K PANDA,Internal,J K MEKAP S K BISWAL S P MEHER,Satyajit Jena,26-May-2023 11:52 AM,26-May-2023 05:00 PM,techsummary_435819.pdf (116.19 KB),1,2134903,AJAY KUMAR LENKA,09-May-2023 02:30 PM,Rejected-Finance,Not being L-1 or L-2,17-Nov-2023 01:35 PM,Finance,Financial bid of 12 (Twelve) qualified bidders had been open out of 12 (Twelve) bids.,Durgamadhab Mallik,26-May-2023 05:40 PM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,FINANCIAL,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2130242,AJITA SAHOO,04-May-2023 07:09 PM,Rejected-Finance,Not being L-1 or L-2,17-Nov-2023 01:35 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2134900,BISWARANJAN MALLICK,09-May-2023 02:14 PM,Rejected-AOC,Being L2,17-Nov-2023 01:42 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2134803,DEBASIS SRICHANDAN,09-May-2023 04:02 PM,Rejected-Finance,Not being L-1 or L-2,17-Nov-2023 01:35 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2129947,DIPTI RANJAN JENA,04-May-2023 01:12 PM,Rejected-Finance,Not being L-1 or L-2,17-Nov-2023 01:35 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2134749,J J CONSTRUCTION,09-May-2023 03:08 PM,Rejected-Finance,Not being L-1 or L-2,17-Nov-2023 01:35 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2134907,JYOTI RANJAN SWAIN,09-May-2023 02:17 PM,Rejected-Finance,Not being L-1 or L-2,17-Nov-2023 01:35 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2130802,Krupajal Engineering and Construction,08-May-2023 12:23 PM,Rejected-Finance,Not being L-1 or L-2,17-Nov-2023 01:35 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2135017,MANAS RANJAN PATTANAIK PROPRIETOR BHAIJI,09-May-2023 04:52 PM,Rejected-Finance,Not being L-1 or L-2,17-Nov-2023 01:35 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2134864,M/S SILICON INTERIORS,09-May-2023 01:44 PM,Accepted-AOC,Being L1,17-Nov-2023 01:42 PM,,,,,,,AOC
