Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
EO,Internal,je me,Tarun Kumar Mohapatra,14-Nov-2023 06:13 PM,techsummary_455538.pdf (387.52 KB),1,2243954,CORPORATE SYSTEMS PROP HRUDANANDA DIVEDI,INR,"1,164,679.603",Municipal Bodies||Vyasanagar Municipality,2023_ORULB_93432_8,04/vnm/2023/24 dt-25/08/2023,Construction of paver road from Krupasindhu rout house to Pradip Dey house in ward No 10,1,2243954,CORPORATE SYSTEMS PROP HRUDANANDA DIVEDI,07-Sep-2023 09:12 PM,Accepted-AOC,rejected,14-Nov-2023 06:21 PM,14-Nov-2023,"INR 2,329,359",60.0,Tarun Kumar Mohapatra,14-Nov-2023 06:20 PM,rp2.pdf (388.00 KB),total boq value,Finance,bid opening summary,Tarun Kumar Mohapatra,14-Nov-2023 06:11 PM,finance_455538.pdf,BOQ Comparative Chart,EO,Internal,je me,Tarun Kumar Mohapatra,14-Nov-2023 06:18 PM,finsummary_455538.pdf (387.52 KB),AOC,29-Aug-2023 11:00 AM,11-Sep-2023 11:00 AM,29-Aug-2023 11:00 AM,08-Sep-2023 05:00 PM,NA ,NA ,29-Aug-2023 11:00 AM,08-Sep-2023 05:00 PM,Municipal Bodies||Vyasanagar Municipality,04/vnm/2023/24 dt-25/08/2023,2023_ORULB_93432_8,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1,ICICI BANK,executive officer,vyasanagar municipality,"11,650",Yes,fixed,,Nil,Nil,"6,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,DETAIL TENDER CALL NOTICE,Construction of paver road from Krupasindhu rout house to Pradip Dey house in ward No 10,civil road work,Please refer Tender documents. ,NA ,"11,64,680",Civil Works - Roads,NA ,Tender,60.0,60.0,vyasanagar municipality,755019.0,NA ,NA ,NA ,executive office chamber vyasanagar municipality,No ,No,AOC
,,,,,,2,2244144,RASHMITA PRADHAN,INR,"1,164,679.603",,,,,2,2244144,RASHMITA PRADHAN,08-Sep-2023 02:09 PM,Accepted-AOC,accepted,14-Nov-2023 06:21 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,AOC
