S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No.1,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
1,ICICI BANK,"2,000",0.0,Nil,Nil,No,"4,944",Yes,fixed,,Nil,Nil,"Executive Officer,Nabarangpur Municipality","At - Nabarangpur Municipality, Nabarangpur.",1.0,Corrigendum Regarding DTCN revised,Other,,1.0,Fee/PreQual/Technical/Finance,.pdf,"Registration Certificate, GST Registration Certificate, GSTIN, PAN and Other Documents.",24-Aug-2023 11:00 AM,04-Sep-2023 11:00 AM,24-Aug-2023 11:00 AM,02-Sep-2023 05:00 PM,NA ,NA ,24-Aug-2023 11:00 AM,02-Sep-2023 05:00 PM,Construction of Paver Surface over Kutcha Road from NH to Bulu Mohapatra Farm house in Ward No-01,Please referee the Tender Documents,CIVIL WORK ,NA ,"4,94,408",Civil Works - Others,NA ,Tender,90.0,60.0,Nabarangpur,764059.0,NA ,NA ,NA ,Nabarangpur Municipality,No ,No,Municipal Bodies||Nabarangpur Municipality,EONM-03/2023-24(51),2023_ORULB_92969_42,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,1,2230623,DAYANIDHI BHATARA,02-Sep-2023 05:15 AM,Accepted-AOC,L1 bidder,02-Nov-2023 06:45 PM,02-Nov-2023,"INR 469,737",60.0,Upendra Kumar Nayak,02-Nov-2023 06:44 PM,3994_NM.pdf (370.00 KB),Sri. Kunu Nayak,Internal,"Chairman, ADM, Executive Officer, Municipal Engineer, Accountant, Nabarangpur",Upendra Kumar Nayak,02-Nov-2023 06:36 PM,techsummary_453258.pdf (1718.38 KB),Sri. Kunu Nayak,Internal,"Chairman, ADM, Executive Officer, Municipal Engineer, Accountant, Nabarangpur",Upendra Kumar Nayak,02-Nov-2023 06:41 PM,finsummary_453258.pdf (1718.38 KB),Municipal Bodies||Nabarangpur Municipality,2023_ORULB_92969_42,EONM-03/2023-24(51),Construction of Paver Surface over Kutcha Road from NH to Bulu Mohapatra Farm house in Ward No-01,1.0,2230623.0,DAYANIDHI BHATARA,INR,"469,737",Finance,All documents submitted as per bid,Upendra Kumar Nayak,02-Nov-2023 06:32 PM,,BOQ Comparative Chart,AOC
2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,2230622,MANOJ KUMAR BRAHMA,02-Sep-2023 05:08 AM,Rejected-Finance,due to l2 bidder,02-Nov-2023 06:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
