Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
Municipal Bodies||Gunupur Municipal Council,GUN-MUN-63/2023-24,2023_ORULB_94875_3,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,DEVLOPMENT OF PLAY GROUND AND LAYING PAVER BLOCK AT GUNUPUR COLLEGE,DEVLOPMENT OF PLAY GROUND AND LAYING PAVER BLOCK AT GUNUPUR COLLEGE,Please refer Tender documents. ,NA ,"9,95,754",Civil Works - Buildings,NA ,Tender,90.0,30.0,GUNUPUR,765022.0,NA ,NA ,NA ,GUNUPUR MUNICIPALITY,No ,No,"4,000",0.0,Nil,Nil,No,28-Sep-2023 10:00 AM,05-Oct-2023 11:00 AM,28-Sep-2023 10:00 AM,04-Oct-2023 05:00 PM,NA ,NA ,28-Sep-2023 10:00 AM,04-Oct-2023 05:00 PM,1,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"LICENSE,GSTIN,PAN,AFFIDAVIT,NO RELATION CERTIFICATE AND AS PER NIT DTCN","9,958",Yes,percentage,1.0%,Nil,Nil,EXECUTIVE OFFICER GUNUPUR MUNICIPALITY,EXECUTIVE OFFICER GUNUPUR MUNICIPALITY,AOC,1.0,2278873.0,SANTOSH KUMAR RATH,INR,"759,556.59",Municipal Bodies||Gunupur Municipal Council,2023_ORULB_94875_3,GUN-MUN-63/2023-24,DEVLOPMENT OF PLAY GROUND AND LAYING PAVER BLOCK AT GUNUPUR COLLEGE,Chairperson Gunupur Municipality,Internal,"CHAIRPERSON,GUNUPUR MUNICIPALITY, EXECUTIVE OFFICER, GUNUPUR MUNICIPALITY, ASST. ENGINEER, GUNUPUR MUNICIPALITY, ASST. COLLECTOR SUB COLLECTORS OFFICE ,GUNUPUR",SATYASAMPARNA ROUT,19-Nov-2023 11:38 AM,techsummary_464515.pdf (417.52 KB),19-Nov-2023,"INR 843,858.062",30.0,SATYASAMPARNA ROUT,19-Nov-2023 11:43 AM,3c.pdf (1743.00 KB),DEVLOPMENT OF PLAY GROUND AND LAYING PAVER BLOCK AT GUNUPUR COLLEGE,"Chairprerson, Gunupur Municipality",Internal,"CHAIRPERSON,GUNUPUR MUNICIPALITY, EXECUTIVE OFFICER, GUNUPUR MUNICIPALITY, ASST. ENGINEER, GUNUPUR MUNICIPALITY, ASST. COLLECTOR SUB COLLECTORS OFFICE ,GUNUPUR",SATYASAMPARNA ROUT,19-Nov-2023 11:42 AM,finsummary_464515.pdf (417.51 KB),Finance,OPENED,Biswanath Saraka,06-Oct-2023 02:22 PM,finance_464515.pdf,BOQ Comparative Chart,1,2278911,K RAMA KRISHNA,04-Oct-2023 03:23 PM,Rejected-Finance,EXCESS QUOTED VALUE,19-Nov-2023 11:42 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,.xls,BILL OF QUANTITY,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2278873,SANTOSH KUMAR RATH,04-Oct-2023 02:32 PM,Accepted-AOC,LOWEST BID,19-Nov-2023 11:44 AM,AOC
