S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage
1.0,2246910.0,Hrushikesh Sahoo,INR,"1,145,436.64",Finance,OPEN SUCCESSFULLY,Santanu Kumar Sahoo,12-Sep-2023 01:20 PM,,BOQ Comparative Chart,ME,Internal,JE AND OTHER STAFF,Santanu Kumar Sahoo,30-Nov-2023 03:24 PM,finsummary_454551.pdf (819.81 KB),Municipal Bodies||Chandbali NAC,2023_ORULB_93232_12,CN/06/2022-23,"Construction of Paver road from Dasia BauriMatha to Batriya,W-11",ME,Internal,JE AND OTHER STAFF,Santanu Kumar Sahoo,30-Nov-2023 03:18 PM,techsummary_454551.pdf (819.81 KB),1,2247660,AJAYA KUMAR SAHOO,10-Sep-2023 08:57 PM,Rejected-Finance,NOT L1 IN LOTTERY,30-Nov-2023 03:24 PM,30-Nov-2023,"INR 1,145,436",60.0,Santanu Kumar Sahoo,30-Nov-2023 03:25 PM,CHANDABALIEMDRETURN.pdf (820.00 KB),DUE TO L1 IN LOTTERY,AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,"PAN,GSTIN, RC,LC, Affidavit No relation certificate and other document as per DTCN","6,000",0.0,Nil,Nil,No,"Construction of Paver road from Dasia BauriMatha to Batriya,W-11","Construction of Paver road from Dasia BauriMatha to Batriya,W-11",Please refer Tender documents. ,NA ,"13,47,414",Civil Works - Others,NA ,Tender,30.0,60.0,"Chandabali NAC, Chandabali",756133.0,NA ,NA ,NA ,"Chandabali NAC, Chandabali",No ,No,Municipal Bodies||Chandbali NAC,CN/06/2022-23,2023_ORULB_93232_12,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,25-Aug-2023 05:00 PM,12-Sep-2023 11:30 AM,25-Aug-2023 05:00 PM,11-Sep-2023 05:00 PM,NA ,NA ,25-Aug-2023 05:00 PM,11-Sep-2023 05:00 PM,"13,474",Yes,percentage,1.0%,Nil,Nil,"Executive Officer, Chandabali NAC, Chandabali","Chandabali NAC, Chandabali",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2229766,BIDYADHAR BARIK,02-Sep-2023 08:09 AM,Rejected-Finance,NOT L1 IN LOTTERY,30-Nov-2023 03:24 PM,,,,,,,,AOC,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2247115,BRAJASUNDAR MOHANTY,10-Sep-2023 01:31 PM,Rejected-Finance,NOT L1 IN LOTTERY,30-Nov-2023 03:24 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2241352,DILLIP BEHERA,07-Sep-2023 10:38 AM,Rejected-Finance,NOT L1 IN LOTTERY,30-Nov-2023 03:24 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2246989,GANGADHAR DAS,10-Sep-2023 11:49 AM,Rejected-Finance,NOT L1 IN LOTTERY,30-Nov-2023 03:24 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2246910,Hrushikesh Sahoo,10-Sep-2023 01:23 PM,Accepted-AOC,DUE TO L1 IN LOTTERY,30-Nov-2023 03:26 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2247155,KEDAR KUMAR NAYAK,10-Sep-2023 01:49 PM,Rejected-Finance,NOT L1 IN LOTTERY,30-Nov-2023 03:24 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2246953,NARENDRA BEHERA,10-Sep-2023 11:11 AM,Rejected-Finance,NOT L1 IN LOTTERY,30-Nov-2023 03:24 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2247366,PURENDRA DAS,10-Sep-2023 05:09 PM,Rejected-Finance,NOT L1 IN LOTTERY,30-Nov-2023 03:24 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2239750,RAGHUNATH MALIK,11-Sep-2023 11:27 AM,Rejected-Finance,NOT L1 IN LOTTERY,30-Nov-2023 03:24 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2244508,SAIKA MANJER,08-Sep-2023 12:05 PM,Rejected-Finance,NOT L1 IN LOTTERY,30-Nov-2023 03:24 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
