Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
"4,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.xls,BOQ,1,ICICI BANK,"EXECUTIVE OFFICER,NAC DASPALLA","EXECUTIVE OFFICER,NAC DASPALLA",29-Jun-2023 12:00 PM,13-Jul-2023 11:00 AM,29-Jun-2023 12:00 PM,12-Jul-2023 05:00 PM,NA ,NA ,29-Jun-2023 12:00 PM,12-Jul-2023 05:00 PM,Municipal Bodies||Daspalla NAC,NAC-Daspalla/ 01/2023-24,2023_ORULB_89922_6,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Construction of RCC Covered Drain from the House of Raghu Sethi to Pankaj Behera in Ward no. 02 of NAC Daspalla,Construction of RCC Covered Drain from the House of Raghu Sethi to Pankaj Behera in Ward no. 02 of NAC Daspalla,Please refer Tender documents. ,NA ,"9,81,500",Civil Works - Roads,NA ,Tender,90.0,90.0,DASPALLA,752084.0,NA ,NA ,NA ,NAC OFFICE DASPALLA,No ,No,"9,815",Yes,fixed,,Nil,Nil,AOC,SMT PUNAM PRIYADARSHINEE,Internal,OK,Dillip Kumar Behera,12-Oct-2023 10:38 AM,finsummary_441556.pdf (245.63 KB),Finance,OK,Ashok Kumar Dalabehera,10-Aug-2023 12:01 PM,finance_441556.pdf,BOQ Comparative Chart,19-Oct-2023,"INR 831,780",90.0,Dillip Kumar Behera,03-Nov-2023 04:52 PM,6.pdf (243.00 KB),1,2175940,GOBINDA CHANDRA NAYAK,11-Jul-2023 06:15 PM,Accepted-AOC,OK,03-Nov-2023 04:53 PM,1.0,2175940.0,GOBINDA CHANDRA NAYAK,INR,"831,780",Municipal Bodies||Daspalla NAC,2023_ORULB_89922_6,NAC-Daspalla/ 01/2023-24,Construction of RCC Covered Drain from the House of Raghu Sethi to Pankaj Behera in Ward no. 02 of NAC Daspalla,SMT PUNAM PRIYADARSHINEE,Internal,,Ashok Kumar Dalabehera,10-Aug-2023 12:02 PM,techsummary_441556.pdf (3871.32 KB),AOC
,,,,,,,.pdf,ALL TENDER DOCUMENTS,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2,2176148,PRAKASH MOHAPATRA,12-Jul-2023 12:18 AM,Rejected-Finance,EXCESS,12-Oct-2023 10:38 AM,,,,,,,,,,,,,,,,AOC
