Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Stage
"Collector and District Magistrate, Mayurbhanj",Internal,"PA, ITDA, Baripada / AEO (Tech, ZP, Mayurbhanj / AEE, ITDA, Baripada / AEs, ITDA, Baripda",LAMBODAR MAJHI,04-Nov-2023 02:07 PM,techsummary_462685.pdf,04-Nov-2023,"INR 4,280,207.334",120.0,LAMBODAR MAJHI,04-Nov-2023 02:16 PM,TenderProceeding_03.pdf,Accepted and Selected through transparent lottery system,Finance,Subject to verification of Original Documents,LAMBODAR MAJHI,04-Nov-2023 02:04 PM,,ST and SC Development Deptt||ITDA Baripada,2023_STSCD_94536_19,ITDABPD-03/2023-24,Construction Of approach road to Panijia EMRS under Kuliana Block,"Collector and District Magistrate, Mayurbhanj",Internal,"PA, ITDA, Baripada / AEO (Tech, ZP, Mayurbhanj / AEE, ITDA, Baripada / AEs, ITDA, Baripda",LAMBODAR MAJHI,04-Nov-2023 02:13 PM,finsummary_462685.pdf,AOC,"50,400",Yes,fixed,,Nil,Nil,Construction Of approach road to Panijia EMRS under Kuliana Block,Construction Of approach road to Panijia EMRS under Kuliana Block,B ,NA ,,Civil Works - Roads,NA ,Tender,90.0,120.0,BARIPADA,757002.0,NA ,NA ,NA ,"ITDA, BARIPADA",No ,No,"Project Administrator, ITDA, Baripada","Murgabadi, Baripada",1.0,Fee/PreQual/Technical/Finance,.pdf,"License / PAN / GST / Affidavit / Online Payment Confirmation Slip / Etc.,","10,000",0.0,Nil,Nil,No,18-Sep-2023 10:00 AM,12-Oct-2023 11:00 AM,18-Sep-2023 10:00 AM,11-Oct-2023 05:30 PM,NA ,NA ,18-Sep-2023 10:00 AM,11-Oct-2023 05:30 PM,ST and SC Development Deptt||ITDA Baripada,ITDABPD-03/2023-24,2023_STSCD_94536_19,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,1,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,AOC
