EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
"18,000",Yes,fixed,,Nil,Nil,1.0,1st CORRIGENDUM,Date,,"Executive Officer, Balangir Municipality","Office of the Municipal Council, Balangir","Construction of road from Ambedkar Pathagar to Bachpan School Bishnumunda,W.No.17",Road Work,Please refer Tender Documents  ,NA ,,Civil Works - Roads,NA ,Tender,180.0,90.0,Balangir Municipality,767001.0,NA ,NA ,NA ,"Office of the Municipal Council, Balangir",No ,No,Municipal Bodies||Balangir Municipality,BLGR MPTY/03(01-68)/2023-24,2023_ORULB_90376_39,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.xls,Bill of Quantity,07-Jul-2023 09:00 AM,25-Jul-2023 11:00 AM,07-Jul-2023 09:00 AM,24-Jul-2023 05:00 PM,NA ,NA ,07-Jul-2023 09:00 AM,24-Jul-2023 05:00 PM,"6,000",0.0,Nil,Nil,No,AOC,Municipal Bodies||Balangir Municipality,2023_ORULB_90376_39,BLGR MPTY/03(01-68)/2023-24,"Construction of road from Ambedkar Pathagar to Bachpan School Bishnumunda,W.No.17","Lika Sahu,Chairperson",Internal,"Chairperson , Executive Officer,Municipal Engineer,Asst. Engineer, Junior Engineer, Balangir Municipality.",Rojalisa Rout,31-Jul-2023 06:18 PM,finsummary_443147.pdf (23.77 KB),Finance,2 Nos. of bidders are participated,Rojalisa Rout,28-Jul-2023 07:29 PM,,BOQ Comparative Chart,1.0,2184063.0,SUDHANIDHI DEEP,INR,"1,524,032.96",08-Sep-2023,"INR 1,524,032.96",90.0,Biswambhar Mishra,17-Nov-2023 02:30 PM,WO0320232439.pdf (231.00 KB),After approval of the tender Committee contractor Sri Sudhanidhi Deep is awarded the work vide W/O No.3490 Dt.09.09.2023.,1,2184063,SUDHANIDHI DEEP,23-Jul-2023 11:41 PM,Accepted-AOC,L1,17-Nov-2023 02:31 PM,"Lika Sahu,Chairperson, Balangir Municipality",Internal,"Chairperson , Executive Officer, Municipal Engineer,Asst. Engineer, Junior Engineer, Balangir Municipality.",Rojalisa Rout,30-Jul-2023 05:01 PM,techsummary_443147.pdf (87.45 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,.pdf,"Online proof of tender paper cost, EMD,GSTIN,PAN,RC,Affidavit and any others documents as per DTCN",,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2184115,SURAJ KUMAR PATEL,24-Jul-2023 01:45 AM,Rejected-Finance,other then L1 Bidder,31-Jul-2023 06:18 PM,,,,,,,AOC
