Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
"10,000",0.0,Nil,Nil,No,EIC-CIVIL||SERNB-CIRCLE-JEYPORE||EERNB-DIVN-JEYPORE,SE RANDB 10/2023-24,2023_EICCL_92077_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"90,400",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"Tender Cost, EMD, GST Registration Certificate and GSTIN, PAN, Contractor RC",1.0,ICICI BANK,09-Aug-2023 11:00 AM,19-Aug-2023 11:00 AM,09-Aug-2023 11:00 AM,18-Aug-2023 05:00 PM,09-Aug-2023 11:00 AM ,16-Aug-2023 05:00 PM ,09-Aug-2023 11:00 AM,18-Aug-2023 05:00 PM,25-Sep-2023 09:00 AM,Improvement such as widening and Strengthening of Jeypore - Phampuni Road from 3/200Km to 3/700Km in the District of Koraput under state Plan.,CIVIL,Please refer Tender documents. ,NA ,"90,34,000",Civil Works - Roads,NA ,Tender,90.0,90.0,Jeypore,764001.0,NA ,NA ,NA ,"O/O the S.E , Jeypore R and B Division",No ,No,"E.E , Jeypore R and B Division","O/O the S.E , Jeypore R and B Division, Jail Road",AOC,1.0,2204310.0,ABINASH NAYAK,INR,"7,678,367",EIC-CIVIL||SERNB-CIRCLE-JEYPORE||EERNB-DIVN-JEYPORE,2023_EICCL_92077_1,SE RANDB 10/2023-24,Improvement such as widening and Strengthening of Jeypore - Phampuni Road from 3/200Km to 3/700Km in the District of Koraput under state Plan.,EXECUTIVE EINGINEER,Internal,DAO and AEE Estimator,Sangeeta Gamango,24-Sep-2023 12:23 PM,25-Sep-2023 09:00 AM,techsummary_447118.pdf (2162.07 KB),09-Nov-2023,"INR 7,678,367",90.0,Sangeeta Gamango,09-Nov-2023 04:04 PM,wo_JP3200.pdf (1789.00 KB),ATTACHED,EXECUTIVE ENGINEER,Internal,DAO AND AEE ESTIMATOR,Sangeeta Gamango,09-Nov-2023 04:03 PM,finsummary_447118.pdf (1789.35 KB),Technical,ATTACHED,Sangeeta Gamango,24-Sep-2023 12:12 PM,technical_447118.pdf,1,2204310,ABINASH NAYAK,17-Aug-2023 11:30 AM,Accepted-AOC,1ST LOWEST AS PER LOTTERY,09-Nov-2023 04:05 PM,Finance,ATTACHED,Sangeeta Gamango,09-Nov-2023 03:57 PM,finance_447118.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit Undertakings and Other Documents as per SBD/DTCN,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2204370,BHABANI SANKAR BEHERA,17-Aug-2023 11:46 AM,Rejected-AOC,2ND LOWEST,09-Nov-2023 04:05 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2206076,Bharat Mirgan,18-Aug-2023 04:23 PM,Rejected-AOC,2ND LOWEST,09-Nov-2023 04:05 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2205929,durlabha nayak,18-Aug-2023 02:56 PM,Rejected-AOC,2ND LOWEST,09-Nov-2023 04:05 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2205890,GAURAB PRAKASH KAR,18-Aug-2023 02:33 PM,Rejected-AOC,2ND LOWEST,09-Nov-2023 04:05 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2203866,GOPINATH HARIJAN,17-Aug-2023 11:04 AM,Rejected-AOC,2ND LOWEST,09-Nov-2023 04:05 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2204333,GOURI SANKAR PANDA,17-Aug-2023 11:35 AM,Rejected-AOC,2ND LOWEST,09-Nov-2023 04:05 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2205413,jagadish ku nayak,18-Aug-2023 03:05 PM,Rejected-Technical,Disqualified in Technical Evaluation,24-Sep-2023 12:23 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2205030,NARAYAN TANTI,18-Aug-2023 02:00 PM,Rejected-AOC,2ND LOWEST,09-Nov-2023 04:05 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2204358,RAMESH PATTANAIK,17-Aug-2023 11:43 AM,Rejected-AOC,2ND LOWEST,09-Nov-2023 04:05 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2205139,SUSANTA MANDAL,17-Aug-2023 07:42 PM,Rejected-AOC,2ND LOWEST,09-Nov-2023 04:05 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2204290,TUSHAR KUMAR SAHA,17-Aug-2023 11:13 AM,Rejected-AOC,2ND LOWEST,09-Nov-2023 04:05 PM,,,,,,,AOC
