Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
CONSTRUCTION OF ROAD AND DRAIN FROM BSNL OFFICE TO SANTI NAGAR IN WARD NO 18,ROAD DRAIN,Please refer Tender documents. ,NA ,"19,98,115",Civil Works - Others,NA ,Tender,90.0,120.0,GUNUPUR,765022.0,NA ,NA ,NA ,GUNUPUR,No ,No,1.0,ICICI BANK,06-Jul-2023 10:00 AM,20-Jul-2023 11:00 AM,06-Jul-2023 10:00 AM,19-Jul-2023 05:00 PM,06-Jul-2023 10:00 AM ,19-Jul-2023 05:00 PM ,06-Jul-2023 10:00 AM,19-Jul-2023 05:00 PM,EXECUTIVE OFFICER GUNUPUR MUNICIPALITY,EXECUTIVE OFFICER GUNUPUR MUNICIPALITY,"19,981",Yes,percentage,1.0%,Nil,Nil,Municipal Bodies||Gunupur Municipal Council,GUN-MUN-58/2023-24,2023_ORULB_90286_55,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.xls,BILL OF QUANTITY,AOC,Municipal Bodies||Gunupur Municipal Council,2023_ORULB_90286_55,GUN-MUN-58/2023-24,CONSTRUCTION OF ROAD AND DRAIN FROM BSNL OFFICE TO SANTI NAGAR IN WARD NO 18,Chairperson,Internal,"CHAIRPERSON, EXECUTIVE OFFICER, ASST. ENGINEER, ASST. COLLECTOR, PROGRAME MANAGER",SATYASAMPARNA ROUT,30-Sep-2023 07:36 AM,finsummary_442746.pdf (258.84 KB),Finance,OPENED,SATYASAMPARNA ROUT,26-Jul-2023 06:02 PM,finance_442746.pdf,BOQ Comparative Chart,1.0,2178911.0,RAMA CHANDRA PANDA,INR,"1,693,317.99",1,2179156,BALAJI PANIGRAHI,19-Jul-2023 06:07 AM,Not Admitted-Fee/PreQual/Technical/Finance,Others-EMD NOT DEPOSITED,26-Jul-2023 06:02 PM,14-Nov-2023,"INR 1,693,317.991",120.0,SATYASAMPARNA ROUT,14-Nov-2023 04:34 PM,55a.pdf (1907.00 KB),CONSTRUCTION OF ROAD AND DRAIN FROM BSNL OFFICE TO SANTI NAGAR IN WARD NO 18,Chairperson,Internal,"CHAIRPERSON, EXECUTIVE OFFICER, ASST. ENGINEER, ASST. COLLECTOR, PROGRAME MANAGER",SATYASAMPARNA ROUT,30-Sep-2023 07:31 AM,techsummary_442746.pdf (258.84 KB),AOC
,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"LICENSE, PAN, GSTIN, AFFIDEVIT AND NO RALATION CERTIFICATE AND AS PER DTCN",AOC,,,,,,,,,,,,,,,,,,,,,,2,2178692,BHARATI PADHY,19-Jul-2023 05:23 AM,Rejected-Finance,LOST IN LOTTERY SYSTEM,30-Sep-2023 07:36 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,2178579,CHINNARI VENKATA KRISHNA RAO,16-Jul-2023 01:41 PM,Not Admitted-Fee/PreQual/Technical/Finance,Others-INVALID GST,26-Jul-2023 06:02 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,2179481,CH. NANDIKESWAR RAO,17-Jul-2023 09:12 PM,Not Admitted-Fee/PreQual/Technical/Finance,Others-INVALID GST,26-Jul-2023 06:02 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,2180129,GHANASYAM CHOUDHURY,18-Jul-2023 05:42 PM,Rejected-Finance,LOST IN LOTTERY SYSTEM,30-Sep-2023 07:36 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,2178084,JYOTIRMAYA MOHANKUDO,15-Jul-2023 11:46 AM,Rejected-Finance,LOST IN LOTTERY SYSTEM,30-Sep-2023 07:36 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,2178875,LAKSHMI ANDURU,17-Jul-2023 11:58 AM,Rejected-Finance,LOST IN LOTTERY SYSTEM,30-Sep-2023 07:36 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,2178634,PASPUREDDY SUGRI (SC),17-Jul-2023 06:01 PM,Rejected-Finance,LOST IN LOTTERY SYSTEM,30-Sep-2023 07:36 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,2180073,PRIYANKA PANDA,18-Jul-2023 07:32 PM,Rejected-Finance,LOST IN LOTTERY SYSTEM,30-Sep-2023 07:36 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,2178427,Rajendra Prasad Sahu,16-Jul-2023 10:18 AM,Rejected-Finance,LOST IN LOTTERY SYSTEM,30-Sep-2023 07:36 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,11,2177419,RAKESH KUMAR PATRO,16-Jul-2023 07:00 PM,Rejected-Finance,LOST IN LOTTERY SYSTEM,30-Sep-2023 07:36 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,12,2178911,RAMA CHANDRA PANDA,18-Jul-2023 01:17 PM,Accepted-AOC,L1 IN LOTTERY PROCESS,14-Nov-2023 04:36 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,13,2179529,RASMITA SAHUKAR,17-Jul-2023 09:27 PM,Rejected-Finance,LOST IN LOTTERY SYSTEM,30-Sep-2023 07:36 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,14,2175812,SANGRAM KESHARI SAHU,14-Jul-2023 05:38 PM,Rejected-Finance,LOST IN LOTTERY SYSTEM,30-Sep-2023 07:36 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,15,2180408,SANTOSH KUMAR RATH,18-Jul-2023 09:25 PM,Rejected-Finance,LOST IN LOTTERY SYSTEM,30-Sep-2023 07:36 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,16,2178410,SASMITA PANDA,18-Jul-2023 11:12 PM,Rejected-Finance,LOST IN LOTTERY SYSTEM,30-Sep-2023 07:36 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,17,2178183,SONU PATRO,15-Jul-2023 01:19 PM,Rejected-Finance,LOST IN LOTTERY SYSTEM,30-Sep-2023 07:36 AM,,,,,,,,,,,,,,AOC
