Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"Construction of paver road from Laba sahu house to akshay sahu at brahmani sahi, Ward No.12","Construction of paver road from Laba sahu house to akshay sahu at brahmani sahi, Ward No.12",Please refer Tender documents. ,NA ,"6,56,200",Civil Works - Roads,NA ,Tender,90.0,30.0,PHULBANI MUNICIPALITY,762001.0,NA ,NA ,NA ,PHULBANI MUNICIPALITY,No ,No,"6,500",Yes,fixed,,Nil,Nil,1,ICICI BANK,Municipal Bodies||Phulbani Municipality,EO_PLB.M_01_2023-24,2023_ORULB_92919_38,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"EO, PHULBANI MUNICIPALITY",PHULBANI MUNICIPALITY,1.0,Fee/PreQual/Technical/Finance,.pdf,Fee/PreQual/Technical,22-Aug-2023 06:00 PM,02-Sep-2023 10:00 AM,22-Aug-2023 06:00 PM,01-Sep-2023 05:00 PM,NA ,NA ,22-Aug-2023 06:00 PM,01-Sep-2023 05:00 PM,"4,000",0.0,Nil,Nil,No,AOC,1,2229447,SMITARANI MISHRA,01-Sep-2023 03:32 PM,Rejected-AOC,L2,23-Nov-2023 01:37 PM,23-Nov-2023,"INR 654,926.62",30.0,Ajit Kumar pattnaik,23-Nov-2023 01:36 PM,38wo.pdf (448.00 KB),"EXECUTIVE OFFICER, PHULBANI MUNICIPALITY",Internal,,Ajit Kumar pattnaik,23-Nov-2023 01:29 PM,techsummary_452263.pdf (308.07 KB),Municipal Bodies||Phulbani Municipality,2023_ORULB_92919_38,EO_PLB.M_01_2023-24,"Construction of paver road from Laba sahu house to akshay sahu at brahmani sahi, Ward No.12","EXECUTIVE OFFICER, PHULBANI MUNICIPALITY",Internal,,Ajit Kumar pattnaik,23-Nov-2023 01:34 PM,finsummary_452263.pdf (189.10 KB),Finance,Payment for tender paper and EMD is successful so primarily admitted.,Ajit Kumar pattnaik,04-Sep-2023 06:02 PM,finance_452263.pdf,BOQ Comparative Chart,1.0,2229515.0,SURENDRA KUMAR BEHERA,INR,"654,926.62",AOC
,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,.xls,Finance,,,,,,,,,,,,,,AOC,2,2229515,SURENDRA KUMAR BEHERA,01-Sep-2023 03:52 PM,Accepted-AOC,L1,23-Nov-2023 01:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
