Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
SE RWSS Division Nuapada,Internal,"SE RWSS Nuapada, AEE Estimater Nuapada, DAO RWSS Nuapada, JE Estimater",prakash chandra dash,09-Nov-2023 05:44 PM,finsummary_456156.pdf (1890.48 KB),Rural Water Supply and Sanitation||RWSS Circle Bolangir||RWSS Division Nuapada,2023_RWSS_93493_1,RWSS/NPD/06/2023-24,External Piped Water Supply to National College and Hostel under Nuapada Block in Nuapada Dist,09-Nov-2023,"INR 3,333,295",180.0,prakash chandra dash,09-Nov-2023 05:52 PM,NationalCollegeWO.pdf (145.00 KB),Work order awarded to Sri Bibekananda Gupta,1.0,2247391.0,BIEKANANDA GUPTA,INR,"3,333,295",Finance,Accept,prakash chandra dash,09-Nov-2023 05:08 PM,finance_456156.pdf,BOQ Comparative Chart,1,2237897,AMRITA HIRWANI,06-Sep-2023 08:03 PM,Rejected-Finance,Not qualified in Lottery system,09-Nov-2023 05:44 PM,SE RWSS Division Nuapada,Internal,"SE RWSS Nuapada, AEE Estimater Nuapada, DAO RWSS Nuapada, JE Estimater",prakash chandra dash,09-Nov-2023 05:17 PM,techsummary_456156.pdf (1890.48 KB),AOC,1.0,ICICI BANK,External Piped Water Supply to National College and Hostel under Nuapada Block in Nuapada Dist,External Piped Water Supply to National College and Hostel under Nuapada Block in Nuapada Dist,Please refer Tender documents. ,NA ,"39,21,062",Civil Works - Water Works,NA ,Tender,90.0,180.0,Nuapada,766105.0,NA ,NA ,NA ,O/o the SE RWSS Nuapada,No ,No,Rural Water Supply and Sanitation||RWSS Circle Bolangir||RWSS Division Nuapada,RWSS/NPD/06/2023-24,2023_RWSS_93493_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,"39,211",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"RC,PAN,GST,AFFIDAVIT,NRC AND OTHER DOCUMENTS AS PER DTCN",SE RWSS Nuapada,O/o the SE RWSS Nuapada,31-Aug-2023 10:00 AM,15-Sep-2023 11:00 AM,31-Aug-2023 10:00 AM,14-Sep-2023 05:00 PM,31-Aug-2023 10:00 AM ,12-Sep-2023 05:00 PM ,31-Aug-2023 10:00 AM,14-Sep-2023 05:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2255175,ANJU GUPTA,14-Sep-2023 04:08 PM,Rejected-Finance,Not qualified in Lottery system,09-Nov-2023 05:44 PM,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2247391,BIEKANANDA GUPTA,12-Sep-2023 11:35 PM,Accepted-AOC,Accepted,09-Nov-2023 05:52 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2255412,BISWAJEET BHUYAN,14-Sep-2023 04:39 PM,Rejected-Finance,Not qualified in Lottery system,09-Nov-2023 05:44 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2237994,MEENAKSHE NIGAM,12-Sep-2023 10:13 PM,Rejected-Finance,Not qualified in Lottery system,09-Nov-2023 05:44 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2254727,M/s.PRASHANT CHANDRAKAR,14-Sep-2023 12:33 PM,Rejected-Finance,Not qualified in Lottery system,09-Nov-2023 05:44 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2255209,MUKESH JHANKAR,14-Sep-2023 03:52 PM,Rejected-Finance,Rejected due to excess amount,09-Nov-2023 05:44 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2238293,PUHAN SUBHALAXMI,06-Sep-2023 05:34 PM,Rejected-Finance,Not qualified in Lottery system,09-Nov-2023 05:44 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2254984,ROHIT KUMAR TRIVEDI,14-Sep-2023 03:05 PM,Rejected-Finance,Not qualified in Lottery system,09-Nov-2023 05:44 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2254481,SRINIBASH MALLICK,14-Sep-2023 10:12 AM,Rejected-Finance,Not qualified in Lottery system,09-Nov-2023 05:44 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
