Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Ground Water Survey and Investigation,2023_GWSI_94583_1,05/GWDHPD/ARUA/2023-24,Installation of 16 nos recharge shafts cum monitoring station at different locations in Balipatna Block area of Khurdha District,Executive Engineer GWD Division I,Internal,,Sudhiranjan Behera,04-Oct-2023 10:46 PM,finsummary_462799.pdf,13-Oct-2023,"INR 2,463,449",60.0,Sudhiranjan Behera,17-Nov-2023 12:51 PM,05HPDARUALOA.pdf,Executive Engineer GWD Division I,Internal,,Sudhiranjan Behera,04-Oct-2023 10:40 PM,techsummary_462799.pdf,Finance,BOS,Sudhiranjan Behera,03-Oct-2023 01:21 PM,finance_462799.pdf,AOC,"6,000",0.0,Nil,Nil,No,Ground Water Survey and Investigation,05/GWDHPD/ARUA/2023-24,2023_GWSI_94583_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,TENDERDOCUMENTS,22-Sep-2023 11:00 AM,03-Oct-2023 12:00 PM,22-Sep-2023 11:00 AM,03-Oct-2023 11:00 AM,NA ,NA ,22-Sep-2023 11:00 AM,03-Oct-2023 11:00 AM,"Executive Engineer, GWD Division-I","Executive Engineer, GWD Division-I, Unit-VIII, Delta Square, Bhubaneswar",Installation of 16 nos recharge shafts cum monitoring station at different locations in Balipatna Block area of Khurdha District,Installation of 16 nos recharge shafts cum monitoring station at different locations in Balipatna Block area of Khurdha District,Please refer Tender documents. ,NA ,"28,97,834",Civil Works - Others,NA ,Tender,90.0,60.0,"GWD Division-I, Unit-VIII, Delta Square, Bbsr",751012.0,NA ,NA ,NA ,BHUBANESWAR,No ,No,1,ICICI BANK,"29,000",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,AOC
