Cover No,Cover,Document Type,Description,Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1.0,Fee/PreQual/Technical/Finance,.xls,BILL OF QUANTITY,EXECUTIVE OFFICER GUNUPUR MUNICIPALITY,EXECUTIVE OFFICER GUNUPUR MUNICIPALITY,1.0,ICICI BANK,"8,503",Yes,percentage,1.0%,Nil,Nil,"4,000",0.0,Nil,Nil,No,06-Jul-2023 10:00 AM,20-Jul-2023 11:00 AM,06-Jul-2023 10:00 AM,19-Jul-2023 05:00 PM,06-Jul-2023 10:00 AM ,19-Jul-2023 05:00 PM ,06-Jul-2023 10:00 AM,19-Jul-2023 05:00 PM,Municipal Bodies||Gunupur Municipal Council,GUN-MUN-58/2023-24,2023_ORULB_90286_44,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,IMPROVEMENT OF ROAD AT KONDA BAURI SAHI IN WARD NO 14,ROAD,Please refer Tender documents. ,NA ,"8,50,321",Civil Works - Others,NA ,Tender,90.0,120.0,GUNUPUR,765022.0,NA ,NA ,NA ,GUNUPUR,No ,No,AOC,Chairpeson,Internal,"CHAIRPERSON, EXECUTIVE OFFICER, ASST. ENGINEER , ASST. COLLECTOR, PROGRAME MANAGER",SATYASAMPARNA ROUT,28-Sep-2023 01:27 PM,finsummary_442733.pdf (258.84 KB),Municipal Bodies||Gunupur Municipal Council,2023_ORULB_90286_44,GUN-MUN-58/2023-24,IMPROVEMENT OF ROAD AT KONDA BAURI SAHI IN WARD NO 14,1.0,2179013.0,BALAJI BAURI (SC),INR,"720,612",Finance,OPENED,SATYASAMPARNA ROUT,26-Jul-2023 05:51 PM,finance_442733.pdf,BOQ Comparative Chart,14-Nov-2023,"INR 720,611.997",120.0,SATYASAMPARNA ROUT,14-Nov-2023 01:20 PM,44a.pdf (1979.00 KB),IMPROVEMENT OF ROAD AT KONDA BAURI SAHI IN WARD NO 14,1,2179013,BALAJI BAURI (SC),17-Jul-2023 01:16 PM,Accepted-AOC,L1 IN LOTTERYPROCESS,14-Nov-2023 01:20 PM,Chariperson,Internal,"CHAIRPERSON, EXECUTIVE OFFICER, ASST. ENGINEER , ASST. COLLECTOR, PROGRAME MANAGER",SATYASAMPARNA ROUT,28-Sep-2023 01:23 PM,techsummary_442733.pdf (258.83 KB),AOC
,,.pdf,"LICENSE, PAN, GSTIN, AFFIDEVIT AND NO RALATION CERTIFICATE AND AS PER DTCN",,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2179671,GANESH BAURI,18-Jul-2023 11:23 AM,Rejected-Finance,LOST IN LOTTERY SYSTEM,28-Sep-2023 01:27 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2179448,JANI VENKATA RAO BAURI,17-Jul-2023 08:24 PM,Rejected-Finance,LOST IN LOTTERY SYSTEM,28-Sep-2023 01:27 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2180627,K RAMA KRISHNA,19-Jul-2023 10:21 AM,Rejected-Finance,LOST IN LOTTERY SYSTEM,28-Sep-2023 01:27 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2180225,PRASANT KUMAR MISHRA,18-Jul-2023 08:21 PM,Rejected-Finance,LOST IN LOTTERY SYSTEM,28-Sep-2023 01:27 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2180383,SANTOSH KUMAR RATH,18-Jul-2023 09:03 PM,Rejected-Finance,LOST IN LOTTERY SYSTEM,28-Sep-2023 01:27 PM,,,,,,,AOC
