S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,2272935.0,KISHORE KUMAR RAJAK,INR,"13,519,388.41",ST and SC Development Deptt||ITDA Rairangpur,2023_STSCD_93857_5,BidIdentification3of2023-24,Approach Road to EMRS at Tikarpada under Bijatala Block.,ParikshitaDash,Internal,GulsandevMarkamAEEITDARRPAmarNathSubudhiRepresentativeSEPWDRBRRPApurbaKumarPatraAERameswarSethyAEJnanendraKuSamalADWORRPManojKumarHotaICSectionOfficerSureshKumarMajhiSRA,PARIKSHITA DASH,09-Nov-2023 05:22 PM,techsummary_458778.pdf (228.33 KB),09-Nov-2023,"INR 13,519,388.41",180.0,PARIKSHITA DASH,09-Nov-2023 07:08 PM,AOCDetails03.pdf (536.00 KB),"Sri Kishore Ku Rajak B Class SC Contractor selected as valid and L1 in transparent lottery system and he has been deposited EMD, ISD and APSD as per OPWD Code and work order has been issued.",Finance,All the bidders of the Work SI.No. 05 of Bid Identification No. 03/2023-24 are allowed for evaluation process.,PARIKSHITA DASH,08-Nov-2023 08:13 PM,finance_458778.pdf,BOQ Comparative Chart,ParikshitaDash,Internal,GulsandevMarkamAEEITDARRPAmarNathSubudhiRepresentativeSEPWDRBRRPApurbaKumarPatraAERameswarSethyAEJnanendraKuSamalADWORRPManojKumarHotaICSectionOfficerSureshKumarMajhiSRA,PARIKSHITA DASH,09-Nov-2023 06:11 PM,finsummary_458778.pdf (228.33 KB),1,2273285,AMARENDRA MOHANTA,27-Sep-2023 02:21 PM,Rejected-AOC,L1,09-Nov-2023 07:10 PM,AOC,"10,000",0.0,Nil,Nil,No,ST and SC Development Deptt||ITDA Rairangpur,BidIdentification3of2023-24,2023_STSCD_93857_5,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,06-Sep-2023 10:00 AM,28-Sep-2023 11:00 AM,06-Sep-2023 10:00 AM,27-Sep-2023 05:30 PM,NA ,NA ,06-Sep-2023 10:00 AM,27-Sep-2023 05:30 PM,"Project Administrator, ITDA, Rairangpur","At-Ward No-03, Mandir Sahi, PO/PS-Rairangpur, Dist-Mayurbhanj",Approach Road to EMRS at Tikarpada under Bijatala Block.,Approach Road to EMRS at Tikarpada under Bijatala Block.,As per tender documents. ,NA ,"1,59,03,292",Civil Works - Roads,NA ,Tender,90.0,180.0,EMRS Tikarpada,757048.0,NA ,NA ,NA ,"ITDA, Rairangpur",No ,No,1.0,ICICI BANK,"1,59,033",Yes,percentage,1.0%,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2273507,ANAND SHANKAR BEHERA,27-Sep-2023 03:57 PM,Rejected-AOC,L1,09-Nov-2023 07:10 PM,AOC,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2270898,ANKIT BARIK,25-Sep-2023 08:36 PM,Rejected-AOC,L1,09-Nov-2023 07:10 PM,AOC,,,,,,,,,,,,,,,,,,,,,,.pdf,Notice Inviting Tender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2268527,Ashok Kumar Agarwalla,26-Sep-2023 09:17 PM,Rejected-AOC,L1,09-Nov-2023 07:10 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2272504,Atul Kumar Behera,26-Sep-2023 09:48 PM,Rejected-AOC,L1,09-Nov-2023 07:10 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2273139,BARENDRA KRISHNA MATAGAJSINGH,27-Sep-2023 12:58 PM,Rejected-AOC,L1,09-Nov-2023 07:10 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2264529,BIPLAB KUMAR GIRI,21-Sep-2023 01:20 PM,Rejected-AOC,L1,09-Nov-2023 07:10 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2271426,CHINMAYANANDA GIRI,26-Sep-2023 11:58 AM,Rejected-AOC,L1,09-Nov-2023 07:10 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2272828,DEBASHISH NAYAK,27-Sep-2023 10:57 AM,Rejected-AOC,L1,09-Nov-2023 07:10 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2268805,DILLIP KUMAR BARIK,25-Sep-2023 08:12 PM,Rejected-AOC,L1,09-Nov-2023 07:10 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
