Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage
NIBEDITA BEHERA,Internal,"EO,ME,JE,ACCT",Samir Ranjan Dash,22-Nov-2023 01:29 PM,techsummary_453652.pdf (10278.84 KB),22-Nov-2023,"INR 1,127,137",30.0,Samir Ranjan Dash,22-Nov-2023 04:44 PM,93.pdf (258.00 KB),ok,1,2225211,MD AMINUDDIN KHAN,31-Aug-2023 08:46 AM,Accepted-AOC,ok,22-Nov-2023 04:45 PM,1,2225161,SK SAFI,INR,"1,127,137",Finance,ok,Manas Kumar Dandapat,04-Sep-2023 11:54 AM,finance_453652.pdf,BOQ Comparative Chart,NIBEDITA BEHERA,Internal,"EO,ME,JE",Samir Ranjan Dash,22-Nov-2023 03:40 PM,finsummary_453652.pdf (10278.84 KB),Municipal Bodies||Basudevpur Municipality,2023_ORULB_93068_93,BSPM-01-2023-24,Construction of paver road from Canal road to Tajuuddin house ward 16,AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,Construction of paver road from Canal road to Tajuuddin house ward 16,Construction of paver road from Canal road to Tajuuddin house ward 16,Please refer Tender documents. ,NA ,"9,45,744",Civil Works - Roads,NA ,Tender,90.0,30.0,Basudevpur Municipality,756125.0,NA ,NA ,NA ,Basudevpur Municipality,No ,No,25-Aug-2023 04:30 PM,01-Sep-2023 11:00 AM,25-Aug-2023 04:30 PM,31-Aug-2023 05:00 PM,NA ,NA ,25-Aug-2023 04:30 PM,31-Aug-2023 05:00 PM,1,ICICI BANK,"4,000",0.0,Nil,Nil,No,"9,457",Yes,fixed,,Nil,Nil,Municipal Bodies||Basudevpur Municipality,BSPM-01-2023-24,2023_ORULB_93068_93,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,EO,Basudevpur Municipality,AOC
,,,,,,,,,,,,,2,2225161,SK SAFI,30-Aug-2023 04:23 PM,Accepted-AOC,ok,22-Nov-2023 04:45 PM,2,2225211,MD AMINUDDIN KHAN,INR,"1,239,851",,,,,,,,,,,,,,,,,AOC,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
