Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
NIBEDITA BEHERA,Internal,"EO,ME,JE",Manas Kumar Dandapat,06-Nov-2023 11:44 AM,techsummary_452894.pdf (10275.71 KB),Municipal Bodies||Basudevpur Municipality,2023_ORULB_93068_2,BSPM-01-2023-24,Construction of paver road from laxmikanta house towards luna bandha ward 1,1,2225149,KAUSHALYA SAMAL(S.C),INR,"2,057,640",1,2225149,KAUSHALYA SAMAL(S.C),30-Aug-2023 06:31 PM,Accepted-AOC,OK,06-Nov-2023 01:14 PM,Finance,OK,Manas Kumar Dandapat,01-Sep-2023 01:05 PM,finance_452894.pdf,BOQ Comparative Chart,NIBEDITA BEHERA,Internal,"EO,ME,JE",Manas Kumar Dandapat,06-Nov-2023 12:44 PM,finsummary_452894.pdf (10275.71 KB),06-Nov-2023,"INR 1,997,709",30.0,Manas Kumar Dandapat,06-Nov-2023 01:13 PM,2.pdf (443.00 KB),OK,AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,Municipal Bodies||Basudevpur Municipality,BSPM-01-2023-24,2023_ORULB_93068_2,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1,ICICI BANK,Construction of paver road from laxmikanta house towards luna bandha ward 1,Construction of paver road from laxmikanta house towards luna bandha ward 1,Please refer Tender documents. ,NA ,"16,76,212",Civil Works - Roads,NA ,Tender,90.0,30.0,Basudevpur Municipality,756125.0,NA ,NA ,NA ,Basudevpur Municipality,No ,No,25-Aug-2023 04:30 PM,01-Sep-2023 11:00 AM,25-Aug-2023 04:30 PM,31-Aug-2023 05:00 PM,NA ,NA ,25-Aug-2023 04:30 PM,31-Aug-2023 05:00 PM,EO,Basudevpur Municipality,"16,762",Yes,fixed,,Nil,Nil,"6,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,2,2225351,SASHIKANTA SETHI(S.C),INR,"1,997,709",2,2225351,SASHIKANTA SETHI(S.C),30-Aug-2023 06:45 PM,Accepted-AOC,OK,06-Nov-2023 01:14 PM,,,,,,,,,,,,,,,,,,,,AOC,,,.xls,BOQ,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
