Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
29-Jul-2023 05:00 PM,16-Aug-2023 11:30 AM,29-Jul-2023 05:00 PM,14-Aug-2023 05:00 PM,29-Jul-2023 05:00 PM ,10-Aug-2023 05:00 PM ,29-Jul-2023 05:00 PM,14-Aug-2023 05:00 PM,02-Sep-2023 11:00 AM,1.0,ICICI BANK,1.0,3RD CORRIGENDUM,Technical Bid,,"3,54,100",Yes,fixed,,Nil,Nil,IDCO||IDCO||IDCO,PC/EST/E-78/2023-24,2023_IDCO_91393_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,Chief General Manager (Planning and Coordination),"Chief General Manager (Planning and Coordination), IDCO Towers, Janpath, Bhubaneswar-751022","Construction of CC Roads at Bhagipur IE, Dampada.","Construction of CC Roads at Bhagipur IE, Dampada.",Please refer Tender documents. ,NA ,"3,54,10,151",Civil Works - Roads,Cement Concrete Road  ,Tender,90.0,120.0,"Bhagipur IE, Dampada, Cuttack, Odisha.",754006.0,NA ,NA ,NA ,"IDCO Towers, Janpath, Bhubaneswar-751022",No ,No,"11,800",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,"RC,PAN,GST,EPF,Experience, Affidavits,Turnover,Machineries and all Other documents as per DTCN.",AOC,1,2196427,AMRIT BARAL,07-Aug-2023 04:57 PM,Rejected-AOC,Not Awarded,13-Nov-2023 04:57 PM,CGM,Internal,OSD TECH PC EE CIVIL,Debapriya Tripathy,01-Sep-2023 12:55 PM,02-Sep-2023 11:00 AM,techsummary_445775.pdf (174.84 KB),1.0,2201877.0,PRIYABRATA MOHAPATRA,INR,"30,102,169",Finance,The financial bids of 9 nos. bidder have been opened and Comparative Statement have been generated.,Debapriya Tripathy,02-Sep-2023 11:44 AM,finance_445775.pdf,BOQ Comparative Chart,13-Nov-2023,"INR 30,102,169",120.0,Debapriya Tripathy,13-Nov-2023 04:53 PM,Agreement.pdf (512.00 KB),"The Agreement made by D.H. Cuttack, vide Agreement No.81/P-1/2023-24, dt.02.11.2023.",CGM PC,Internal,CGM CIVIL CGM FINANCE,Debapriya Tripathy,27-Sep-2023 05:09 PM,finsummary_445775.pdf (98.29 KB),Technical,The technical bids of 3 nos. bidder have been opened and documents downloaded successfully.,Debapriya Tripathy,16-Aug-2023 12:07 PM,technical_445775.pdf,IDCO||IDCO||IDCO,2023_IDCO_91393_1,PC/EST/E-78/2023-24,"Construction of CC Roads at Bhagipur IE, Dampada.",AOC
,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,2,2196649,ANANDA CHANDRA RAUL,14-Aug-2023 04:20 PM,Rejected-Technical,Disqualified,01-Sep-2023 12:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,2201868,BICHITRANANDA SAMANTARAY,14-Aug-2023 04:03 PM,Rejected-AOC,Not Awarded,13-Nov-2023 04:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,2199672,CHAKRADHAR PARIDA,11-Aug-2023 12:26 PM,Rejected-AOC,Not Awarded,13-Nov-2023 04:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,2201420,DILLIP KUMAR SWAIN,14-Aug-2023 01:09 PM,Rejected-AOC,Not Awarded,13-Nov-2023 04:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,2198760,KRISHIK INFRASTRUCTURE DEVELOPERS PVT. LTD,10-Aug-2023 02:34 PM,Rejected-AOC,Not Awarded,13-Nov-2023 04:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,2196392,M/s BIGYAN PARIDA,14-Aug-2023 04:59 PM,Rejected-AOC,Not Awarded,13-Nov-2023 04:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,2201877,PRIYABRATA MOHAPATRA,14-Aug-2023 04:43 PM,Accepted-AOC,Awarded,13-Nov-2023 04:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,2194735,SRI BANSHIDHAR PANDA,12-Aug-2023 06:21 PM,Rejected-AOC,Not Awarded,13-Nov-2023 04:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,2201388,SURESH KUMAR PANDA,14-Aug-2023 03:44 PM,Rejected-AOC,Not Awarded,13-Nov-2023 04:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
