Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
ST and SC Development Deptt||ITDA Rairangpur,BidIdentification3of2023-24,2023_STSCD_93857_4,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,06-Sep-2023 10:00 AM,28-Sep-2023 11:00 AM,06-Sep-2023 10:00 AM,27-Sep-2023 05:30 PM,NA ,NA ,06-Sep-2023 10:00 AM,27-Sep-2023 05:30 PM,"10,000",0.0,Nil,Nil,No,1.0,ICICI BANK,Approach Road to EMRS at Jamda under Jamda Block.,Approach Road to EMRS at Jamda under Jamda Block.,As per tender documents. ,NA ,"1,59,03,292",Civil Works - Roads,NA ,Tender,90.0,180.0,EMRS Jamda,757045.0,NA ,NA ,NA ,"ITDA, Rairangpur",No ,No,"1,59,033",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,"Project Administrator, ITDA, Rairangpur","At-Ward No-03, Mandir Sahi, PO/PS-Rairangpur, Dist-Mayurbhanj",AOC,ST and SC Development Deptt||ITDA Rairangpur,2023_STSCD_93857_4,BidIdentification3of2023-24,Approach Road to EMRS at Jamda under Jamda Block.,1.0,2271608.0,SUJIT KUMAR BISOI,INR,"13,519,388.84",ParikshitaDash,Internal,GulsandevMarkamAEEITDARRPAmarNathSubudhiRepresentativeSEPWDRBRRPApurbaKumarPatraAERameswarSethyAEJnanendraKuSamalADWORRPManojKumarHotaICSectionOfficerSureshKumarMajhiSRA,PARIKSHITA DASH,09-Nov-2023 05:11 PM,techsummary_458764.pdf (228.33 KB),09-Nov-2023,"INR 13,519,388.84",180.0,PARIKSHITA DASH,09-Nov-2023 06:57 PM,AOCDetails03.pdf (536.00 KB),"Sri Sujit Kumar Bisoi A Class Contractor selected as valid and L1 in transparent lottery system and he has been deposited EMD, ISD and APSD as per OPWD Code and work order has been issued accordingly",ParikshitaDash,Internal,GulsandevMarkamAEEITDARRPAmarNathSubudhiRepresentativeSEPWDRBRRPApurbaKumarPatraAERameswarSethyAEJnanendraKuSamalADWORRPManojKumarHotaICSectionOfficerSureshKumarMajhiSRA,PARIKSHITA DASH,09-Nov-2023 05:18 PM,finsummary_458764.pdf (228.33 KB),Finance,All the bidders of the Work SI.No. 04 of Bid Identification No. 03/2023-24 are allowed for evaluation process.,PARIKSHITA DASH,08-Nov-2023 08:12 PM,finance_458764.pdf,BOQ Comparative Chart,1,2272778,ALOK KUMAR PRADHAN,27-Sep-2023 11:08 AM,Rejected-AOC,L1,09-Nov-2023 07:01 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2273299,AMARENDRA MOHANTA,27-Sep-2023 02:16 PM,Rejected-AOC,L1,09-Nov-2023 07:01 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Notice Inviting Tender,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2273574,AMRUTANGSHU NANDA,27-Sep-2023 04:45 PM,Rejected-AOC,L1,09-Nov-2023 07:01 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2270912,ANKIT BARIK,25-Sep-2023 08:42 PM,Rejected-AOC,L1,09-Nov-2023 07:01 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2268530,Ashok Kumar Agarwalla,26-Sep-2023 09:15 PM,Rejected-AOC,L1,09-Nov-2023 07:01 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2273118,BARENDRA KRISHNA MATAGAJSINGH,27-Sep-2023 12:53 PM,Rejected-AOC,L1,09-Nov-2023 07:01 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2272483,BIJAYA NANDA MANDAL,26-Sep-2023 09:27 PM,Rejected-AOC,L1,09-Nov-2023 07:01 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2264513,BIPLAB KUMAR GIRI,21-Sep-2023 01:19 PM,Rejected-AOC,L1,09-Nov-2023 07:01 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2271469,CHINMAYANANDA GIRI,26-Sep-2023 12:16 PM,Rejected-AOC,L1,09-Nov-2023 07:01 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2272822,DAMAN MAJHI,27-Sep-2023 12:41 PM,Rejected-AOC,L1,09-Nov-2023 07:01 PM,AOC
