S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,2178633.0,PASPUREDDY SUGRI (SC),INR,"811,648.77",Finance,OPENED,SATYASAMPARNA ROUT,26-Jul-2023 05:42 PM,finance_442711.pdf,BOQ Comparative Chart,Chairperson,Internal,"CHAIRPERSON, EXECUTIVE OFFICER, ASST. ENGINEER AND ASST. COLLECTOR, PROGRAME MANAGER",SATYASAMPARNA ROUT,24-Sep-2023 06:29 PM,finsummary_442711.pdf (258.84 KB),Municipal Bodies||Gunupur Municipal Council,2023_ORULB_90286_31,GUN-MUN-58/2023-24,IMPROVEMENT OF ROAD IN GOVT GIRLS HIGH SCHOOL WARD NO 09,Chairperson,Internal,"CHAIRPERSON, EXECUTIVE OFFICER, ASST. ENGINEER AND ASST. COLLECTOR, PROGRAME MANAGER",SATYASAMPARNA ROUT,24-Sep-2023 06:25 PM,techsummary_442711.pdf (258.83 KB),1,2180362,BALAJI PANIGRAHI,18-Jul-2023 09:10 PM,Not Admitted-Fee/PreQual/Technical/Finance,Others-EMD NOT DEPOSITED,26-Jul-2023 05:42 PM,14-Nov-2023,"INR 811,648.767",120.0,SATYASAMPARNA ROUT,14-Nov-2023 09:33 AM,31a.pdf (2092.00 KB),IMPROVEMENT OF ROAD IN GOVT GIRLS HIGH SCHOOL WARD NO 09,AOC,EXECUTIVE OFFICER GUNUPUR MUNICIPALITY,EXECUTIVE OFFICER GUNUPUR MUNICIPALITY,06-Jul-2023 10:00 AM,20-Jul-2023 11:00 AM,06-Jul-2023 10:00 AM,19-Jul-2023 05:00 PM,06-Jul-2023 10:00 AM ,19-Jul-2023 05:00 PM ,06-Jul-2023 10:00 AM,19-Jul-2023 05:00 PM,Municipal Bodies||Gunupur Municipal Council,GUN-MUN-58/2023-24,2023_ORULB_90286_31,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.xls,BILL OF QUANTITY,"9,577",Yes,percentage,1.0%,Nil,Nil,IMPROVEMENT OF ROAD IN GOVT GIRLS HIGH SCHOOL WARD NO 09,ROAD,Please refer Tender documents. ,NA ,"9,57,743",Civil Works - Others,NA ,Tender,90.0,120.0,GUNUPUR,765022.0,NA ,NA ,NA ,GUNUPUR,No ,No,1.0,ICICI BANK,"4,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2179684,Bighnaraj Barik,18-Jul-2023 12:15 PM,Rejected-Finance,LOST IN LOTTERY PROCESS,24-Sep-2023 06:29 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"LICENSE, PAN, GSTIN, AFFIDEVIT AND NO RALATION CERTIFICATE AND AS PER DTCN",,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2178571,CHINNARI VENKATA KRISHNA RAO,16-Jul-2023 01:18 PM,Not Admitted-Fee/PreQual/Technical/Finance,Others-INVALID GST,26-Jul-2023 05:42 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2179266,CH. NANDIKESWAR RAO,17-Jul-2023 05:40 PM,Not Admitted-Fee/PreQual/Technical/Finance,Others-INVALID GST,26-Jul-2023 05:42 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2179613,GANESH BAURI,18-Jul-2023 08:56 AM,Rejected-Finance,LOST IN LOTTERY PROCESS,24-Sep-2023 06:29 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2177897,Goura Chandra Panigrahi,16-Jul-2023 04:22 PM,Rejected-Finance,LOST IN LOTTERY PROCESS,24-Sep-2023 06:29 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2179333,JANI VENKATA RAO BAURI,17-Jul-2023 05:39 PM,Rejected-Finance,LOST IN LOTTERY PROCESS,24-Sep-2023 06:29 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2180603,K RAMA KRISHNA,19-Jul-2023 09:07 AM,Rejected-Finance,LOST IN LOTTERY PROCESS,24-Sep-2023 06:29 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2178633,PASPUREDDY SUGRI (SC),17-Jul-2023 05:59 PM,Accepted-AOC,L1 IN LOTTERY PROCESS,14-Nov-2023 09:34 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2181006,PRIYANKA PANDA,19-Jul-2023 01:39 PM,Rejected-Finance,LOST IN LOTTERY PROCESS,24-Sep-2023 06:29 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
