Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
BASANT BISWAL,Internal,"Chairperson, Executive Officer, Municipal Engineer, JE, Head Asst. and Accountant",Lalitendu Nayak,20-Nov-2023 12:46 PM,techsummary_451528.pdf (733.87 KB),20-Nov-2023,"INR 1,182,000",60.0,Lalitendu Nayak,20-Nov-2023 12:53 PM,16.pdf (734.00 KB),Contract value includes GST.,1,2224474,BABU MALIK,30-Aug-2023 10:51 AM,Accepted-AOC,Awarded value includes GST.,20-Nov-2023 12:54 PM,1.0,2224474.0,BABU MALIK,INR,"1,182,000",Finance,The bids of BABU MALIK and SANJIB KUMAR SAHOO have been admitted.,Lagnajit Rout,02-Sep-2023 05:02 PM,,BOQ Comparative Chart,BASANT BISWAL,Internal,"Chairperson, Executive Officer, Municipal Engineer, JE, Head Asst. and Accountant",Lalitendu Nayak,20-Nov-2023 12:52 PM,finsummary_451528.pdf (733.87 KB),Municipal Bodies||Paradeep Municipality,2023_ORULB_92846_16,EO/PDPM/W_02/2023-24,"Construction of Paver block road inside Lokanath Colony, Mundapada in ward no 08",AOC,"EO, Paradeep Municipality","EO, Paradeep Municipality",1.0,Fee/PreQual/Technical/Finance,.pdf,Bid Documents,22-Aug-2023 05:00 PM,02-Sep-2023 11:00 AM,22-Aug-2023 05:00 PM,31-Aug-2023 05:00 PM,22-Aug-2023 05:00 PM ,31-Aug-2023 05:00 PM ,22-Aug-2023 05:00 PM,31-Aug-2023 05:00 PM,"Construction of Paver block road inside Lokanath Colony, Mundapada in ward no 08","Construction of Paver block road inside Lokanath Colony, Mundapada in ward no 08",Please refer Tender documents. ,NA ,"9,96,686",Civil Works - Others,NA ,Tender,90.0,60.0,Paradeep Municipality,754142.0,NA ,NA ,NA ,Paradeep Municipality,No ,No,Municipal Bodies||Paradeep Municipality,EO/PDPM/W_02/2023-24,2023_ORULB_92846_16,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1,ICICI BANK,"4,000",0.0,Nil,Nil,No,"9,967",Yes,percentage,1.0%,Nil,Nil,AOC
,,,,,,,,,,,,,2,2227073,SANJIB KUMAR SAHOO,31-Aug-2023 03:26 PM,Rejected-Finance,"Both the bidders quoted same rate, but Babu Malik became L1 due to Sc License.",20-Nov-2023 12:52 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,AOC
