Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage
Finance,OK,Ajit Narayanprasad Giri,07-Sep-2023 01:46 PM,,BOQ Comparative Chart,01-Nov-2023,"INR 1,858,143",60.0,Ajit Narayanprasad Giri,01-Nov-2023 03:06 PM,AOC.pdf (180.00 KB),1,2232923,ABHAYA KUMAR DAS,03-Sep-2023 04:22 PM,Rejected-AOC,L2,01-Nov-2023 03:08 PM,1.0,2232782.0,SURATH KUMAR SWAIN,INR,"1,574,697.54",Municipal Bodies||Pattamundai Municipality,2023_ORULB_92942_112,PM_03/2023-24,Construction of Paver Block Road from Chinna Garda Culver to Bandhapada Danda In Ward No - 20. (Part - 2),HEMANT KUMAR SAHOO CP,Internal,,Ajit Narayanprasad Giri,01-Nov-2023 03:03 PM,techsummary_455115.pdf (95.54 KB),HEMANT KUMAR SAHOO CP,Internal,,Ajit Narayanprasad Giri,01-Nov-2023 03:06 PM,finsummary_455115.pdf (83.19 KB),AOC,Municipal Bodies||Pattamundai Municipality,PM_03/2023-24,2023_ORULB_92942_112,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,26-Aug-2023 03:00 PM,06-Sep-2023 12:00 PM,26-Aug-2023 03:00 PM,06-Sep-2023 11:00 AM,26-Aug-2023 03:00 PM ,02-Sep-2023 05:00 PM ,26-Aug-2023 03:00 PM,06-Sep-2023 11:00 AM,1,ICICI BANK,EXECUTIVE OFFICER PATTAMUNDAI MUNICIPALITY,PATTAMUNDAI,"6,000",0.0,Nil,Nil,No,Construction of Paver Block Road from Chinna Garda Culver to Bandhapada Danda In Ward No - 20. (Part - 2),Construction of Paver Block Road from Chinna Garda Culver to Bandhapada Danda In Ward No - 20. (Part - 2),Please refer Tender documents. ,NA ,"15,76,271",Civil Works - Others,NA ,Tender,90.0,60.0,PATTAMUNDAI,754215.0,NA ,NA ,NA ,Pattamundai Municipality,No ,No,"15,763",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,Technical Document as per DTCN,AOC
,,,,,,,,,,,,2,2232782,SURATH KUMAR SWAIN,03-Sep-2023 01:42 PM,Accepted-AOC,Quoted Lowest Rate,01-Nov-2023 03:08 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,AOC
