Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage
ST and SC Development Deptt||ITDA Panposh,2023_STSCD_92745_4,ITDAPAN-01/2023-24,Construction of 1no of living room at Bad Dalki PSH after dismantling of old PSH under Lathikata block,1.0,2219691.0,CHIDA ORAM,INR,"1,321,687",Collector-cum-Chairperson Sundargarh,Internal,PA ITDA Panposh SE Rukura Irrigation Division Rourkela AEE ITDA Panposh Jr engineer,Manoj Mahanta,13-Nov-2023 04:28 PM,techsummary_450635.pdf (903.36 KB),Finance,Proceeding,Manoj Mahanta,09-Oct-2023 12:06 PM,finance_450635.pdf,BOQ Comparative Chart,Collector-cum-Chairperson Sundargarh,Internal,"PA ITDA Panposh SE Rukura Irrigation Divn Panposh Rourkela AEE ITDA, Panposh and JE",Manoj Mahanta,14-Nov-2023 12:03 PM,finsummary_450635.pdf (634.72 KB),15-Nov-2023,"INR 1,554,742.43",180.0,Manoj Mahanta,15-Nov-2023 04:12 PM,WOrder4.pdf (124.00 KB),Construction of 1no of living room at Bad Dalki PSH after dismantling of old PSH under Lathikata block,1,2229811,BISHNU BHOI,03-Sep-2023 07:26 PM,Rejected-AOC,Unsuccessful,15-Nov-2023 04:13 PM,AOC,ST and SC Development Deptt||ITDA Panposh,ITDAPAN-01/2023-24,2023_STSCD_92745_4,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"LICENSE, VAT, PAN, GST, NO RELATION CERTIFICATE AND EXPERIENCE CERTIFICATE",1.0,ICICI BANK,"15,547",Yes,fixed,,Nil,Nil,21-Aug-2023 10:00 AM,05-Sep-2023 11:00 AM,21-Aug-2023 10:00 AM,04-Sep-2023 05:00 PM,NA ,NA ,21-Aug-2023 10:00 AM,04-Sep-2023 05:00 PM,Construction of 1no of living room at Bad Dalki PSH after dismantling of old PSH under Lathikata block,Construction of 1no of living room at Bad Dalki PSH after dismantling of old PSH under Lathikata block,Please refer Tender documents. ,NA ,,Civil Works - Buildings,NA ,Tender,90.0,180.0,ROURKELA PANPOSH,769012.0,NA ,NA ,NA ,ITDA PANPOSH,No ,No,"6,000",0.0,Nil,Nil,No,PROJECT ADMINISTRATOR ITDA PANPOSH,"ITDA, PANPOSH UDITNAGAR",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2219691,CHIDA ORAM,27-Aug-2023 04:57 PM,Accepted-AOC,Lottery winner,15-Nov-2023 04:13 PM,AOC,,,,,,,,,,,,,,,,,.xls,BOQ,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2233581,MANORANJAN JENA,03-Sep-2023 10:40 PM,Rejected-AOC,Unsuccessful,15-Nov-2023 04:13 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2233424,RANJAN TANTY,04-Sep-2023 12:11 PM,Rejected-AOC,Unsuccessful,15-Nov-2023 04:13 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2234171,SIMACHALA NAIK,04-Sep-2023 12:43 PM,Rejected-AOC,Unsuccessful,15-Nov-2023 04:13 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
