Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
BASANT BISWAL,Internal,"Chairperson, Executive Officer, Municipal Engineer, JE, Head Asst. and Accountant",Lalitendu Nayak,17-Nov-2023 05:05 PM,techsummary_451507.pdf (717.29 KB),Municipal Bodies||Paradeep Municipality,2023_ORULB_92846_8,EO/PDPM/W_02/2023-24,Construction of Paver Block Road over existing WBM road from Ajaya Mohanty house to Sankara Maity house in ward no 03.,1.0,2224817.0,PRASANT KUMAR BARIK,INR,"927,700",1,2224808,Nityananda Behera,30-Aug-2023 07:12 PM,Rejected-Finance,"Quoted rate is higher than the rate of Prasant Kumar Barik, hence L2",17-Nov-2023 05:09 PM,17-Nov-2023,"INR 927,700",60.0,Lalitendu Nayak,17-Nov-2023 05:11 PM,8.pdf (717.00 KB),Contract value includes GST.,Finance,The bids of PRASANT KUMAR BARIK and Nityananda Behera have been admitted.,Lagnajit Rout,02-Sep-2023 03:49 PM,finance_451507.pdf,BOQ Comparative Chart,BASANT BISWAL,Internal,"Chairperson, Executive Officer, Municipal Engineer, JE, Head Asst. and Accountant",Lalitendu Nayak,17-Nov-2023 05:09 PM,finsummary_451507.pdf (717.29 KB),AOC,1,ICICI BANK,Municipal Bodies||Paradeep Municipality,EO/PDPM/W_02/2023-24,2023_ORULB_92846_8,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"EO, Paradeep Municipality","EO, Paradeep Municipality",Construction of Paver Block Road over existing WBM road from Ajaya Mohanty house to Sankara Maity house in ward no 03.,Construction of Paver Block Road over existing WBM road from Ajaya Mohanty house to Sankara Maity house in ward no 03.,Please refer Tender documents. ,NA ,"7,86,226",Civil Works - Others,NA ,Tender,90.0,60.0,Paradeep Municipality,754142.0,NA ,NA ,NA ,Paradeep Municipality,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Bid Documents,22-Aug-2023 05:00 PM,02-Sep-2023 11:00 AM,22-Aug-2023 05:00 PM,31-Aug-2023 05:00 PM,22-Aug-2023 05:00 PM ,31-Aug-2023 05:00 PM ,22-Aug-2023 05:00 PM,31-Aug-2023 05:00 PM,"4,000",0.0,Nil,Nil,No,"7,862",Yes,percentage,1.0%,Nil,Nil,AOC
,,,,,,,,,,,,,,,2,2224817,PRASANT KUMAR BARIK,30-Aug-2023 07:06 PM,Accepted-AOC,Awarded value includes GST.,17-Nov-2023 05:11 PM,,,,,,,,,,,,,,,,,,,,AOC,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BoQ,,,,,,,,,,,,,,,,,,,,AOC
