Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Stage
NIBEDITA BEHERA,Internal,"EO,ME,JE",Manas Kumar Dandapat,06-Nov-2023 11:55 AM,techsummary_452917.pdf (10275.71 KB),Municipal Bodies||Basudevpur Municipality,2023_ORULB_93068_7,BSPM-01-2023-24,Construction of paver road from Pravat behera house towards Anil Pala house ward 1,1,2224859,Kamala Kanta Das,INR,"2,156,219",1,2224859,Kamala Kanta Das,30-Aug-2023 01:39 PM,Accepted-AOC,OK,06-Nov-2023 02:15 PM,06-Nov-2023,"INR 2,156,219",30.0,Manas Kumar Dandapat,06-Nov-2023 02:15 PM,7.pdf (433.00 KB),OK,Finance,ok,Manas Kumar Dandapat,01-Sep-2023 02:06 PM,finance_452917.pdf,BOQ Comparative Chart,NIBEDITA BEHERA,Internal,"EO,ME,JE",Manas Kumar Dandapat,06-Nov-2023 01:52 PM,finsummary_452917.pdf (10275.71 KB),AOC,"16,909",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,Municipal Bodies||Basudevpur Municipality,BSPM-01-2023-24,2023_ORULB_93068_7,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,25-Aug-2023 04:30 PM,01-Sep-2023 11:00 AM,25-Aug-2023 04:30 PM,31-Aug-2023 05:00 PM,NA ,NA ,25-Aug-2023 04:30 PM,31-Aug-2023 05:00 PM,EO,Basudevpur Municipality,Construction of paver road from Pravat behera house towards Anil Pala house ward 1,Construction of paver road from Pravat behera house towards Anil Pala house ward 1,Please refer Tender documents. ,NA ,"16,90,852",Civil Works - Roads,NA ,Tender,90.0,30.0,Basudevpur Municipality,756125.0,NA ,NA ,NA ,Basudevpur Municipality,No ,No,1,ICICI BANK,AOC
,,,,,,,,,,2,2224886,Ranjan Kumar Das,INR,"2,216,674",2,2224886,Ranjan Kumar Das,30-Aug-2023 01:50 PM,Accepted-AOC,OK,06-Nov-2023 02:15 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,AOC
