Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Stage
Finance,SMRY,Tarun Kumar Mohapatra,29-Nov-2023 08:30 PM,,BOQ Comparative Chart,1,2233235,NRUSINGHA CHARAN MALLICK,INR,"1,443,446.104",Municipal Bodies||Vyasanagar Municipality,2023_ORULB_93106_57,02/vnm2023-24 22.08.2023,Construction of Paver Road from Kalia Alli house to Mohapatra Babu house in ward No-10,EO,Internal,JE ME,Tarun Kumar Mohapatra,29-Nov-2023 08:36 PM,finsummary_453244.pdf (5022.99 KB),EO,Internal,JE ME,Tarun Kumar Mohapatra,29-Nov-2023 08:32 PM,techsummary_453244.pdf (5022.99 KB),1,2233477,M/S BIJAYA KUMAR MOHANTY,04-Sep-2023 10:29 AM,Accepted-AOC,ACCEPTED,29-Nov-2023 08:37 PM,29-Nov-2023,"INR 2,872,601",60.0,Tarun Kumar Mohapatra,29-Nov-2023 08:37 PM,newtender.pdf (5023.00 KB),TOTAL BOQ VALUE,AOC,"14,300",Yes,fixed,,Nil,Nil,Construction of Paver Road from Kalia Alli house to Mohapatra Babu house in ward No-10,civil road work,Please refer Tender documents. ,NA ,"14,29,154",Civil Works - Roads,NA ,Tender,60.0,60.0,vyasanagar municipality,755019.0,NA ,NA ,NA ,executive office chamber vyasanagar municipality,No ,No,executive officer,vyasanagar municipality,25-Aug-2023 11:00 AM,05-Sep-2023 11:00 AM,25-Aug-2023 11:00 AM,04-Sep-2023 05:00 PM,NA ,NA ,25-Aug-2023 11:00 AM,04-Sep-2023 05:00 PM,"6,000",0.0,Nil,Nil,Yes,Municipal Bodies||Vyasanagar Municipality,02/vnm2023-24 22.08.2023,2023_ORULB_93106_57,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,dtcn,AOC
,,,,,,2,2233477,M/S BIJAYA KUMAR MOHANTY,INR,"1,429,154.558",,,,,,,,,,,,,,,,,2,2233235,NRUSINGHA CHARAN MALLICK,03-Sep-2023 08:35 PM,Accepted-AOC,REJECTED,29-Nov-2023 08:37 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,.xls,boq,AOC
