Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Orissa Lift Irrigation Corporation||LI Northern Circle Sambalpur||LI Division Bargarh,OLIC/BGH-06/2023-24,2023_OLIC_93165_14,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,25-Aug-2023 10:00 AM,07-Sep-2023 11:00 AM,25-Aug-2023 10:00 AM,06-Sep-2023 05:00 PM,25-Aug-2023 10:00 AM ,05-Sep-2023 05:00 PM ,25-Aug-2023 10:00 AM,06-Sep-2023 05:00 PM,14-Sep-2023 03:00 PM,1.0,ICICI BANK,"13,998",Yes,percentage,1.0%,Nil,Nil,"6,000",0.0,Nil,Nil,No,"Executive Engineer, L.I. Division, Bargarh","O/o the Executive Engineer, L.I. Division, Bargarh",Execution of work for Revival of M.Srigida-I L.I. Project under Bijepur Block in Bargarh District,Irrigation work,Please refer Tender documents. ,NA ,"13,99,776",Civil Works - Lift Irrigation Schemes,NA ,Tender,90.0,90.0,Bargarh,768028.0,NA ,NA ,NA ,"O/o the Executive Engineer, L.I. Division, Bargarh",No ,No,1.0,Date Change,Date,,1.0,Fee/PreQual/Technical,.pdf,"Tender cost, GST Registration Certificate, PAN, Contractor RC Affidavit, undertaking and as per DTCN",AOC,07-Nov-2023,"INR 1,189,950",90.0,Surya Narayan Tripathy,07-Nov-2023 01:07 PM,MSrigida.pdf (396.00 KB),Awarded,S N Tripathy,Internal,"S ROUT, R C BESHRA",Surya Narayan Tripathy,07-Nov-2023 11:23 AM,finsummary_453830.pdf (177.76 KB),Finance,Open financial bid,SRIKANTA ROUT,14-Sep-2023 05:40 PM,,BOQ Comparative Chart,Technical,Open Technical Bid,SRIKANTA ROUT,07-Sep-2023 05:49 PM,,1,2224803,Bolli Shyam Babu,02-Sep-2023 01:03 PM,Rejected-Finance,Unsuccessful Bidder,07-Nov-2023 11:23 AM,Orissa Lift Irrigation Corporation||LI Northern Circle Sambalpur||LI Division Bargarh,2023_OLIC_93165_14,OLIC/BGH-06/2023-24,Execution of work for Revival of M.Srigida-I L.I. Project under Bijepur Block in Bargarh District,1.0,2225484.0,M/S SAI BALAJI CONSTRUCTION,INR,"764,801",S N Tripathy,Internal,"s Rout, R C Beshra",Surya Narayan Tripathy,14-Sep-2023 12:23 PM,14-Sep-2023 03:00 PM,techsummary_453830.pdf (186.06 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Change in item of BOQ,Other,,2.0,Finance,.xls,Bill of Quantity (BOQ),AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,2232038,KHARABELA KHAMARI,04-Sep-2023 07:28 AM,Rejected-Finance,Unsuccessful Bidder,07-Nov-2023 11:23 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,2225484,M/S SAI BALAJI CONSTRUCTION,02-Sep-2023 06:27 AM,Accepted-AOC,Awarded,07-Nov-2023 01:07 PM,,,,,,,,,,,,,,,,,AOC
