Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Finance,All five bidders are accepted.,Saroj Kumar Acharya,18-Nov-2023 11:07 AM,,BOQ Comparative Chart,1.0,2246944.0,AKSHAYA KUMAR BEHERA,INR,"321,886",Municipal Bodies||Nimapara NAC,2023_ORULB_92666_28,NP-NAC-01/2023-24,Improvement of CC road to Paver Block from Pramod Kumar Sahu House to Nrusingha Jena House at Amuniapatna ward No 5,Sasmita Sahoo,Internal,"E.O, Nimapara NAC, M.E, Nimapara NAC, Asst.Engineer, Nimapara NAC, Asst.Engineer, Nimapara Block, Asst.Engineer, PHD WATCO, Nimapara",Saroj Kumar Acharya,18-Nov-2023 11:18 AM,finsummary_455140.pdf (240.27 KB),Sasmita Sahoo,Internal,"E.O, Nimapara NAC, M.E, Nimapara NAC, Asst.Engineer, Nimapara NAC, Asst.Engineer, Nimapara Block, Asst.Engineer, PHD WATCO, Nimapara",Saroj Kumar Acharya,18-Nov-2023 11:13 AM,techsummary_455140.pdf (240.27 KB),1,2246944,AKSHAYA KUMAR BEHERA,10-Sep-2023 12:11 PM,Accepted-AOC,accepted,18-Nov-2023 11:24 AM,18-Nov-2023,"INR 321,886",60.0,Saroj Kumar Acharya,18-Nov-2023 11:22 AM,WO28.pdf (240.00 KB),AKSHAYA KUMAR BEHERA is awarded as L1 Bidder through lucky draw.,AOC,"2,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Paper cost, EMD, Registration Certificate, Labour Licences, PAN, GST and Other Documents","EXECUTIVE OFFICER, NIMAPARA NAC","OFFICE OF THE EXECUTIVE OFFICER, NIMAPARA NAC",1.0,ICICI BANK,"3,786",Yes,fixed,,Nil,Nil,Municipal Bodies||Nimapara NAC,NP-NAC-01/2023-24,2023_ORULB_92666_28,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,29-Aug-2023 12:00 PM,13-Sep-2023 11:00 AM,29-Aug-2023 12:00 PM,11-Sep-2023 05:00 PM,NA ,NA ,29-Aug-2023 12:00 PM,11-Sep-2023 05:00 PM,Improvement of CC road to Paver Block from Pramod Kumar Sahu House to Nrusingha Jena House at Amuniapatna ward No 5,Improvement of CC road to Paver Block from Pramod Kumar Sahu House to Nrusingha Jena House at Amuniapatna ward No 5,Please refer Tender documents. ,NA ,"3,78,646",Civil Works - Others,NA ,Tender,120.0,60.0,"Nimapara NAC, Ward No-5",752106.0,NA ,NA ,NA ,OFFICE OF THE NIMAPARA NAC,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2246021,DEEPAK KUMAR MOHANTY,09-Sep-2023 12:17 PM,Rejected-AOC,rejected,18-Nov-2023 11:24 AM,,,,,,,,AOC,,,,,,,,.pdf,"Affidavit, Undertaking and other documents as per DTCN",,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2245529,JAYAPRASAD PRADHAN,08-Sep-2023 06:53 PM,Rejected-AOC,rejected,18-Nov-2023 11:24 AM,,,,,,,,AOC,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2246079,KABITA PARIDA,09-Sep-2023 06:35 PM,Rejected-AOC,rejected,18-Nov-2023 11:24 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2243238,SMRUTI RANJAN MOHANTY,10-Sep-2023 11:18 AM,Rejected-AOC,rejected,18-Nov-2023 11:24 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
